name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Приоритетное наведение,A_S-F_priorityTargeting,,,,,,,,2,0.05,0.5,3,1,3,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/high_energy_focus.png
Подача гипервыстрельных боеприпасов,A_S-F_hypershot_grandum,,,,,,,,2,0.05,0.5,3.5,1,2,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/ammo_feeder.png
Система AURA,A_S-F_AURA,,,,,,,,2,0.05,1,2,1.5,2.5,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/high_energy_focus.png
Модуль AURA,A_S-F_AURA_D,,,,,,,,2,0.04,1,2,1.5,2.5,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/high_energy_focus.png
Питание AURA,A_S-F_AURA_feed,,,,,,,,2,0.05,1,2.5,2,2.5,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/high_energy_focus.png
Штурмовая перегрузка заряжателя,A_S-F_loaderOverdrive_berz,,,,,,,,2,0.0333,1,1,1.6,4,,,,,TRUE,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/ammo_feeder.png
Микровент,A_S-F_MicroVent,,,,,,,,,,0.5,1,2.5,12,,,,,TRUE,,,,,,,"defensive, codex_require_related",graphics/icons/hullsys/damper_field.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Remmie,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хронозапинка,A_S-F_chronostutter,1,,,,,0.25,,2,0.0666,0.75,3.25,0.5,1,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/temporal_shell.png
Адаптивный импульс,A_S-F_AdaptiveBurst,1,,,,,,,,,0.5,3,2,8,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/high_energy_focus.png
Темпоральный форсаж,A_S-F_temporalBurn,1,,,,,,,,,1.5,4,1,8,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,,,"movement, codex_require_related",graphics/icons/hullsys/plasma_burn.png
Размыкание хронопотока,A_S-F_unhingeChronoflow,1,,,,,0.2,,,,4,12,3,14,,,,,,,,,,FALSE,,"offensive, codex_require_related",graphics/icons/hullsys/temporal_shell.png
Дроны Ammon,A_S-F_ammon_deploy,,,,,,0.15,,2,0.08,0,0.1,0,2.5,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/drone_pd_high.png
Обозначение цели,A_S-F_designate,,,,,,0.125,,2,0.0625,0.5,,0.5,3,,,,,,,,,,,,"offensive, codex_require_related",graphics/icons/hullsys/A_S-F_designate.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Standard Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,
Циклическая подача ракет,A_S-F_cyclemissilefeed,,,,,,0.3,,,,1,0,0,8,,,,,,,,,,,,offensive,graphics/icons/hullsys/missile_racks.png
Дроны Shackled,A_S-F_drone_shackle,,,,,,,,20,0.04,0,,0,0,,,,,,,,,,,,offensive,graphics/icons/hullsys/drone_pd_mid.png
Струи Lynx,A_S-F_rinkaJets,,,,,,,,2,0.08,0.8,3.4,0.8,0.2,,,,,,,,,,,,movement,graphics/icons/hullsys/maneuvering_jets.png
Быстрый рывок,A_S-F_quickBoost,,,,,,,,2,0.1,0.25,0.25,1,0.5,,,,TRUE,,,,,,,,movement,graphics/icons/hullsys/maneuvering_jets.png
Дроновый экран,A_S-F_drone_screen,,,,,,,,24,0.075,0,,0,0,,,,,,,,,,,,defensive,graphics/icons/hullsys/drone_sensor.png
Лёгкая картечная зенитка,A_S-F_light_canister_flak,,,,,,,,2,0.0666,,,,5,,,,,,,,,,,,defensive,graphics/icons/hullsys/canister_flak.png
Инферниевый форсаж,A_S-F_floggerBurn,1,,,,,,,2,0.08,0.6,0.6,0.7,,,,,,,,TRUE,,TRUE,,,movement,graphics/icons/hullsys/infernium_injector.png
Грубый инферниевый форсаж,A_S-F_scragBurn,1,,,,,,,2,0.05,1.05,0.35,0.6,0.5,,,,,,,TRUE,,TRUE,,,movement,graphics/icons/hullsys/infernium_injector.png
ЭМИ-излучение,A_S-F_empEmission,,,,800,,,,4,0.1666,0.25,,0.05,0.2,,,,,,,,,,,,offensive,graphics/icons/hullsys/emp_emitter.png
Флюкс-штурмовая система,A_S-F_fluxAssault,,,,,,,,3,0.0666,0.25,2,1.75,0,,,,,,,,,,,,offensive,graphics/icons/hullsys/high_energy_focus.png
Тяжёлая картечная зенитка,A_S-F_flak_screen,,,,,,,,2,0.0555,,,,4,,,,,,,,,,,,defensive,graphics/icons/hullsys/canister_flak.png
Бункерный щит,A_S-F_bunkerShield,1,,,,,,,,,1.5,6,1.5,12,TRUE,,,,TRUE,,,,,,,defensive,graphics/icons/hullsys/fortress_shield.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
