mission id,person id,tagsAll,tagsAny,tagsNotAny,tags,freq,min timeout,max timeout,min rep,max rep,importance,reqMissionAny,reqMissionAll,reqMissionNone,icon,plugin
dpl_lmtd,eliza_lovelace,,,,"priority, non_repeatable",,,,FAVORABLE,,,,dpl_bidw,,graphics/icons/missions/shuttle_vip.png,data.scripts.campaign.intel.missions.dpl_LightMeetsDark
dpl_ptrs,eliza_lovelace,,,,"priority, non_repeatable",,,,FAVORABLE,,,,dpl_bidw,,graphics/icons/missions/shuttle_outpost.png,data.scripts.campaign.intel.missions.dpl_PeaceThroughStrength
dpl_restitution,eliza_lovelace,,,,"priority, non_repeatable",,,,WELCOMING,,,,dpl_ptrs,,graphics/icons/missions/dpl_restitution.png,data.scripts.campaign.intel.missions.dpl_Restitution
dpl_dtot,eliza_lovelace,,,,"priority, non_repeatable",,,,WELCOMING,,,,dpl_jasp,,graphics/icons/missions/dpl_deathtotraitors.png,data.scripts.campaign.intel.missions.dpl_DeathToTraitors
dpl_mtship,eliza_lovelace,,,,"priority, non_repeatable",,,,WELCOMING,,,,dpl_lmtd,,graphics/icons/missions/dpl_mtship.png,data.scripts.campaign.intel.missions.dpl_MoteShip
dpl_artworks,eliza_lovelace,,,,"priority, non_repeatable",,,,WELCOMING,,,,dpl_lmtd,,graphics/icons/missions/dpl_artworks.png,data.scripts.campaign.intel.missions.dpl_Artworks
dpl_dmtnt,eliza_lovelace,,,,"priority, non_repeatable",,,,FRIENDLY,,,,dpl_artworks,,graphics/icons/missions/dpl_dmtnt.png,data.scripts.campaign.intel.missions.dpl_DeadMenTellNoTales
dpl_celebration,eliza_lovelace,,,,"priority, non_repeatable",,,,WELCOMING,,,,dpl_artworks,,graphics/icons/missions/dpl_celebration.png,data.scripts.campaign.intel.missions.dpl_Celebration
dpl_justice,eliza_lovelace,,,,"priority, non_repeatable",,,,FRIENDLY,,,,dpl_dmtnt,,graphics/icons/missions/dpl_justice.png,data.scripts.campaign.intel.missions.dpl_Justice
dpl_pilgrimage,eliza_lovelace,,,,"priority, non_repeatable",,,,FRIENDLY,,,,dpl_justice,,graphics/icons/missions/dpl_pilgrimage.png,data.scripts.campaign.intel.missions.dpl_Pilgrimage
dpl_home,eliza_lovelace,,,,"priority, non_repeatable",,,,FRIENDLY,,,,dpl_pilgrimage,,graphics/icons/missions/dpl_home.png,data.scripts.campaign.intel.missions.dpl_Home
dpl_lostarts,eliza_lovelace,,,,"priority, non_repeatable",,,,FRIENDLY,,,,dpl_pilgrimage,,graphics/icons/missions/dpl_dmtnt.png,data.scripts.campaign.intel.missions.dpl_LostArts
dpl_ascension,eliza_lovelace,,,,"priority, non_repeatable",,,,FRIENDLY,,,,dpl_lostarts,,graphics/icons/missions/dpl_ascension.png,data.scripts.campaign.intel.missions.dpl_Ascension
dpl_weapon_sales,eliza_lovelace,,,,"priority, non_repeatable",,,,FRIENDLY,,,,dpl_dmtnt,,,data.scripts.campaign.intel.missions.dpl_WeaponSales
,,,,,,,,,,,,,,,,
dpl_mpm,,,,,,,,,,,,,,,graphics/icons/missions/commodity_production.png,data.scripts.campaign.intel.missions.dpl_MarineProductionMission
,,,,,,,,,,,,,,,,
#Eliza's final quest,,,,,,,,,,,,,,,,
dpl_gaIntro,,,,,,,,,,,,,,,graphics/icons/missions/ga_intro.png,data.scripts.campaign.intel.missions.ProjectPrometheus.dpl_GAIntro
dpl_GAIntroShort,,,,,,,,,,,,,,,graphics/icons/missions/ga_intro.png,data.scripts.campaign.intel.missions.ProjectPrometheus.dpl_GAIntroShort
dpl_RepairCTap,,,,,,,,,,,,,,,graphics/icons/missions/dpl_RepairCTap.png,data.scripts.campaign.intel.missions.ProjectPrometheus.dpl_RepairCTap
dpl_DeployDevice,,,,,,,,,,,,,,,graphics/icons/missions/dpl_DeployDevice.png,data.scripts.campaign.intel.missions.ProjectPrometheus.dpl_DeployDevice
dpl_ActivateHELA,,,,,,,,,,,,,,,graphics/icons/missions/at_the_gates.png,data.scripts.campaign.intel.missions.ProjectPrometheus.dpl_ActivateHELA
dpl_CurtainCall,,,,,,,,,,,,,,,graphics/icons/missions/dpl_curtain_call.png,data.scripts.campaign.intel.missions.ProjectPrometheus.dpl_CurtainCall
,,,,,,,,,,,,,,,,
"# note: if person id, tagsAll, tagsAny, and tagsNotAny are all blank, the mission will not be offered by any contact without specific scripting to make it so (via BeginMission, etc). Otherwise, the mission may be offered by any contact that meets the conditions specified by these columns.",,,,,,,,,,,,,,,,
