name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Импровизированная сенсорная маскировка,CJHM_sensorcloak,0,,CJHM,special,Особое,5000,,,,3,5,7,9,data.scripts.hullmods.CJHM_sensorcloak,"Застряли на враждебной территории и уступаете в огневой мощи? Установите эту модификацию, чтобы стать еще незаметнее: ваш сенсорный профиль уменьшается на %s процентов. Недостаток в том, что эта кустарная доработка также уменьшает радиус обзора и дальность сенсоров на %s процентов.",Уменьшает сенсорный профиль ценой мощности сенсоров и радиуса обзора.,graphics/CJHM/hullmods/CJHM_sensorcloak.png
Отражающая броня,CJHM_reflectivearmor,1,,CJHM,defensive,Защита,5000,,,,2,4,6,8,data.scripts.hullmods.CJHM_reflectivearmor,"Столкнувшись с угрозой флотов Ордо в глубоком космосе, CJHM разработала это отражающее покрытие для корабельной брони, уменьшающее получаемый урон от лучевого оружия на %s процентов. Модификации генераторов щитов, необходимые для применения того же эффекта к поднятым щитам корабля, увеличивают генерацию нагрузки щитами на %s процентов и замедляют разворачивание щита на %s процентов.","Снижает получаемый лучевой урон, но увеличивает поток от щитов",graphics/CJHM/hullmods/CJHM_reflectivearmor.png
Абляционная броня,CJHM_ablativearmor,1,,CJHM,defensive,Защита,5000,,,,2,4,6,8,data.scripts.hullmods.CJHM_ablativearmor,"Покрывает броню корабля отделяемым слоем абляционной брони, который снижает фугасный урон на %s процентов. Однако увеличенный вес снижает маневренность на %s.",Снижает фугасный урон ценой маневренности,graphics/CJHM/hullmods/CJHM_ablativearmor.png
Кустарная броня,CJHM_salvagedarmor,0,,CJHM,special,Особое,6000,,,,3,6,9,12,data.scripts.hullmods.CJHM_salvagedarmor,"Создается путем приваривания к корпусу кусков salvaged metal, что увеличивает броню корабля на %s/%s/%s/%s единиц, в зависимости от размера корпуса. Также снижает маневренность корабля на %s.","Увеличивает броню, снижает маневренность.",graphics/CJHM/hullmods/CJHM_salvagedarmor.png
Перекомпоновка боезапаса,CJHM_salvagedhull,0,,CJHM,special,Особое,8000,,,,2,4,6,8,data.scripts.hullmods.CJHM_salvagedhull,"Сняв с корабля часть внутренних элементов, можно разместить больше ракет и всех видов боеприпасов на %s, ценой %s прочности корпуса.",меняет прочность корпуса на запас ракет,graphics/CJHM/hullmods/CJHM_salvagedhull.png
Нулевой поток,CJHM_zeroflux,1,,CJHM,special,Особое,8000,,,,2,4,6,8,data.scripts.hullmods.CJHM_zeroflux,"Подключив потоковые клапаны корабля к охлаждению двигателя, эта модификация может увеличить скорость на %s, когда уровень нагрузки равен нулю.",улучшенный бонус нулевой нагрузки.,graphics/CJHM/hullmods/CJHM_zeroflux.png
Расширенное хранилище ракет,CJHM_missile_ammo,1,,CJHM,offensive,Оружие,5000,,,,2,4,6,8,data.scripts.hullmods.CJHM_missile_ammo,"Удаляет %s грузового пространства, чтобы освободить место для увеличения боезапаса всех установленных ракет на %s процентов.",Меняет грузовое место на запас боеприпасов,graphics/CJHM/hullmods/CJHM_ammospace.png
Трофейный генератор щита,CJHM_salvagedshield,1,,CJHM,"shields, defensive",Щиты,5000,,,,5,10,15,20,data.scripts.hullmods.CJHM_salvagedshield,"Устанавливает на корабль трофейный носовой генератор щита с дугой %s градусов, удаляя %s процентов брони и корпуса. Установка этого щита требует уменьшить броню и прочность корпуса корабля, чтобы освободить место для генератора и проводки.",Устанавливает базовые щиты на корабль без щитов. Уменьшает броню и корпус.,graphics/CJHM/hullmods/CJHM_salvagedshield.png
Разгон щитов,CJHM_overclockshields,1,,CJHM,"shields, defensive",Щиты,5000,,,,2,4,6,8,data.scripts.hullmods.CJHM_overclockshields,"Добавляет новые разгонные схемы в генератор щита корабля, увеличивая скорость поворота и разворачивания щита на %s процентов. Однако если корабль будет перегружен, время восстановления увеличится на %s процентов.","Увеличивает скорость поворота и разворачивания щита, но повышает время восстановления",graphics/CJHM/hullmods/CJHM_overclockshields.png
Разгон оружия,CJHM_weaponover,1,,CJHM,offensive,Оружие,5000,,,,1,2,3,4,data.scripts.hullmods.CJHM_weaponover,"Позволяет обойти предохранители между оружейными силовыми линиями и напрямую подать энергию к потоковым клапанам. Это повышает скорострельность баллистического и энергетического оружия на %s, но также увеличивает расход нагрузки на %s. Очень полезно для быстрых кораблей ближнего боя, которые хотят ворваться, выдать залп, отступить, сбросить поток и повторить.",Повышает скорострельность ценой увеличенного расхода нагрузки.,graphics/CJHM/hullmods/CJHM_weaponover.png
Спринтерские ракеты,CJHM_sprintmissiles,1,,CJHM,offensive,Оружие,5000,,,,1,2,3,4,data.scripts.hullmods.CJHM_sprintmissiles,Эта модификация позволяет ракетам лететь на %s быстрее и повышает их маневренность на %s за счет снятия %s их внешней обшивки.,"Увеличивает скорость и маневренность ракет, снижая их прочность.",graphics/CJHM/hullmods/CJHM_sprintmissiles.png
Ускоритель снарядов,CJHM_projectileaccelerator,1,,CJHM,offensive,Оружие,5000,,,,2,4,6,8,data.scripts.hullmods.CJHM_projectileaccelerator,"Перенаправляет часть энергии от гироскопов турелей к магнитному ускоряющему полю, что снижает скорость поворота турелей на %s, но увеличивает скорость баллистических и энергетических снарядов на %s. Не рекомендуется для кораблей, в основном использующих лучи или ракеты.",Увеличивает скорость баллистических и энергетических снарядов ценой скорости поворота.,graphics/CJHM/hullmods/CJHM_projectileaccelerator.png
Наноремонт корпуса,CJHM_nanohull,3,,CJHM,special,Защита,10000,,,,2,4,6,8,data.scripts.hullmods.CJHM_nanohull,"Взломанная версия ракетной автофабрики, восстанавливающая %s/%s/%s/%s процентов корпуса корабля в секунду, ценой снижения общей прочности корпуса на %s процентов для размещения оборудования. Из-за напряженной природы этой доработки нанофабрика менее эффективна на крупных корпусах.",Восстанавливает корпус ценой уменьшенной прочности корпуса.,graphics/CJHM/hullmods/CJHM_nanohull.png
Поясная броня,CJHM_beltarmor,1,,CJHM,defensive,Защита,10000,,,,2,4,6,8,data.scripts.hullmods.CJHM_beltarmor,"Замена большей части грузового отсека плотными карбидными материалами увеличивает прочность корпуса корабля на %s и броню на %s/%s/%s/%s. Процесс удаляет %s грузового пространства, а дополнительная масса снижает маневренность на %s. Не сочетается с модификациями вырезания грузового отсека или заполнения грузового отсека.","Увеличивает корпус и броню, снижает маневренность и грузовое место.",graphics/CJHM/hullmods/CJHM_beltarmor.png
Баллистика ближнего боя,CJHM_brawlerballistics,1,,CJHM,offensive,Оружие,5000,,,,2,4,6,8,data.scripts.hullmods.CJHM_brawlerballistics,"Подойдите вплотную и разнесите пару кораблей. Перенося основной поток энергии вперед для всего баллистического оружия, эта модификация увеличивает его урон на %s и снижает расход нагрузки на %s. Для достижения такой эффективности дальность оружия уменьшается на %s.","Увеличивает урон баллистического оружия, снижает расход нагрузки и дальность.",graphics/CJHM/hullmods/CJHM_brawlerballistics.png
Обмен потока,CJHM_fluxswap,1,,CJHM,special,Особое,5000,,,,1,1,1,1,data.scripts.hullmods.CJHM_fluxswap,"Модифицирует системы нагрузки, увеличивая рассеивание нагрузки на %s процентов за счет уменьшения ёмкости нагрузки на %s процентов.",Увеличивает сброс нагрузки за счет уменьшения его емкости,graphics/CJHM/hullmods/CJHM_fluxswap.png
Адаптивное демпфирование,CJHM_adaptivedamping,1,,CJHM,offensive,Оружие,5000,,,,1,1,1,1,data.scripts.hullmods.CJHM_adaptivedamping,"Системы адаптивного демпфирования увеличивают дальность баллистического оружия на %s, снижая его скорострельность на %s. Каждая мелочь помогает.","Увеличивает дальность баллистического оружия, снижает скорострельность.",graphics/CJHM/hullmods/CJHM_adaptivedamping.png
Заплата брони,CJHM_armorswap,0,,CJHM,"defensive, merc",Защита,5000,,,,1,1,1,1,data.scripts.hullmods.CJHM_armorswap,"Остался лишний очки оснащения, который никак не получается потратить, и ваша педантичность не дает покоя? За 1 очки оснащения эта модификация корпуса увеличивает броню корабля на %s и снижает прочность корпуса на %s. Несовместима с CJHM Hull Swap.",Увеличивает броню за счет уменьшения корпуса,graphics/CJHM/hullmods/CJHM_armorswap.png
Заплата корпуса,CJHM_hullswap,0,,CJHM,"defensive, merc",Защита,5000,,,,1,1,1,1,data.scripts.hullmods.CJHM_hullswap,"Остался лишний очки оснащения, который никак не получается потратить, и ваша педантичность не дает покоя? За 1 очки оснащения эта модификация корпуса увеличивает прочность корпуса на %s и снижает броню на %s. Несовместима с CJHM Armor Swap.",Увеличивает корпус за счет уменьшения брони,graphics/CJHM/hullmods/CJHM_hullswap.png
Энергетика ближнего боя,CJHM_brawlerenergy,1,,CJHM,offensive,Оружие,5000,,,,2,4,6,8,data.scripts.hullmods.CJHM_brawlerenergy,"Подойдите вплотную и разнесите пару кораблей. Перенося основной поток энергии вперед для всего энергетического оружия, эта модификация увеличивает его скорострельность и скорость снарядов на %s и снижает расход нагрузки на %s. Для достижения такой эффективности дальность оружия уменьшается на %s. Примечание: несовместима с High Scatter Amplifier или Advanced Optics.","Увеличивает скорострельность и скорость снарядов энергетического оружия, снижает расход нагрузки и дальность.",graphics/CJHM/hullmods/CJHM_brawlerenergy.png
Арсенальные шкафы,CJHM_arsenallockers,1,,CJHM,special,Особое,5000,,,,1,2,3,4,data.scripts.hullmods.CJHM_arsenallockers,"Устанавливает защищенные шкафы с оружием поддержки для морпехов. Повышает эффективную силу планетарных рейдов на %s, удаляя койки экипажа на %s/%s/%s/%s, в зависимости от размера корпуса. Несовместима с Additional Berthing.","Повышает эффективность рейдов, уменьшает места для экипажа.",graphics/CJHM/hullmods/CJHM_arsenallockers.png
Баллистическая интеграция,CJHM_ballisticintegration,1,,CJHM,offensive,Оружие,5000,,,,0,0,0,0,data.scripts.hullmods.CJHM_ballisticintegration,"Улучшает интеграцию креплений крупного баллистического оружия, снижая его стоимость в очках оснащения на %s за счет удаления %s корпуса и брони корабля.",Снижает очки оснащения крупного баллистического оружия ценой брони и корпуса,graphics/CJHM/hullmods/CJHM_ballisticintegration.png
Энергетическая интеграция,CJHM_energyintegration,1,,CJHM,offensive,Оружие,5000,,,,0,0,0,0,data.scripts.hullmods.CJHM_energyintegration,"Улучшает интеграцию креплений крупного энергетического и лучевого оружия, снижая его стоимость в очках оснащения на %s за счет удаления %s корпуса и брони корабля.",Снижает очки оснащения крупного энергетического и лучевого оружия ценой брони и корпуса,graphics/CJHM/hullmods/CJHM_energyintegration.png
Ракетная интеграция,CJHM_missileintegration,1,,CJHM,offensive,Оружие,5000,,,,0,0,0,0,data.scripts.hullmods.CJHM_missileintegration,"Улучшает интеграцию креплений крупного ракетного оружия, снижая его стоимость в очках оснащения на %s за счет удаления %s корпуса и брони корабля.",Снижает очки оснащения крупного ракетного оружия ценой брони и корпуса,graphics/CJHM/hullmods/CJHM_missileintegration.png
Усилитель рассеивания,CJHM_scatteramp,2,,CJHM,"offensive, merc, standard",Оружие,5000,,,,3,6,8,12,data.scripts.hullmods.CJHM_scatteramp,"Уменьшает дальность лучевого оружия на %s, одновременно снижая его урон на %s, и позволяет ему наносить щитам жёсткую нагрузку. Несовместима с High Scatter Amplifiers или Brawler Energy.",Уменьшает дальность и урон лучевого оружия; лучи наносят щитам жёсткую нагрузку.,graphics/CJHM/hullmods/CJHM_scatteramp.png
Стабилизатор креплений,CJHM_mountstabilizer,0,,CJHM,special,Особое,5000,,,,2,2,2,2,data.scripts.hullmods.CJHM_mountstabilizer,"Этот дополнительный модуль к системе наведения корабля умножает скорость поворота оружия на %s/%s/%s/%s в зависимости от размера корпуса, координируясь с движением корабля, но замедляет угловое ускорение корабля на %s. Наиболее эффективен на малых кораблях и усиливает эффект гироскопов турелей, если они также установлены. В конце концов, нельзя дергать штурвал слишком резко, если не хотите мешать наводчикам быстрее брать цель.",Увеличивает скорость поворота креплений ценой углового ускорения корабля,graphics/CJHM/hullmods/CJHM_mountstabilizer.png
,,,,,,,,,,,,,,,,,,
#Requires Dock,,,,,,,,,,,,,,,,,,
Экспедиционное переоборудование,CJHM_expsys,1,,CJHML,"req_spaceport, special","Логистика+, Требуется док",5000,,,,5,10,15,20,data.scripts.hullmods.CJHM_expsys,"Инженеры CJHM обожают возиться с техникой и могут переоборудовать любой гражданский корабль для исследования. Эта модификация убирает штрафы гражданского корпуса, увеличивает максимальный уровень хода на %s, дальность сенсоров и обзора на %s, увеличивает грузовое пространство на %s, а также защищает корабль от космических опасностей, снижая потерю боеготовности от короны и похожих условий на %s. Для обслуживания этих улучшений кораблю требуется на %s больше экипажа и %s больше припасов в месяц.",Убирает гражданские d-моды и повышает исследовательские характеристики,graphics/CJHM/hullmods/CJHM_expsys.png
Перекомпоновка грузовых отсеков,CJHM_cargocarver,0,,CJHML,"req_spaceport, special","Логистика+, Требуется док",5000,,,,2,4,6,8,data.scripts.hullmods.CJHM_cargocarver,"Когда вам действительно нужно больше грузового места (+%s процентов), вырежьте его из корпуса! (%s процентов)",Уменьшает корпус корабля и добавляет грузовое место. Не сочетается с модификациями поясной брони или заполнения грузового отсека.,graphics/CJHM/hullmods/CJHM_cargocarver.png
Кустарные внешние грузовые контейнеры,CJHM_cargopods,1,,CJHML,"req_spaceport, special","Логистика+, Требуется док",8000,,,,4,8,12,16,data.scripts.hullmods.CJHM_cargopods,"К корпусу корабля прикручиваются грузовые контейнеры, увеличивающие грузовую вместимость на %s/%s/%s/%s в зависимости от размера корпуса. Эта модификация делает корабль неповоротливым, снижая скорость и скорость поворота на %s, а перевозка лишнего веса увеличивает расход топлива на ход на %s и повышает падение боеготовности при развертывании в бою на %s.","Снижает скорость поворота и скорость, увеличивает грузовое место и расход топлива",graphics/CJHM/hullmods/CJHM_cargopods.png
Перекомпоновка топливных отсеков,CJHM_internaltank,0,,CJHML,"req_spaceport, special","Логистика+, Требуется док",5000,,,,2,4,6,8,data.scripts.hullmods.CJHM_internaltank,"Когда вам действительно нужно больше места под топливо (+%s процентов), вырежьте его из корпуса! (%s процентов)",Уменьшает корпус корабля и добавляет запас топлива. Не сочетается с модификациями поясной брони или заполнения грузового отсека.,graphics/CJHM/hullmods/CJHM_internaltank.png
Кустарный внешний бак,CJHM_externaltank,1,,CJHML,"req_spaceport, special","Логистика+, Требуется док",8000,,,,4,8,12,16,data.scripts.hullmods.CJHM_externaltank,"К корпусу корабля прикручиваются топливные баки, увеличивающие запас топлива на %s/%s/%s/%s в зависимости от размера корпуса. Эта модификация делает корабль неповоротливым, снижая скорость и скорость поворота на %s, а перевозка лишнего веса увеличивает расход топлива на ход на %s и повышает падение боеготовности при развертывании в бою на %s.","Снижает скорость поворота и скорость, увеличивает запас топлива и расход топлива",graphics/CJHM/hullmods/CJHM_externaltank.png
Втиснутый внутренний бак,CJHM_auxtank,0,,CJHML,"req_spaceport, special","Логистика+, Требуется док",5000,,,,1,2,3,4,data.scripts.hullmods.CJHM_auxtank,"Добавляет дополнительные топливные баки (+%s процентов), удаляя отсеки экипажа (%s процентов). Не сочетается с Additional Berthing.",Уменьшает экипаж и добавляет запас топлива. Не сочетается с Additional Berthing.,graphics/CJHM/hullmods/CJHM_auxtank.png
Втиснутые грузовые контейнеры,CJHM_auxcargo,0,,CJHML,"req_spaceport, special","Логистика+, Требуется док",5000,,,,1,2,3,4,data.scripts.hullmods.CJHM_auxcargo,"Добавляет дополнительные грузовые отсеки (+%s процентов), удаляя отсеки экипажа (%s процентов). Не сочетается с Additional Berthing.",Уменьшает экипаж и добавляет грузовое место. Не сочетается с Additional Berthing.,graphics/CJHM/hullmods/CJHM_auxcargo.png
Кустарные ускорительные ракеты,CJHM_booster_rockets,1,,CJHML,"engines, req_spaceport","Логистика+, Двигатели, Требуется док",6000,,,,2,4,6,8,data.scripts.hullmods.CJHM_booster_rockets,Прикрепление комплекта ускорительных ракет CJHM к корпусу корабля увеличивает максимальную скорость на %s/%s/%s/%s в зависимости от размера корпуса. Примечание: несовместима с Safety Overrides или Unstable Injector.,Увеличивает боевую скорость.,graphics/CJHM/hullmods/CJHM_booster_rockets.png
