name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Импровизированная сенсорная маскировка,CJHM_sensorcloak,0,,CJHM,special,Особое,5000,TRUE,,,3,5,7,9,data.scripts.hullmods.CJHM_sensorcloak,"Застряли на вражеской территории и уступаете в силе? Установите эту модификацию, чтобы стать еще незаметнее, снизив сенсорный профиль на %s процентов. Недостаток в том, что этот импровизированный взлом также уменьшает радиус обзора и дальность сенсоров на %s процентов.",Уменьшает сенсорный профиль ценой силы сенсоров и радиуса обзора.,graphics/CJHM/hullmods/CJHM_sensorcloak.png
Отражающая броня,CJHM_reflectivearmor,1,,CJHM,defensive,Защита,5000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_reflectivearmor,"Столкнувшись с угрозой флотов Ордо в глубоком космосе, CJHM разработала отражающее покрытие для корабельной брони, которое снижает получаемый урон от лучевого оружия на %s процентов. Модификации генераторов щитов, необходимые для применения того же эффекта к поднятым щитам корабля, увеличивают генерацию потока щитами на %s процентов и замедляют разворачивание щитов на %s процентов.","Снижает получаемый лучевой урон, но увеличивает поток, создаваемый щитами",graphics/CJHM/hullmods/CJHM_reflectivearmor.png
Абляционная броня,CJHM_ablativearmor,1,,CJHM,defensive,Защита,5000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_ablativearmor,"Покрывает броню корабля съемным слоем абляционной брони, который снижает фугасный урон на %s процентов. Однако увеличенная масса снижает маневренность на %s.",Снижает фугасный урон ценой маневренности,graphics/CJHM/hullmods/CJHM_ablativearmor.png
Кустарная броня,CJHM_salvagedarmor,0,,CJHM,special,Особое,6000,TRUE,,,3,6,9,12,data.scripts.hullmods.CJHM_salvagedarmor,"Создается путем приваривания кусков утильного металла, что увеличивает броню корабля на %s/%s/%s/%s единиц, в зависимости от размера корпуса. Также снижает маневренность корабля на %s.","Увеличивает броню, снижает маневренность.",graphics/CJHM/hullmods/CJHM_salvagedarmor.png
Перестройка боекомплекта,CJHM_salvagedhull,0,,CJHM,special,Особое,8000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_salvagedhull,За счет демонтажа внутренних элементов корабль может хранить больше ракет и всех видов боеприпасов на %s ценой %s прочности корпуса.,Заменяет прочность корпуса на запас ракет,graphics/CJHM/hullmods/CJHM_salvagedhull.png
Нулевой поток,CJHM_zeroflux,1,,CJHM,special,Особое,8000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_zeroflux,"Подключая вентиляционные каналы потока корабля к охлаждению двигателей, эта модификация увеличивает скорость на %s, когда уровень потока равен нулю.",Улучшает бонус нулевого потока.,graphics/CJHM/hullmods/CJHM_zeroflux.png
Расширение ракетных складов,CJHM_missile_ammo,1,,CJHM,offensive,Оружие,5000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_missile_ammo,"Убирает %s грузового пространства, чтобы освободить место для %s процентов дополнительной емкости боезапаса всех установленных ракет.",Заменяет грузовое пространство на запас боеприпасов,graphics/CJHM/hullmods/CJHM_ammospace.png
Трофейный генератор щита,CJHM_salvagedshield,1,,CJHM,"shields, defensive",Щиты,5000,TRUE,,,5,10,15,20,data.scripts.hullmods.CJHM_salvagedshield,"Устанавливает на корабль трофейный фронтальный генератор щита с дугой %s градусов, удаляя %s процентов брони и корпуса. Установка этого щита требует уменьшить броню и корпус корабля, чтобы освободить место для генератора и проводки.",Устанавливает базовые щиты на корабль без щитов. Уменьшает броню и корпус.,graphics/CJHM/hullmods/CJHM_salvagedshield.png
Разгон щита,CJHM_overclockshields,1,,CJHM,"shields, defensive",Щиты,5000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_overclockshields,"Устанавливает новую схему разгона в генератор щита корабля, повышая скорость поворота и разворачивания щита на %s процентов. Однако если корабль будет перегружен, время восстановления увеличится на %s процентов.","Увеличивает скорость поворота и разворачивания щита, но повышает время восстановления",graphics/CJHM/hullmods/CJHM_overclockshields.png
Разгон оружия,CJHM_weaponover,1,,CJHM,offensive,Оружие,5000,TRUE,,,1,2,3,4,data.scripts.hullmods.CJHM_weaponover,"Позволяет обойти предохранители между силовыми линиями оружия и напрямую подать энергию к вентиляторам потока. Это увеличивает скорострельность баллистического и энергетического оружия на %s, однако такой обход также повышает расход потока на %s. Очень полезно для быстрых кораблей ближнего боя, которые хотят ворваться, заспамить врага, отступить, сбросить поток и повторить.",Увеличивает скорострельность ценой повышенного расхода потока.,graphics/CJHM/hullmods/CJHM_weaponover.png
Спринтерские ракеты,CJHM_sprintmissiles,1,,CJHM,offensive,Оружие,5000,TRUE,,,1,2,3,4,data.scripts.hullmods.CJHM_sprintmissiles,Эта модификация позволяет ракетам лететь на %s быстрее и повышает их маневренность на %s за счет снятия %s внешней обшивки.,Увеличивает скорость и маневренность ракет за счет снижения их прочности.,graphics/CJHM/hullmods/CJHM_sprintmissiles.png
Ускоритель снарядов,CJHM_projectileaccelerator,1,,CJHM,offensive,Оружие,5000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_projectileaccelerator,"Перенаправляет часть энергии от гироскопов турелей к магнитному ускоряющему полю, что замедляет поворот турелей на %s, но увеличивает скорость баллистических и энергетических снарядов на %s. Не рекомендуется для кораблей, в основном использующих лучи или ракеты.",Увеличивает скорость баллистических и энергетических снарядов ценой скорости поворота.,graphics/CJHM/hullmods/CJHM_projectileaccelerator.png
Наноремонт корпуса,CJHM_nanohull,3,,CJHM,special,Защита,10000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_nanohull,"Взломанная версия ракетной авто-кузницы, которая восстанавливает %s/%s/%s/%s процентов корпуса корабля в секунду ценой уменьшения общей прочности корпуса на %s процентов, чтобы освободить место для оборудования. Из-за напряженной природы взлома нанокузница менее эффективна на крупных корпусах.",Восстанавливает корпус ценой сниженной максимальной прочности.,graphics/CJHM/hullmods/CJHM_nanohull.png
Поясная броня,CJHM_beltarmor,1,,CJHM,defensive,Защита,10000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_beltarmor,"Заменяя большую часть грузового отсека плотными карбидными материалами, этот процесс повышает прочность корпуса корабля на %s и броню на %s/%s/%s/%s. Процесс убирает %s грузового пространства, а дополнительная масса снижает маневренность на %s. Не сочетается с модификациями вырезания грузового отсека или заполнения грузового отсека.","Увеличивает корпус и броню, снижает маневренность и грузовое пространство.",graphics/CJHM/hullmods/CJHM_beltarmor.png
Баллистика ближнего боя,CJHM_brawlerballistics,1,,CJHM,offensive,Оружие,5000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_brawlerballistics,Сблизьтесь с врагом и разбейте несколько кораблей. За счет предварительной подачи энергии на все баллистическое оружие эта модификация увеличивает его урон на %s и снижает расход потока на %s. Для достижения такой эффективности дальность оружия уменьшается на %s.,"Увеличивает урон баллистического оружия, снижает расход потока и дальность.",graphics/CJHM/hullmods/CJHM_brawlerballistics.png
Перераспределение потока,CJHM_fluxswap,1,,CJHM,special,Особое,5000,TRUE,,,1,1,1,1,data.scripts.hullmods.CJHM_fluxswap,"Модифицирует системы потока, увеличивая рассеивание потока на %s процентов за счет уменьшения емкости потока на %s процентов.",Увеличивает вентиляцию потока за счет емкости потока,graphics/CJHM/hullmods/CJHM_fluxswap.png
Адаптивное демпфирование,CJHM_adaptivedamping,1,,CJHM,offensive,Оружие,5000,TRUE,,,1,1,1,1,data.scripts.hullmods.CJHM_adaptivedamping,"Системы адаптивного демпфирования увеличивают дальность баллистического оружия на %s, снижая его скорострельность на %s. Помогает каждая мелочь.","Увеличивает дальность баллистического оружия, снижает скорострельность.",graphics/CJHM/hullmods/CJHM_adaptivedamping.png
Заплатка брони,CJHM_armorswap,0,,CJHM,"defensive, merc",Защита,5000,TRUE,,,1,1,1,1,data.scripts.hullmods.CJHM_armorswap,"Есть лишнее ОП, которое никак не получается потратить, и ваш перфекционизм этого не выдерживает? За 1 ОП эта модификация увеличивает броню корабля на %s и уменьшает корпус на %s. Несовместима с CJHM Hull Swap.",Увеличивает броню за счет уменьшения корпуса,graphics/CJHM/hullmods/CJHM_armorswap.png
Заплатка корпуса,CJHM_hullswap,0,,CJHM,"defensive, merc",Защита,5000,TRUE,,,1,1,1,1,data.scripts.hullmods.CJHM_hullswap,"Есть лишнее ОП, которое никак не получается потратить, и ваш перфекционизм этого не выдерживает? За 1 ОП эта модификация увеличивает корпус корабля на %s и уменьшает броню на %s. Несовместима с CJHM Armor Swap.",Увеличивает корпус за счет уменьшения брони,graphics/CJHM/hullmods/CJHM_hullswap.png
Энергетика ближнего боя,CJHM_brawlerenergy,1,,CJHM,offensive,Оружие,5000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_brawlerenergy,Сблизьтесь с врагом и разбейте несколько кораблей. За счет предварительной подачи энергии на все энергетическое оружие эта модификация увеличивает его скорострельность и скорость снарядов на %s и снижает расход потока на %s. Для достижения такой эффективности дальность оружия уменьшается на %s. Примечание: несовместимо с High Scatter Amplifier или Advanced Optics.,"Увеличивает скорострельность и скорость снарядов энергетического оружия, снижает расход потока и дальность.",graphics/CJHM/hullmods/CJHM_brawlerenergy.png
Оружейные шкафы,CJHM_arsenallockers,1,,CJHM,special,Особое,5000,TRUE,,,1,2,3,4,data.scripts.hullmods.CJHM_arsenallockers,"Устанавливает защищенные шкафы с оружием поддержки для морпехов. Увеличивает эффективную силу планетарных рейдов на %s, уменьшая места для экипажа на %s/%s/%s/%s, в зависимости от размера корпуса, чтобы установить их. Несовместимо с Additional Berthing.","Повышает эффективность рейдов, уменьшает места для экипажа.",graphics/CJHM/hullmods/CJHM_arsenallockers.png
Баллистическая интеграция,CJHM_ballisticintegration,1,,CJHM,offensive,Оружие,5000,TRUE,,,0,0,0,0,data.scripts.hullmods.CJHM_ballisticintegration,"Лучше интегрирует крепления крупного баллистического оружия, снижая его стоимость в ОП на %s за счет удаления %s корпуса и брони корабля.",Снижает ОП крупного баллистического оружия ценой брони и корпуса,graphics/CJHM/hullmods/CJHM_ballisticintegration.png
Энергетическая интеграция,CJHM_energyintegration,1,,CJHM,offensive,Оружие,5000,TRUE,,,0,0,0,0,data.scripts.hullmods.CJHM_energyintegration,"Лучше интегрирует крепления крупного энергетического и лучевого оружия, снижая его стоимость в ОП на %s за счет удаления %s корпуса и брони корабля.",Снижает ОП крупного энергетического и лучевого оружия ценой брони и корпуса,graphics/CJHM/hullmods/CJHM_energyintegration.png
Ракетная интеграция,CJHM_missileintegration,1,,CJHM,offensive,Оружие,5000,TRUE,,,0,0,0,0,data.scripts.hullmods.CJHM_missileintegration,"Лучше интегрирует крепления крупного ракетного оружия, снижая его стоимость в ОП на %s за счет удаления %s корпуса и брони корабля.",Снижает ОП крупного ракетного оружия ценой брони и корпуса,graphics/CJHM/hullmods/CJHM_missileintegration.png
Рассеивающий усилитель,CJHM_scatteramp,2,,CJHM,"offensive, merc, standard",Оружие,5000,TRUE,,,3,6,8,12,data.scripts.hullmods.CJHM_scatteramp,"Уменьшает дальность лучевого оружия на %s, снижая его урон на %s, и позволяет ему наносить щитам урон жестким потоком. Несовместимо с High Scatter Amplifiers или Brawler Energy.",Снижает дальность и урон лучевого оружия; лучи наносят щитам жесткий поток.,graphics/CJHM/hullmods/CJHM_scatteramp.png
Стабилизатор креплений,CJHM_mountstabilizer,0,,CJHM,special,Особое,5000,TRUE,,,2,2,2,2,data.scripts.hullmods.CJHM_mountstabilizer,"Этот дополнительный модуль к системе наведения корабля умножает скорость поворота оружия на %s/%s/%s/%s в зависимости от размера корпуса, согласуя ее с движением корабля и снижая ускорение поворота корабля на %s. Наиболее эффективен на малых кораблях и усиливает эффект гироскопов турелей, если они тоже установлены. В конце концов, нельзя резко дергать штурвал так же быстро, если не хотите мешать наводчикам быстрее брать цель.",Увеличивает скорость поворота креплений ценой ускорения поворота корабля,graphics/CJHM/hullmods/CJHM_mountstabilizer.png
,,,,,,,,,,,,,,,,,,
#Requires Dock,,,,,,,,,,,,,,,,,,
Исследовательское переоборудование,CJHM_expsys,1,,CJHML,"req_spaceport, special","Особое, Логистика, Логистика+, Требует док",5000,TRUE,,,5,10,15,20,data.scripts.hullmods.CJHM_expsys,"Инженеры CJHM любят возиться с техникой и могут переоборудовать любой гражданский корабль для исследований. Эта модификация убирает штрафы гражданского корпуса, увеличивает максимальный уровень хода на %s, повышает дальность сенсоров и обзора на %s, увеличивает грузовое пространство на %s, а также защищает корабль от космических опасностей, снижая потерю БГ от короны и подобных условий на %s. Для поддержания этих улучшений кораблю требуется на %s больше экипажа и он потребляет на %s больше припасов в месяц.",Убирает гражданские d-моды и повышает исследовательские характеристики,graphics/CJHM/hullmods/CJHM_expsys.png
Перестройка грузовых отсеков,CJHM_cargocarver,0,,CJHML,"req_spaceport, special","Логистика+, Требует док",5000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_cargocarver,"Когда вам действительно нужно больше грузового пространства (+%s процентов), вырежьте часть корпуса! (%s процентов)",Уменьшает корпус корабля и добавляет грузовое пространство. Не сочетается с модификациями поясной брони или заполнения грузового отсека.,graphics/CJHM/hullmods/CJHM_cargocarver.png
Кустарные внешние грузовые контейнеры,CJHM_cargopods,1,,CJHML,"req_spaceport, special","Логистика+, Требует док",8000,TRUE,,,4,8,12,16,data.scripts.hullmods.CJHM_cargopods,"К кораблю прикручиваются грузовые контейнеры, увеличивающие грузовую вместимость на %s/%s/%s/%s в зависимости от размера корпуса. Эта модификация делает корабль неповоротливым, снижая скорость и скорость поворота на %s, а перевозка дополнительной массы увеличивает расход топлива в ходе на %s и при развертывании в бою увеличивает падение БГ на %s.","Снижает скорость и скорость поворота, увеличивает грузовое пространство и расход топлива",graphics/CJHM/hullmods/CJHM_cargopods.png
Перестройка топливных хранилищ,CJHM_internaltank,0,,CJHML,"req_spaceport, special","Логистика+, Требует док",5000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_internaltank,"Когда вам действительно нужно больше места под топливо (+%s процентов), вырежьте часть корпуса! (%s процентов)",Уменьшает корпус корабля и добавляет место под топливо. Не сочетается с модификациями поясной брони или заполнения грузового отсека.,graphics/CJHM/hullmods/CJHM_internaltank.png
Кустарный внешний бак,CJHM_externaltank,1,,CJHML,"req_spaceport, special","Логистика+, Требует док",8000,TRUE,,,4,8,12,16,data.scripts.hullmods.CJHM_externaltank,"К кораблю прикручиваются топливные баки, увеличивающие запас топлива на %s/%s/%s/%s в зависимости от размера корпуса. Эта модификация делает корабль неповоротливым, снижая скорость и скорость поворота на %s, а перевозка дополнительной массы увеличивает расход топлива в ходе на %s и при развертывании в бою увеличивает падение БГ на %s.","Снижает скорость и скорость поворота, увеличивает запас топлива и расход топлива",graphics/CJHM/hullmods/CJHM_externaltank.png
Втиснутый внутренний бак,CJHM_auxtank,0,,CJHML,"req_spaceport, special","Логистика+, Требует док",5000,TRUE,,,1,2,3,4,data.scripts.hullmods.CJHM_auxtank,"Добавляет дополнительные топливные баки (+%s процентов), удаляя отсеки экипажа (%s процентов). Не сочетается с Additional Berthing.",Уменьшает экипаж и добавляет место под топливо. Не сочетается с Additional Berthing.,graphics/CJHM/hullmods/CJHM_auxtank.png
Втиснутые грузовые контейнеры,CJHM_auxcargo,0,,CJHML,"req_spaceport, special","Логистика+, Требует док",5000,TRUE,,,1,2,3,4,data.scripts.hullmods.CJHM_auxcargo,"Добавляет дополнительные грузовые отсеки (+%s процентов), удаляя отсеки экипажа (%s процентов). Не сочетается с Additional Berthing.",Уменьшает экипаж и добавляет грузовое пространство. Не сочетается с Additional Berthing.,graphics/CJHM/hullmods/CJHM_auxcargo.png
Кустарные ускорительные ракеты,CJHM_booster_rockets,1,,CJHML,"engines, req_spaceport","Логистика+, Двигатели, Требует док",6000,TRUE,,,2,4,6,8,data.scripts.hullmods.CJHM_booster_rockets,"Прикрепляя к корпусу корабля набор ускорительных ракет CJHM, максимальная скорость увеличивается на %s/%s/%s/%s в зависимости от размера корпуса. Примечание: несовместимо с Safety Overrides или Unstable Injector.",Увеличивает скорость в бою.,graphics/CJHM/hullmods/CJHM_booster_rockets.png
