name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Valkyrie Mk.II,rr_valkyrie_m2,Эсминец,Midline,rr_drone_scope,9,3800,500,3500,3333,200,80,,80,60,60,30,45,400,FRONT,,100,0.4,0.8,,,40,80,50,60,2,30,9,35000,5,15,360,0.25,8,8,,"rare_bp, merc, ind",,0.5,2,3,307307
Cephalofoil,rr_cephalofoil,Эсминец,Midline,ammofeed,10,5000,500,4000,4167,200,95,,90,55,40,30,55,420,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,9,40000,5,12,360,0.25,10,10,,"midline_bp, merc, ind",,0.5,2,3,300300
Portico,rr_portico,Эсминец,High Tech,rr_barriershield,9,3000,350,7000,69,250,80,,70,50,40,25,40,300,FRONT,,150,0.4,0.9,,,30,60,60,60,2,30,9,35000,5,15,390,0.25,9,9,,"hightech_bp, merc, ind",,0.7,2,3,2221.1
Phaeton Mk.=,rr_phaeton_eq,Эсминец,Pirate,rr_heavy_itano_array,17,5000,650,5500,,300,95,,70,60,40,35,35,420,OMNI,,110,0.4,1,,,60,60,30,30,2,15,8,80000,5,15,240,0.25,18,18,,"no_dealer, codex_unlockable",,0.7,2,2,222309
Scric,rr_scric,Легкий эсминец,High Tech,rr_cyclemissilefeed,9,2600,250,5000,,260,85,,100,100,80,35,80,250,OMNI,,150,0.3,0.7,,,20,40,40,50,2,25,10,30000,5,15,300,0.25,9,9,,"hightech_bp, merc, ind",,0.7,2,3,319319
Foreman,rr_foreman,Эсминец,Low Tech,burndrive,10,6500,850,4000,,200,95,,65,45,25,30,25,500,OMNI,,150,0.4,1,,,60,110,180,120,3,40,9,38000,5,10,420,0.25,9,9,,"rare_bp, ind",,0.4,2,3,222303
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undertaking,rr_undertaking,Крейсер,Low Tech,fastmissileracks,15,12000,1350,7000,6000,300,125,1,45,15,10,12,6,1650,OMNI,,120,0.4,1,,,100,300,700,210,3,70,7,125000,5,10,540,0.25,17,17,,"base_bp, ind",,0.4,2,3,402402
Undertaking (LP),rr_undertaking_lp,Крейсер,Luddic Path,rr_faithmissileracks,16,12000,1350,7000,6000,300,115,,45,15,10,12,6,1650,OMNI,,120,0.4,1,,,120,280,500,180,4,45,7,160000,5,10,540,0.25,18,18,,"LP_bp, merc",,0.6,2,3,402403
Gryphon (B),rr_gryphon_b,Артиллерийский крейсер,Midline,rr_coolfeed,17,7000,850,8000,8000,300,130,,55,60,40,15,20,1200,FRONT,,270,0.5,0.8,,,150,240,110,80,3,27,8,120000,3,12,480,0.25,20,20,,"rare_bp, hist2t, merc",,0.5,2,3,408408
Pteroma,rr_pteroma,Крейсер,High Tech,rr_barriershield,14,7000,600,12000,69,500,120,,45,35,30,12,10,1200,FRONT,,140,0.4,0.8,,,75,200,120,80,3,26.6,8,180000,4,15,480,0.25,18,18,,"rare_bp, merc, ind",,0.6,2,3,2221.2
Sojurn,rr_sojurn,Крейсер,High Tech,rr_pd_platforms,17,8000,800,10000,,650,150,1,60,40,30,20,20,1800,FRONT,,170,0.25,1,,,100,200,250,120,3,40,8,200000,5,20,420,0.25,25,25,"CARRIER, COMBAT","rare_bp, hist2t, merc, ind",,0.6,2,3,222505
Dominatrix,rr_dominatrix,Крейсер,Low Tech,burndrive,16,10000,1500,8000,,350,190,,30,20,10,12,12,2250,FRONT,,150,0.5,1,,,200,300,150,150,5,30,8,125000,4,12,540,0.25,25,25,,"lowtech_bp, merc, ind",,0.4,2,3,222404
Saga,rr_saga,Легкий крейсер,High Tech,flarelauncher_active,14,5000,450,5000,,350,80,1,70,50,40,25,40,600,OMNI,,180,0.3,0.8,,,90,140,100,80,2,40,9,90000,5,15,420,0.25,18,18,"CARRIER, COMBAT","rare_bp, merc, ind",,0.5,2,3,222506
Lily,rr_lily,Ракетный крейсер,Midline,rr_autoforge_lily,13,6000,700,4000,,200,130,,65,70,50,15,20,1000,FRONT,,240,0.5,0.8,,,120,220,100,75,3,25,8,95000,4,12,480,0.25,18,18,ALWAYS_PANIC,"rare_bp, merc, ind",,0.5,2,3,222428
Scut,rr_scut,Крейсер,Pirate,burndrive,9,5000,600,4000,,250,95,,70,40,20,12,10,800,FRONT,,130,0.4,1,,,80,100,120,50,4,15,7,40000,3,20,480,0.25,8,8,,"rare_bp, pirate_bp",,0.6,2,3,222411.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onquest,rr_onquest,Линейный крейсер,Midline,maneuveringjets,24,14000,1400,20000,30000,1000,280,,40,20,15,6,4,2800,OMNI,,90,0.4,1.3,,,500,600,300,360,12,30,8,320000,3,15,660,0.25,40,40,,"rare_bp, hist3t, merc",,0.45,2,4,503503
Conslaught,rr_conslaught,Линейный крейсер,Midline,burndrive,27,15000,1600,20000,30000,1100,310,,40,24,18,7,5,2900,FRONT,,90,0.4,1.1,,,500,600,300,360,12,30,8,360000,3,15,660,0.25,45,45,,"no_dealer, codex_unlockable",,0.45,2,4,503503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scope Drone,rr_drone_scope,,,,,300,60,400,,100,,,160,100,90,120,240,30,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,0,,,22202
PD Platform,rr_pd_platform,,,flarelauncher_active,,1200,150,2000,,150,,,100,250,200,60,75,125,FRONT,,130,0.4,0.8,,,0,0,,,,,,,,,,,,,,,,0,,,22205
