id,hullIds,name,paintjobFamily,spriteId,unlockedAutomatically,tags,unlockConditions,description
ORA_Imperial_Revelation,ora_revelation,Imperial,Imperial,graphics/Imperial/ships/ora_revelation.png,TRUE,,,
ORA_Imperial_Sanctuary,ora_sanctuary,Imperial,Imperial,graphics/Imperial/ships/ora_sanctuary.png,TRUE,,,
ORA_Imperial_Wisdom,ora_wisdom,Imperial,Imperial,graphics/Imperial/ships/ora_wisdom.png,TRUE,,,
ORA_Invader_Allure,ora_allure,Invader,Invader,graphics/Invader/ships/ora_allure.png,TRUE,,,
ORA_Invader_Ascension ,ora_ascension,Invader,Invader,graphics/Invader/ships/ora_ascension.png,TRUE,,,
ORA_Invader_Awareness,ora_awareness,Invader,Invader,graphics/Invader/ships/ora_awareness.png,TRUE,,,
ORA_Invader_Beatitude,ora_beatitude,Invader,Invader,graphics/Invader/ships/ora_beatitude.png,TRUE,,,
ORA_Invader_Bliss,ora_bliss,Invader,Invader,graphics/Invader/ships/ora_bliss.png,TRUE,,,
ORA_Invader_Communion,ora_communion,Invader,Invader,graphics/Invader/ships/ora_communion.png,TRUE,,,
ORA_Invader_Discernment,ora_discernment,Invader,Invader,graphics/Invader/ships/ora_discernment.png,TRUE,,,
ORA_Invader_Elevation,ora_elevation,Invader,Invader,graphics/Invader/ships/ora_elevation.png,TRUE,,,
ORA_Invader_Enlightenment,ora_enlightenment,Invader,Invader,graphics/Invader/ships/ora_enlightenment.png,TRUE,,,
ORA_Invader_Felicity,ora_felicity,Invader,Invader,graphics/Invader/ships/ora_felicity.png,TRUE,,,
ORA_Invader_Fervor,ora_fervor,Invader,Invader,graphics/Invader/ships/ora_fervor.png,TRUE,,,
ORA_Invader_Grace,ora_grace,Invader,Invader,graphics/Invader/ships/ora_grace.png,TRUE,,,
ORA_Invader_Harmony,ora_harmony,Invader,Invader,graphics/Invader/ships/ora_harmony.png,TRUE,,,
ORA_Invader_Mirth,ora_mirth,Invader,Invader,graphics/Invader/ships/ora_mirth.png,TRUE,,,
ORA_Invader_Revelation,ora_revelation,Invader,Invader,graphics/Invader/ships/ora_revelation.png,TRUE,,,
ORA_Invader_Sanctuary,ora_sanctuary,Invader,Invader,graphics/Invader/ships/ora_sanctuary.png,TRUE,,,
ORA_Invader_Wisdom,ora_wisdom,Invader,Invader,graphics/Invader/ships/ora_wisdom.png,TRUE,,,
ORA_Irradiated_Allure,ora_allure,Irradiated,Irradiated,graphics/Irradiated/ships/ora_allure.png,TRUE,,,
ORA_Irradiated_Ascension ,ora_ascension,Irradiated,Irradiated,graphics/Irradiated/ships/ora_ascension.png,TRUE,,,
ORA_Irradiated_Awareness,ora_awareness,Irradiated,Irradiated,graphics/Irradiated/ships/ora_awareness.png,TRUE,,,
ORA_Irradiated_Beatitude,ora_beatitude,Irradiated,Irradiated,graphics/Irradiated/ships/ora_beatitude.png,TRUE,,,
ORA_Irradiated_Bliss,ora_bliss,Irradiated,Irradiated,graphics/Irradiated/ships/ora_bliss.png,TRUE,,,
ORA_Irradiated_Communion,ora_communion,Irradiated,Irradiated,graphics/Irradiated/ships/ora_communion.png,TRUE,,,
ORA_Irradiated_Discernment,ora_discernment,Irradiated,Irradiated,graphics/Irradiated/ships/ora_discernment.png,TRUE,,,
ORA_Irradiated_Elevation,ora_elevation,Irradiated,Irradiated,graphics/Irradiated/ships/ora_elevation.png,TRUE,,,
ORA_Irradiated_Enlightenment,ora_enlightenment,Irradiated,Irradiated,graphics/Irradiated/ships/ora_enlightenment.png,TRUE,,,
ORA_Irradiated_Felicity,ora_felicity,Irradiated,Irradiated,graphics/Irradiated/ships/ora_felicity.png,TRUE,,,
ORA_Irradiated_Fervor,ora_fervor,Irradiated,Irradiated,graphics/Irradiated/ships/ora_fervor.png,TRUE,,,
ORA_Irradiated_Grace,ora_grace,Irradiated,Irradiated,graphics/Irradiated/ships/ora_grace.png,TRUE,,,
ORA_Irradiated_Harmony,ora_harmony,Irradiated,Irradiated,graphics/Irradiated/ships/ora_harmony.png,TRUE,,,
ORA_Irradiated_Mirth,ora_mirth,Irradiated,Irradiated,graphics/Irradiated/ships/ora_mirth.png,TRUE,,,
ORA_Irradiated_Revelation,ora_revelation,Irradiated,Irradiated,graphics/Irradiated/ships/ora_revelation.png,TRUE,,,
ORA_Irradiated_Sanctuary,ora_sanctuary,Irradiated,Irradiated,graphics/Irradiated/ships/ora_sanctuary.png,TRUE,,,
ORA_Irradiated_Wisdom,ora_wisdom,Irradiated,Irradiated,graphics/Irradiated/ships/ora_wisdom.png,TRUE,,,
