id,paintjobFamilies,weaponIds,spriteMap
ORA_Gunmetal_Recital,Gunmetal,ora_recital,"graphics/ORA/weapons/ora_recitalT.png -> graphics/Gunmetal/weapons/ora_recitalT.png, graphics/ORA/weapons/ora_recitalH.png -> graphics/Gunmetal/weapons/ora_recitalH.png"
ORA_Gunmetal_Sempiternal,Gunmetal,ora_sempiternal,"graphics/ORA/weapons/ora_sempiternalT.png -> graphics/Gunmetal/weapons/ora_sempiternalT.png, graphics/ORA/weapons/ora_sempiternalH.png -> graphics/Gunmetal/weapons/ora_sempiternalH.png, graphics/ORA/weapons/ora_sempiternalTB.png -> graphics/Gunmetal/weapons/ora_sempiternalTB.png, graphics/ORA/weapons/ora_sempiternalHB.png -> graphics/Gunmetal/weapons/ora_sempiternalHB.png"
ORA_Imperial_Animus,Imperial,ora_animus,"graphics/ORA/weapons/ora_animusH.png -> graphics/Imperial/weapons/ora_animusH.png, graphics/ORA/weapons/ora_animusT.png -> graphics/Imperial/weapons/ora_animusT.png "
ORA_Imperial_Calling,Imperial,ora_calling,"graphics/ORA/weapons/ora_callingH.png -> graphics/Imperial/weapons/ora_callingH.png, graphics/ORA/weapons/ora_callingT.png -> graphics/Imperial/weapons/ora_callingT.png "
ORA_Imperial_Choir,Imperial,ora_choir,"graphics/ORA/weapons/ora_choirT.png -> graphics/Imperial/weapons/ora_choirT.png, graphics/ORA/weapons/ora_choirH.png -> graphics/Imperial/weapons/ora_choirH.png"
ORA_Imperial_Echoes,Imperial,ora_echoes,"graphics/ORA/weapons/ora_echoesT.png -> graphics/Imperial/weapons/ora_echoesT.png, graphics/ORA/weapons/ora_echoesH.png -> graphics/Imperial/weapons/ora_echoesH.png"
ORA_Imperial_Eschewal,Imperial,ora_eschewal,"graphics/ORA/weapons/ora_eschewalT.png -> graphics/Imperial/weapons/ora_eschewalT.png, graphics/ORA/weapons/ora_eschewalH.png -> graphics/Imperial/weapons/ora_eschewalH.png"
ORA_Imperial_Eschewal_Fighter,Imperial,ora_eschewalFighter,graphics/ORA/weapons/ora_eschewalF.png -> graphics/Imperial/weapons/ora_eschewalF.png
ORA_Imperial_Incantation,Imperial,ora_incantation,"graphics/ORA/weapons/ora_incantationT.png -> graphics/Imperial/weapons/ora_incantationT.png, graphics/ORA/weapons/ora_incantationH.png -> graphics/Imperial/weapons/ora_incantationH.png"
ORA_Imperial_Invocation,Imperial,ora_invocation,"graphics/ORA/weapons/ora_invocationT.png -> graphics/Imperial/weapons/ora_invocationT.png, graphics/ORA/weapons/ora_invocationH.png -> graphics/Imperial/weapons/ora_invocationH.png"
ORA_Imperial_Litany,Imperial,ora_litany,"graphics/ORA/weapons/ora_litanyT.png -> graphics/Imperial/weapons/ora_litanyT.png, graphics/ORA/weapons/ora_litanyH.png -> graphics/Imperial/weapons/ora_litanyH.png"
ORA_Imperial_Prayer,Imperial,ora_prayer,"graphics/ORA/weapons/ora_prayerT.png -> graphics/Imperial/weapons/ora_prayerT.png, graphics/ORA/weapons/ora_prayerH.png -> graphics/Imperial/weapons/ora_prayerH.png"
ORA_Imperial_Recital,Imperial,ora_recital,"graphics/ORA/weapons/ora_recitalT.png -> graphics/Imperial/weapons/ora_recitalT.png, graphics/ORA/weapons/ora_recitalH.png -> graphics/Imperial/weapons/ora_recitalH.png"
ORA_Imperial_Sempiternal,Imperial,ora_sempiternal,"graphics/ORA/weapons/ora_sempiternalT.png -> graphics/Imperial/weapons/ora_sempiternalT.png, graphics/ORA/weapons/ora_sempiternalH.png -> graphics/Imperial/weapons/ora_sempiternalH.png, graphics/ORA/weapons/ora_sempiternalTB.png -> graphics/Imperial/weapons/ora_sempiternalTB.png, graphics/ORA/weapons/ora_sempiternalHB.png -> graphics/Imperial/weapons/ora_sempiternalHB.png"
ORA_Invader_Animus,Invader,ora_animus,"graphics/ORA/weapons/ora_animusH.png -> graphics/Invader/weapons/ora_animusH.png, graphics/ORA/weapons/ora_animusT.png -> graphics/Invader/weapons/ora_animusT.png "
ORA_Invader_Calling,Invader,ora_calling,"graphics/ORA/weapons/ora_callingH.png -> graphics/Invader/weapons/ora_callingH.png, graphics/ORA/weapons/ora_callingT.png -> graphics/Invader/weapons/ora_callingT.png "
ORA_Invader_Choir,Invader,ora_choir,"graphics/ORA/weapons/ora_choirT.png -> graphics/Invader/weapons/ora_choirT.png, graphics/ORA/weapons/ora_choirH.png -> graphics/Invader/weapons/ora_choirH.png"
ORA_Invader_Echoes,Invader,ora_echoes,"graphics/ORA/weapons/ora_echoesT.png -> graphics/Invader/weapons/ora_echoesT.png, graphics/ORA/weapons/ora_echoesH.png -> graphics/Invader/weapons/ora_echoesH.png"
ORA_Invader_Eschewal,Invader,ora_eschewal,"graphics/ORA/weapons/ora_eschewalT.png -> graphics/Invader/weapons/ora_eschewalT.png, graphics/ORA/weapons/ora_eschewalH.png -> graphics/Invader/weapons/ora_eschewalH.png"
ORA_Invader_Eschewal_Fighter,Invader,ora_eschewalFighter,graphics/ORA/weapons/ora_eschewalF.png -> graphics/Invader/weapons/ora_eschewalF.png
ORA_Invader_Incantation,Invader,ora_incantation,"graphics/ORA/weapons/ora_incantationT.png -> graphics/Invader/weapons/ora_incantationT.png, graphics/ORA/weapons/ora_incantationH.png -> graphics/Invader/weapons/ora_incantationH.png"
ORA_Invader_Invocation,Invader,ora_invocation,"graphics/ORA/weapons/ora_invocationT.png -> graphics/Invader/weapons/ora_invocationT.png, graphics/ORA/weapons/ora_invocationH.png -> graphics/Invader/weapons/ora_invocationH.png"
ORA_Invader_Litany,Invader,ora_litany,"graphics/ORA/weapons/ora_litanyT.png -> graphics/Invader/weapons/ora_litanyT.png, graphics/ORA/weapons/ora_litanyH.png -> graphics/Invader/weapons/ora_litanyH.png"
ORA_Invader_Prayer,Invader,ora_prayer,"graphics/ORA/weapons/ora_prayerT.png -> graphics/Invader/weapons/ora_prayerT.png, graphics/ORA/weapons/ora_prayerH.png -> graphics/Invader/weapons/ora_prayerH.png"
ORA_Invader_Recital,Invader,ora_recital,"graphics/ORA/weapons/ora_recitalT.png -> graphics/Invader/weapons/ora_recitalT.png, graphics/ORA/weapons/ora_recitalH.png -> graphics/Invader/weapons/ora_recitalH.png"
ORA_Invader_Sempiternal,Invader,ora_sempiternal,"graphics/ORA/weapons/ora_sempiternalT.png -> graphics/Invader/weapons/ora_sempiternalT.png, graphics/ORA/weapons/ora_sempiternalH.png -> graphics/Invader/weapons/ora_sempiternalH.png, graphics/ORA/weapons/ora_sempiternalTB.png -> graphics/Invader/weapons/ora_sempiternalTB.png, graphics/ORA/weapons/ora_sempiternalHB.png -> graphics/Invader/weapons/ora_sempiternalHB.png"
ORA_Irradiated_Animus,Irradiated,ora_animus,"graphics/ORA/weapons/ora_animusH.png -> graphics/Irradiated/weapons/ora_animusH.png, graphics/ORA/weapons/ora_animusT.png -> graphics/Irradiated/weapons/ora_animusT.png "
ORA_Irradiated_Calling,Irradiated,ora_calling,"graphics/ORA/weapons/ora_callingH.png -> graphics/Irradiated/weapons/ora_callingH.png, graphics/ORA/weapons/ora_callingT.png -> graphics/Irradiated/weapons/ora_callingT.png "
ORA_Irradiated_Choir,Irradiated,ora_choir,"graphics/ORA/weapons/ora_choirT.png -> graphics/Irradiated/weapons/ora_choirT.png, graphics/ORA/weapons/ora_choirH.png -> graphics/Irradiated/weapons/ora_choirH.png"
ORA_Irradiated_Echoes,Irradiated,ora_echoes,"graphics/ORA/weapons/ora_echoesT.png -> graphics/Irradiated/weapons/ora_echoesT.png, graphics/ORA/weapons/ora_echoesH.png -> graphics/Irradiated/weapons/ora_echoesH.png"
ORA_Irradiated_Eschewal,Irradiated,ora_eschewal,"graphics/ORA/weapons/ora_eschewalT.png -> graphics/Irradiated/weapons/ora_eschewalT.png, graphics/ORA/weapons/ora_eschewalH.png -> graphics/Irradiated/weapons/ora_eschewalH.png"
ORA_Irradiated_Eschewal_Fighter,Irradiated,ora_eschewalFighter,graphics/ORA/weapons/ora_eschewalF.png -> graphics/Irradiated/weapons/ora_eschewalF.png
ORA_Irradiated_Incantation,Irradiated,ora_incantation,"graphics/ORA/weapons/ora_incantationT.png -> graphics/Irradiated/weapons/ora_incantationT.png, graphics/ORA/weapons/ora_incantationH.png -> graphics/Irradiated/weapons/ora_incantationH.png"
ORA_Irradiated_Invocation,Irradiated,ora_invocation,"graphics/ORA/weapons/ora_invocationT.png -> graphics/Irradiated/weapons/ora_invocationT.png, graphics/ORA/weapons/ora_invocationH.png -> graphics/Irradiated/weapons/ora_invocationH.png"
ORA_Irradiated_Litany,Irradiated,ora_litany,"graphics/ORA/weapons/ora_litanyT.png -> graphics/Irradiated/weapons/ora_litanyT.png, graphics/ORA/weapons/ora_litanyH.png -> graphics/Irradiated/weapons/ora_litanyH.png"
ORA_Irradiated_Prayer,Irradiated,ora_prayer,"graphics/ORA/weapons/ora_prayerT.png -> graphics/Irradiated/weapons/ora_prayerT.png, graphics/ORA/weapons/ora_prayerH.png -> graphics/Irradiated/weapons/ora_prayerH.png"
ORA_Irradiated_Recital,Irradiated,ora_recital,"graphics/ORA/weapons/ora_recitalT.png -> graphics/Irradiated/weapons/ora_recitalT.png, graphics/ORA/weapons/ora_recitalH.png -> graphics/Irradiated/weapons/ora_recitalH.png"
ORA_Irradiated_Sempiternal,Irradiated,ora_sempiternal,"graphics/ORA/weapons/ora_sempiternalT.png -> graphics/Irradiated/weapons/ora_sempiternalT.png, graphics/ORA/weapons/ora_sempiternalH.png -> graphics/Irradiated/weapons/ora_sempiternalH.png, graphics/ORA/weapons/ora_sempiternalTB.png -> graphics/Irradiated/weapons/ora_sempiternalTB.png, graphics/ORA/weapons/ora_sempiternalHB.png -> graphics/Irradiated/weapons/ora_sempiternalHB.png"
