id,type,text1,text2,text3,text4,text5,notes
swp_vindicator,SHIP,"Vindicator — тяжёлый крейсер поддержки благодаря встроенным системам наведения, специально разработанной дальнобойной пушке и тяжёлому ракетному вооружению.

Любопытно, что обычно доступный сегодня чертёж Vindicator на самом деле является модификацией исходного проекта, вероятно сделанной уже под конец истории Домена. При беглом осмотре видно, что изначально конструкторы планировали вооружить корабль двумя пушками Gungnir. Однако одна из них позже была удалена из чертежа в пользу современного крупного ракетного модуля и системы ускоренной перезарядки.",,,,,
swp_vindicator_o,SHIP,"Исходный Vindicator, обозначенный меткой «S» или «стандартный», лишён ракетных возможностей более распространённого варианта. Взамен он получает непревзойдённую дальнобойную огневую мощь благодаря паре пушек Gungnir и ускоренной системе подачи боеприпасов.

Vindicator — тяжёлый крейсер поддержки благодаря встроенным системам наведения и специально разработанным дальнобойным пушкам.","Исходный Vindicator, обозначенный меткой «S» или «стандартный», лишён ракетных возможностей более распространённого варианта. Взамен он получает непревзойдённую дальнобойную огневую мощь благодаря паре пушек Gungnir и ускоренной системе подачи боеприпасов.

Vindicator — тяжёлый крейсер поддержки благодаря встроенным системам наведения и специально разработанным дальнобойным пушкам.",,,,
swp_punisher,SHIP,"Punisher сочетает массивные взаимозацепляющиеся бронепояса с огромной сетью двигателей, давая этому нетипичному, но грозному лёгкому крейсеру и подвижность, и живучесть.",,,,,
swp_victory,SHIP,"Линкор класса Victory создавался как прямой конкурент Onslaught. И хотя он так и не обрёл большой славы, Victory всё ещё ценится за непревзойдённую сырую огневую мощь. Ужасающая угроза при грамотном применении.

Хотя огневая мощь Victory превосходит даже Paragon и Onslaught, ему недостаёт чудовищного бронирования Onslaught и крепостного щита Paragon. Из-за этого Victory заслуженно считается самым хрупким линкором сектора.",,,,,
swp_beholder,SHIP,"Beholder — специализированный эсминец против малых целей, поддерживающий смешанные флотские операции развёртыванием квартета продвинутых лазерных дронов. Крайне эффективен против ракет, истребителей и прочих мягких целей, но может уверенно выполнять и другие задачи ближней поддержки.

Неясно, как именно были разработаны дроны Ray, и это несколько тревожит, учитывая, что они являются ответвлением знаменитого дрона Terminator корпорации Tri-Tachyon. Каково бы ни было их происхождение, дроны Ray «глупее»: они ведут себя как летающие турели, жёстко зафиксированные в строю с материнским кораблём, зато требуют меньше ресурсов на восполнение.",,,,,
swp_chronos,SHIP,"Chronos — нетипичный линкор, полагающийся больше на изящество, чем на грубую силу. Отличная для своих размеров подвижность и система ускорения времени позволяют этому кораблю маневрировать и концентрировать огонь так, как не может почти никто другой... но только короткими рывками. Всё остальное время средства подавления дальней электроники и продвинутые quant-op блоки усиливают возможности Chronos по поддержке флота.

У Chronos странная схема корпуса — вероятно, компромисс ради установки капитального Temporal Shell — которая даёт и заметные плюсы, и минусы; оснащение оружием у этого линейного крейсера довольно ограничено, зато векторизация тяги доведена до максимума, что позволяет выполнять очень крутые развороты.",,,,,
swp_hecate,SHIP,"Юркая корвета Hecate недостаточно мала, чтобы производиться прямо на фабриках истребителей, но всё равно остаётся одним из самых быстрых и компактных корпусов фрегатного класса, доступных сегодня. Тактика Hecate строится на максимально эффективном использовании её ограниченных оружейных возможностей — обычно она не способна перестрелять ни один другой боевой корабль.",,,,,
swp_nautilus,SHIP,"Распространённый корпус: Nautilus проще всего описать как более дорогой Hound. Широко доступен, разумно пригоден к бою и, что удивительно, на нём вполне комфортно спать.",,,,,
swp_vortex,SHIP,"Vortex — редкий лёгкий авианосец с возможностями боевого носителя. Умеет наносить быстрые и жестокие удары благодаря способности окутывать себя и сопровождающие истребители временным полем. Когда система уходит на перезарядку, теряет значительную часть своей остроты.",,,,,
swp_striker,SHIP,"Любимец смельчаков, Striker — дешёвый лёгкий эсминец с базовым набором лобового оружия. Обычно рассматривается как более доступная альтернатива Shrike, из-за чего популярен у Луддической Церкви. Стандартно оснащён большим внутренним магазином под ракетные боеприпасы.

На самом деле Striker начал свою жизнь как невооружённый исследовательский корпус, набитый сенсорами, просторными грузовыми отсеками и продвинутыми двигательными системами. За многие циклы его производитель постепенно милитаризировал конструкцию, превратив её в вооружённую и бронированную ракету, которую мы видим сегодня, — отличное соответствие реалиям Персеанского сектора.",,,,,
swp_eos,SHIP,"Считающийся уменьшенным вариантом Astral, класс Eos — настоящий гигант среди авианосцев. Умещая палуб почти как Legion при крейсерской классификации, Eos даёт флотам без крупных кораблей возможность проецировать авиацию капитального уровня. Эффективен с учётом ударного потенциала и продвинутых систем, но почти лишён вспомогательной огневой мощи вне своих палуб.

Авианосец класса Eos идёт на множество жертв, чтобы уместить так много полётных палуб на компактной и эффективной раме. Главная из них — нехватка тяги, из-за которой корабль заслужил репутацию медлительного. Судя по всему, конструкторы сосредоточили все усилия на настройке маршевого привода, почти забыв про двигатели для боя.

Другая серьёзная проблема — миниатюризированный реактор, который, будучи довольно надёжным и простым в замене, не имеет достаточного пространства для отвода потока. Послепродажные модификации могут более чем вдвое увеличить производительность реактора Eos, хотя и не бесплатно.

Наконец, Eos стандартно комплектуется тем, что можно назвать «скромными» конденсаторными банками. Позднеэпохальная сверхэффективная щитовая технология не даёт этому стать смертельным недостатком, но тяжёлое оружие всё равно способно быстро осушить Eos.",,,,,
swp_liberator,SHIP,"Класс Liberator не поддаётся строгой классификации, располагаясь по скорости и защите где-то между линкором и линейным крейсером. Хотя его оружейные системы и сами по себе весьма грозны, подвижность, обеспечиваемая рывковыми двигателями Liberator, и универсальность его полётной палубы делают этот лёгкий линкор сильным универсалом, способным бороться с кораблями любого размера (при подходящей конфигурации).

Сведения о происхождении Liberator в основном потеряны временем, но по конструкции он выглядит как нечто среднее между Odyssey, Conquest и Onslaught. Для «лоутек»-корабля он необычайно манёврен и даже располагает довольно солидным всеракурсным щитом. В сочетании с крайне тяжёлой бронёй это делает Liberator очень «прощающим ошибки» кораблём для своего класса, подходящим для командования хорошо связанным, но неопытным офицерам; однако его истинная мощь раскрывается только в руках действительно умелого командира.",,,,,
swp_liberator_luddic_church,SHIP,"Эта модификация лёгкого линкора Liberator меняет полётную палубу на ракетную систему, жёстко запрограммированную выпускать залп торпед Hammer. Луддическая Церковь нашла этой конфигурации хорошее применение как кораблю линии, дополняющему её авианосцы капитального класса чем-то, способным к серьёзному прямому бою.

Класс Liberator не поддаётся строгой классификации, располагаясь по скорости и защите где-то между линкором и линейным крейсером. Хотя его оружейные системы и сами по себе весьма грозны, подвижность, обеспечиваемая рывковыми двигателями Liberator, и универсальность его полётной палубы делают этот лёгкий линкор сильным универсалом, способным бороться с кораблями любого размера (при подходящей конфигурации).

Сведения о происхождении Liberator в основном потеряны временем, но по конструкции он выглядит как нечто среднее между Odyssey, Conquest и Onslaught. Для «лоутек»-корабля он необычайно манёврен и даже располагает довольно солидным всеракурсным щитом. В сочетании с крайне тяжёлой бронёй это делает Liberator очень «прощающим ошибки» кораблём для своего класса, подходящим для командования хорошо связанным, но неопытным офицерам; однако его истинная мощь раскрывается только в руках действительно умелого командира.","Эта модификация лёгкого линкора Liberator меняет полётную палубу на ракетную систему, жёстко запрограммированную выпускать залп торпед Hammer. Луддическая Церковь нашла этой конфигурации хорошее применение как кораблю линии, дополняющему её авианосцы капитального класса чем-то, способным к серьёзному прямому бою.

Класс Liberator не поддаётся строгой классификации, располагаясь по скорости и защите где-то между линкором и линейным крейсером. Хотя его оружейные системы и сами по себе весьма грозны, подвижность, обеспечиваемая рывковыми двигателями Liberator, и универсальность его полётной палубы делают этот лёгкий линкор сильным универсалом, способным бороться с кораблями любого размера (при подходящей конфигурации).",,,,
swp_shimmer,SHIP,"Осколок автономных ИИ-флотов, разработанных корпорацией Tri-Tachyon. Незаконные по законам Домена (и Гегемонии) и считающиеся мерзостью для Церкви Галлического Искупления, эти создания, как гласит официальная история, были вычищены из Сектора в Первой войне ИИ. По крайней мере, именно так это и рассказывают официальные хроники.

Пугающий авианосец Shimmer способен выпускать в бою четыре крыла дрон-истребителей. Набор его вооружения невелик, но гибок: корабль можно настроить либо под усиленную ПВО, либо под сокрушительные ракетные залпы.",,,,,
