name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Моркот,rat_morkoth,Дрон-линкор,Abyssal,rat_abyssal_charge,30,16000,1200,22000,37500,1500,300,,45,30,25,15,20,3500,OMNI,,270,0.3,0.75,,,0,0,250,400,10,40,7,500000,3,15,720,0.25,60,60,,,,,,,UNBOARDABLE,"auto_rec, rat_abyssals, codex_unlockable, limited_tooltip_if_locked, no_dealer",,,,0.4,2,4,,3104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Seraphs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Рагуэль,rat_raguel,Дронокорабль,Seraph,rat_raguel_system,12,4000,400,4500,6250,450,65,,110,160,150,45,100,300,FRONT,,270,0.4,0.75,,,0,0,10,15,1,15,10,45000,5,10,360,0.25,14,14,,,,,,,UNBOARDABLE,"auto_rec, rat_seraph, codex_unlockable, limited_tooltip_if_locked, no_dealer",,,,0.5,2,3,,3111
Сариэль,rat_sariel,Тяжёлый дрононосец,Seraph,rat_sariel_system,18,7000,750,8000,8000,500,115,,85,70,50,20,25,650,FRONT,,270,0.4,0.8,,,0,0,80,60,2,30,10,75000,5,15,420,0.25,18,18,,,,,,,UNBOARDABLE,"auto_rec, rat_seraph, codex_unlockable, limited_tooltip_if_locked, no_dealer",,,,0.5,2,3,,3112
Рафаэль,rat_raphael,Эсминец,Anomalous Phase-Tech,rat_raphael_system,24,7000,750,8000,8000,500,115,,85,70,50,20,25,650,FRONT,,270,0.4,0.8,0.02,0.04,0,15,80,60,2,30,10,125000,5,15,420,0.25,20,20,,,,,,,NO_NEURAL_LINK,"restricted, no_sell, no_dealer, codex_unlockable",,,,0.5,2,3,,3112
Гавриил,rat_gabriel,Фазовый дронокорабль,Seraph,rat_temporal_stasis,30,9000,1250,11000,18000,900,170,2,75,50,40,20,20,1450,PHASE,rat_seraphim_drive,,,,0.05,0.05,0,0,130,160,3,50,8,320000,4,30,420,0.25,35,35,,,,,,,"UNBOARDABLE, CARRIER, COMBAT, NO_AUTO_ESCORT, PHASE","auto_rec, rat_seraph, codex_unlockable, limited_tooltip_if_locked,  no_dealer",,,,0.5,2,3,rat_traveldrive_seraphim_drive,3113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Threat Seraphs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Raguel,rat_raguel,Дронокорабль,Seraph,rat_raguel_system,14,4000,400,4500,6250,450,65,,110,160,150,45,100,250,FRONT,,270,0.4,0.75,,,0,0,10,15,1,15,10,45000,5,10,360,0.25,14,14,,,,,,,,"auto_rec, rat_seraph, codex_unlockable, limited_tooltip_if_locked, no_dealer",,,,0.5,2,3,,3111
,rat_prayer,Молитвенный модуль,Abyssal Threat,rat_prayer_system,12,4500,450,4000,6250,400,60,,80,150,150,40,50,250,FRONT,,270,0.4,0.9,,,0,0,10,15,1,15,10,40000,8,10,320,0.25,12,12,,,,,,,UNBOARDABLE,"auto_rec, codex_unlockable, limited_tooltip_if_locked,  no_dealer, rat_abyss_threat, no_autofit",,,,0.5,2,3,,3111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,#standoff_unit,Линейный модуль,Threat,extraction_protocol,18,18000,1700,12000,11667,700,1000,,70,70,60,15,30,500,FRONT,,150,0.4,1.2,,,0,0,120,150,0.75,200,9,150000,100,10,,,20,20,,,,,,,UNBOARDABLE,"threat, threat_combat, codex_unlockable, limited_tooltip_if_locked",,,,0.5,2,3,,418
#Gabriel,rat_gabriel,Фазовый дронокорабль,Seraph,rat_temporal_stasis,30,9000,1250,11000,18000,900,170,2,75,50,40,20,20,1450,PHASE,rat_seraphim_drive,,,,0.05,0.05,0,0,130,160,3,50,8,320000,4,30,420,0.25,35,35,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT, PHASE","auto_rec, rat_seraph, codex_unlockable, limited_tooltip_if_locked,  no_dealer",,,,0.5,2,3,rat_traveldrive_seraphim_drive,3113
,rat_saint,Модуль святого,Abyssal Threat,rat_saint_system,30,13000,1400,9000,18000,600,160,,75,60,60,25,25,600,FRONT,,270,0.4,0.9,,,0,0,120,150,3,50,9,180000,6,20,420,0.25,35,35,,,,,,,UNBOARDABLE,"auto_rec, codex_unlockable, limited_tooltip_if_locked,  no_dealer, rat_abyss_threat, no_autofit",,,,0.5,2,3,,3113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Primordials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Генезис,rat_genesis,Защитник,Primordial,rat_spatial_disturbance,40,18000,1400,18000,30000,1500,280,,40,50,50,15,25,2400,FRONT,,270,0.4,0.9,,,0,0,220,600,8,50,8,1000000,3,30,600,0.25,75,75,,,,,,,UNBOARDABLE,"auto_rec, no_autofit, codex_unlockable, limited_tooltip_if_locked, rat_primordial, no_dealer, restricted",,,,0.4,2,3,,510
Примордиальная вспомогательная конструкция,rat_genesis_frigate_support,,Primordial,,0,1800,250,5000,2500,1000,0,,130,160,140,40,100,250,NONE,,,,,,,0,0,0,0,1,40,11,0,5,10,360,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",hide_in_codex,,,,0.5,2,2,,3101
Примордиальная штурмовая конструкция,rat_genesis_frigate_attack,,Primordial,,0,2400,275,5000,2500,1000,0,,160,170,150,45,110,250,NONE,,,,,,,0,0,0,0,1,40,11,0,5,10,360,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",hide_in_codex,,,,0.5,2,2,,3101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Азазель,rat_genesis_serpent_head,,Primordial,rat_primordial_cloak,30,16000,1400,10000,12500,700,100,0,110,120,100,15,15,3000,FRONT,,270,0.35,0.9,,,0,0,120,90,3,30,9,140000,5,15,540,0.25,35,35,,,,,,,"UNBOARDABLE, SHIP_WITH_MODULES","auto_rec, no_autofit, codex_unlockable, limited_tooltip_if_locked, rat_primordial, no_dealer, restricted",,,,0.5,2,3,,3103
Сегмент Азазеля,rat_genesis_serpent_segment,,Primordial,,0,16000,1300,8000,12500,400,50,0,0,0,0,0,0,2000,NONE,,270,0.3,0.7,,,0,0,120,90,3,30,9,140000,5,15,540,0.25,0,0,,,,,,,"HIDE_IN_CODEX, UNBOARDABLE",hide_in_codex,,,,0.5,2,3,,3103
Хребет Азазеля,rat_genesis_serpent_spine,,Primordial,,0,16000,1200,8000,12500,400,0,0,0,0,0,0,0,2000,NONE,,270,0.3,0.7,,,0,0,120,90,3,30,9,140000,5,15,540,0.25,0,0,,,,,,,"HIDE_IN_CODEX, UNBOARDABLE, UNDER_PARENT",hide_in_codex,,,,0.5,2,3,,3103
Хвост Азазеля,rat_genesis_serpent_system,,Primordial,,0,16000,1500,6000,12500,300,50,0,0,0,0,0,0,2000,NONE,,270,0.3,0.7,,,0,0,120,90,3,30,9,140000,5,15,540,0.25,0,0,,,,,,,"HIDE_IN_CODEX, UNBOARDABLE",hide_in_codex,,,,0.5,2,3,,3103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Exo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Good,#Good,,,,,,,,,,,,,,,,,,,,,,,,
#Aboleth (F),rat_aboleth,Крейсер-дронокорабль,Abyssal,aboleth_system,20,8000,900,10000,12500,700,165,2,65,35,30,20,25,2000,OMNI,,270,0.3,0.7,#Good,,0,0,120,90,3,30,9,140000,5,15,540,0.25,28,28,,,,,,,"HIDE_IN_CODEX, CARRIER, COMBAT","auto_rec, rat_abyssals",,,,0.5,2,3,,3103
#Doom,doom,Фазовый крейсер,High Tech,mine_strike,22,8000,1250,10000,18000,900,145,,75,55,40,20,25,1200,PHASE,phasecloak,,,,0.05,0.05,50,100,120,150,3,50,8,250000,4,30,420,0.25,35,35,,,,,,,,"rare_bp, hist2t, merc, kanta_gift",,,,0.5,2,3,,406
Афтершэдоу,rat_aftershadow_drone,,,,,10000000,10000,100000,,100000,,,200,300,250,90,180,100,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restricted, no_sell",,,,0,,,,8
Тестия,rat_thestia,Боевой авианосец,Exo-Tech,rat_thestia_system,12,4500,500,5500,3750,350,100,1,80,60,55,25,45,500,FRONT,,270,0.25,0.8,,,20,45,70,50,2,30,10,75000,5,20,420,0.25,12,12,,,,,,,"CARRIER, COMBAT","rat_exotech_bp, no_dealer, codex_unlockable",,,,0.5,2,3,rat_traveldrive_exo,4003
Гипатия,rat_hypatia,Эсминец,Exo-Tech,rat_hypatia_system,12,4000,450,6000,10000,300,80,,110,85,80,45,45,600,FRONT,,270,0.25,0.6,,,30,60,80,100,2,50,10,60000,5,20,360,0.25,10,10,,,,,,,,"rat_exotech_bp, no_dealer, codex_unlockable",,,,0.5,2,3,rat_traveldrive_exo,4004
Тилос,rat_tylos,Фазовый эсминец,Exo-Tech,rat_tylos_system,15,5000,800,6000,10000,600,110,,100,85,65,40,45,600,PHASE,rat_exocloak,,,,0.025,0.05,30,60,80,100,2,50,10,125000,5,20,360,0.25,14,14,,,,,,,"PHASE, SHIP_WITH_MODULES, DO_NOT_SHOW_MODULES_IN_FLEET_LIST","rat_exotech_bp, no_dealer, codex_unlockable",,,,0.5,2,3,rat_traveldrive_exo,4004
Тилос,rat_tylos_double,Фазовый эсминец,Exo-Tech,rat_tylos_system,15,5000,800,6000,10000,600,110,,100,85,65,40,45,600,PHASE,rat_exocloak,,,,0.025,0.05,30,60,80,100,2,50,10,1000000,5,20,360,0.25,0,0,,,,,,,"PHASE, UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT, HIDE_IN_CODEX",restricted,,,,0.5,2,3,,4004
Аркас,rat_arkas,Фазовый крейсер,Exo-Tech,rat_arkas_system,20,8000,1200,12000,16000,800,160,,75,50,45,20,25,2000,PHASE,rat_exocloak,,,,0.025,0.05,50,100,150,120,2,30,9,200000,5,20,540,0.25,35,35,,,,,,,PHASE,"rat_exotech_bp, no_dealer, codex_unlockable",,,,0.5,2,3,rat_traveldrive_exo,4000
Аркас (Фантом),rat_arkas_phantom,Фазовый крейсер,Exo-Tech,,20,100000,3000,12000,16000,800,160,,75,50,45,20,25,2000,NONE,,,,,0.025,0.05,50,100,150,120,2,30,9,200000,5,20,540,0.25,0,0,,,,,,,"PHASE,  ALWAYS_PANIC, UNBOARDABLE, HIDE_IN_CODEX, NEVER_DODGE_MISSILES",restricted,,,,0.5,2,3,,4000
Леанира,rat_leanira,Боевой авианосец,Exo-Tech,rat_leanira_system,20,7500,1100,11000,12500,650,165,3,70,30,25,20,25,2000,OMNI,,270,0.25,0.8,,,110,200,160,130,2,30,9,175000,5,20,540,0.25,30,30,,,,,,,"CARRIER, COMBAT, SHIP_WITH_MODULES, DO_NOT_SHOW_MODULES_IN_FLEET_LIST","rat_exotech_bp, no_dealer, codex_unlockable",,,,0.5,2,3,rat_traveldrive_exo,4001
Афейдас,rat_apheidas,Турельная платформа,Exo-Tech,,0,5500,1150,3000,2500,300,50,,25,40,30,15,20,4000,NONE,,200,0.25,0.8,,,0,0,40,40,1,40,11,30000,5,10,360,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, UNDER_PARENT, ALWAYS_PANIC","restricted, codex_unlockable, no_dealer",,,,0.5,2,2,,4002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гильгамеш,rat_gilgamesh,Фазовый суперэсминец,Experimental Exo-Tech,rat_gilgamesh_system,18,5000,800,8500,10000,600,110,,100,80,70,40,45,800,PHASE,rat_exocloak,,,,0.025,0.05,30,80,90,110,2,50,10,150000,5,20,360,0.25,24,24,,,,,,,PHASE,"restricted, no_dealer, codex_unlockable",,,,0.5,2,3,rat_traveldrive_exo,4004
,rat_gilgamesh_drone,,,,,10000000,0,100000,,100000,,,100,100,100,300,300,100,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,"restricted, no_sell, no_dealer",,,,0,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Протозвезда,rat_protostar,,Exo-Tech,,,300,50,400,,100,0,,180,280,230,80,160,20,FRONT,,270,0,0.8,,,1,0,,,,,,,,,,,,,,,,,,,,"codex_unlockable, no_dealer",,,,0,,,,3120
Ночной клинок,rat_nightblade,,Exo-Tech,,,350,60,450,,100,0,,220,300,250,120,250,20,FRONT,,270,0,0.8,,,1,0,,,,,,,,,,,,,,,,,,,,"codex_unlockable, no_dealer",,,,0,,,,3120
Клинок рассвета,rat_dawnblade,,Exo-Tech,,,750,120,1250,,100,0,,200,300,250,90,180,20,FRONT,,270,0,0.8,,,3,0,,,,,,,,,,,,,,,,,,,,"codex_unlockable, no_dealer",,,,0,,,,3120
Сверхновая,rat_supernova,,Exo-Tech,rat_supernova_system,,900,150,1500,,275,0,,350,350,150,120,360,50,OMNI,,270,0,0.8,,,0,0,,,,,,,,,,,,,,,,,,,,"codex_unlockable, no_dealer",,,,0,,,,3120
