name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
"Тисифона",SCY_tisiphone,"Фрегат-задира","Инженерный колледж Скиан",SCY_twinShield,6,1500,150,2950,,100,40,,200,200,150,120,240,180,OMNI,,100,0.5,1.6,,,5,5,0,5,1,5,12,16000,10,20,240,0.25,5,5,,scy_adv_bp,,0.4,2,2,932
"Лелапс",SCY_lealaps,"Фрегат-охотник","Инженерный колледж Скиан",forgevats,6,1300,130,2375,,100,42,,190,180,110,120,240,175,OMNI,,100,0.5,1.7,,,7,7,0,5,1,5,12,12000,10,20,180,0.25,5,5,,scy_bp,,0.4,2,2,933
"Талос",SCY_talos,"Тяжёлый фрегат","Инженерный колледж Скиан",SCY_stasisShield,6,2000,210,3450,,100,48,,180,120,100,80,160,275,OMNI,,100,0.5,1.5,,,20,30,40,20,1,20,11,14000,8,15,300,0.25,6,6,,scy_bp,,0.3,2,2,935
"Мегера",SCY_megaera,"Тяжёлый фрегат","Инженерный колледж Скиан",SCY_safeties,6,1800,190,3000,,100,45,,190,130,110,90,180,270,OMNI,,100,0.5,1.7,,,18,26,40,20,1,20,11,13000,8,15,240,0.25,6,6,,scy_adv_bp,,0.3,2,2,934
"Стимфалийская птица",SCY_stymphalianbird,"Фрегат спецопераций","Инженерный колледж Скиан",SCY_experimentalTeleporter,15,1600,160,3150,,100,35,,200,190,150,120,240,150,FRONT,,100,0.5,1.6,,,1,1,0,5,1,3,12,35000,10,30,180,0.33,10,10,,rare_bp,,0.5,2,2,936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Балий",SCY_baliusF,"Грузовой корабль","Инженерный колледж Скиан",,5,2000,125,1650,,100,25,,100,55,35,30,20,300,OMNI,,100,0.5,1.8,,,10,20,400,100,1.5,66,10,15000,5,20,180,0.25,4,4,"CIVILIAN, FREIGHTER",scy_bp,,0.6,2,3,940
"Балий",SCY_baliusT,"Танкер","Инженерный колледж Скиан",,5,2000,125,1650,,100,25,,100,55,35,30,20,300,OMNI,,100,0.5,1.8,,,10,20,30,650,1.5,166,10,15000,5,20,180,0.25,4,4,"CIVILIAN, TANKER",scy_bp,,0.6,2,3,941
"Тельхина",SCY_telchine,"Шахтёрский корабль","Инженерный колледж Скиан",,7,3000,300,2650,,100,35,1,90,45,30,30,20,350,OMNI,,50,0.5,1.8,,,35,45,150,250,1.5,166,10,16000,5,20,420,0.25,6,6,"CIVILIAN, FREIGHTER",scy_bp,,0.6,2,3,942
"Ламия",SCY_lamia,"Эсминец","Инженерный колледж Скиан",SCY_twinShield,10,3500,350,6000,,200,75,,110,80,50,45,30,325,OMNI,,100,0.5,1.7,,,40,70,80,55,1.5,18,11,34000,5,15,300,0.25,8,8,,scy_bp,,0.5,2,3,943
"Ламия (бронированная)",SCY_lamiaA,"Тяжёлый эсминец","Инженерный колледж Скиан",SCY_twinShield,11,3750,375,6000,,200,75,,100,50,35,35,20,350,OMNI,,100,0.5,1.6,,,45,60,75,50,2,25,10,40000,4,12,360,0.25,10,10,SHIP_WITH_MODULES,scy_adv_bp,,0.4,2,3,944
"Пирэмон",SCY_pyraemon,"Тяжёлый эсминец","Инженерный колледж Скиан",SCY_stasisShield,11,3250,350,6300,,250,75,,100,70,40,45,35,400,OMNI,,100,0.5,1.7,,,50,70,75,60,1.5,20,10,37000,4,16,240,0.25,9,9,,scy_adv_bp,,0.5,2,3,945
"Гидра",SCY_hydra,"Эсминец-охотник","Инженерный колледж Скиан",SCY_safeties,11,4000,400,6600,,300,80,,125,150,100,50,50,400,OMNI,,100,0.5,1.7,,,55,60,40,40,2,13,11,39000,5,15,360,0.25,9,9,,scy_adv_bp,,0.4,2,3,946
"Герион",SCY_geryon,"Ракетный эсминец","Инженерный колледж Скиан",SCY_secondaryThrusters,10,3000,325,4050,,200,70,,105,75,45,45,35,325,OMNI,,100,0.5,1.7,,,40,60,50,50,1.5,17,10,36000,4,16,300,0.25,10,10,,scy_adv_bp,,0.5,2,3,947
"Аргус",SCY_argus,"Авианосец","Инженерный колледж Скиан",SCY_probeDrones,9,3000,300,3600,,200,65,2,110,65,40,40,20,350,OMNI,,120,0.5,1.7,,,45,120,40,30,1.5,20,11,32000,4,12,360,0.25,10,10,CARRIER,scy_bp,,0.7,2,3,948
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Передняя броня",SCY_lamiaAF,,,,0,2500,250,0,,0,0,,0,0,0,50,50,225,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,2,2,1001.1
"Левая броня",SCY_lamiaAL,,,,0,2000,200,0,,0,0,,0,0,0,50,50,200,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,2,2,1001.2
"Правая броня",SCY_lamiaAR,,,,0,2000,200,0,,0,0,,0,0,0,50,50,200,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,2,2,1001.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Дракана",SCY_dracanae,"Крейсер-охотник","Инженерный колледж Скиан",SCY_safeties,12,7500,700,11000,,300,125,,70,60,50,35,35,1100,OMNI,,90,0.5,1.7,,,120,180,130,100,2.5,40,9,120000,4,13,420,0.25,15,15,,scy_bp,,0.6,2,3,950
"Сирена",SCY_siren,"Лёгкий крейсер","Инженерный колледж Скиан",SCY_teleport,14,6000,450,10000,,300,100,1,90,65,55,35,30,800,OMNI,,90,0.5,1.6,,,80,120,130,100,2,50,10,140000,4,14,420,0.25,20,20,,"scy_adv_bp, rare_bp",,0.6,2,3,951
"Корокотта",SCY_corocotta,"Крейсер","Инженерный колледж Скиан",SCY_secondaryThrusters,14,7500,750,12500,,300,125,,80,50,40,30,25,1000,OMNI,,90,0.5,1.7,,,110,170,150,110,2.5,48,10,100000,5,15,420,0.25,20,20,,scy_bp,,0.6,2,3,952
"Корокотта (бронированная)",SCY_corocottaA,"Тяжёлый крейсер","Инженерный колледж Скиан",SCY_twinShield,15,7500,750,12500,,300,125,,60,40,30,20,15,1200,OMNI,,90,0.5,1.7,,,140,200,120,100,3,33,9,130000,4,12,480,0.25,22,22,SHIP_WITH_MODULES,scy_adv_bp,,0.5,2,3,953
"Халкотаври",SCY_khalkotauroi,"Лучевой крейсер","Инженерный колледж Скиан",SCY_secondaryThrusters,15,7000,500,10500,,300,110,,80,60,50,30,25,875,OMNI,,90,0.5,1.7,,,90,115,70,80,2.5,32,10,140000,4,14,420,0.25,20,20,SHIP_WITH_MODULES,"scy_adv_bp, rare_bp",,0.7,2,3,954
"Эриманфский вепрь",SCY_erymanthianboar,"Ракетный крейсер","Инженерный колледж Скиан",forgevats,15,7000,600,7800,,300,110,,75,55,45,25,20,1300,OMNI,,90,0.5,1.7,,,115,175,140,100,2.5,40,9,135000,4,15,420,0.25,21,21,,scy_adv_bp,,0.6,2,3,955
"Андрофаг",SCY_manticore,"Авианосец","Инженерный колледж Скиан",SCY_ciwsDrones,15,6500,400,8500,,300,100,3,80,45,35,15,15,900,OMNI,,90,0.5,1.8,,,180,300,90,60,2.5,24,10,115000,4,12,420,0.25,20,20,CARRIER,scy_bp,,0.7,2,3,956
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Энергетический модуль",SCY_khalkPA,,,,0,1000,150,0,,0,0,,0,0,0,50,50,200,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,0.1,2,2,1002.1
"Энергетический модуль",SCY_khalkPB,,,,0,1000,150,0,,0,0,,0,0,0,50,50,200,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,0.1,2,2,1002.2
"Энергетический модуль",SCY_khalkPC,,,,0,1000,150,0,,0,0,,0,0,0,50,50,200,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,0.1,2,2,1002.3
"Энергетический модуль",SCY_khalkPD,,,,0,1000,150,0,,0,0,,0,0,0,50,50,200,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,0.1,2,2,1002.4
"Энергетический модуль",SCY_khalkPE,,,,0,1000,150,0,,0,0,,0,0,0,50,50,200,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",module_hull_bar_only,,0.1,2,2,1002.5
"Энергетический модуль",SCY_khalkPF,,,,0,1000,150,0,,0,0,,0,0,0,50,50,200,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,0.1,2,2,1002.6
"Передняя броня",SCY_corAF,,,,0,3000,300,0,,0,0,,0,0,0,50,50,400,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,2,2,1003.1
"Передняя левая броня",SCY_corAFL,,,,0,2500,250,0,,0,0,,0,0,0,50,50,400,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,2,2,1003.2
"Передняя правая броня",SCY_corAFR,,,,0,2500,250,0,,0,0,,0,0,0,50,50,400,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,2,2,1003.3
"Задняя левая броня",SCY_corAL,,,,0,2500,250,0,,0,0,,0,0,0,50,50,400,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,2,2,1003.4
"Задняя правая броня",SCY_corAR,,,,0,2500,250,0,,0,0,,0,0,0,50,50,400,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,2,2,1003.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ксанф",SCY_xanthus,"Субкапитальный грузовой корабль","Инженерный колледж Скиан",,9,8000,150,4750,,100,50,,55,20,5,5,3,3000,OMNI,,45,0.6,2,,,25,50,1600,300,4,75,8,100000,2,20,480,0.25,10,10,"CIVILIAN, FREIGHTER",rare_bp,,0.7,2,4,960
"Кето",SCY_keto,"Осадный авианосец","Инженерный колледж Скиан",SCY_ciwsDrones4,27,10000,500,14300,,500,210,4,60,25,10,15,5,3200,OMNI,,90,0.6,1.5,,,300,600,400,240,8,30,9,450000,4,16,600,0.25,45,45,"CARRIER, SHIP_WITH_MODULES",rare_bp,,0.7,2,4,961
"Немейский лев",SCY_nemeanlion,"Боевая крепость","Инженерный колледж Скиан",SCY_targeting,28,15000,1000,22500,,500,215,,50,20,10,10,5,4200,OMNI,,90,0.6,2,,,300,500,300,210,7,30,8,400000,3,12,660,0.25,45,45,SHIP_WITH_MODULES,rare_bp,,0.6,2,4,962
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Передняя левая броня",SCY_lionFL,,,,0,12000,600,0,,0,0,,0,0,0,50,50,800,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,3,3,1004.1
"Передняя правая броня",SCY_lionFR,,,,0,12000,600,0,,0,0,,0,0,0,50,50,800,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,3,3,1004.2
"Задняя левая броня",SCY_lionRL,,,,0,10000,500,0,,0,0,,0,0,0,50,50,700,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,3,3,1004.3
"Задняя правая броня",SCY_lionRR,,,,0,10000,500,0,,0,0,,0,0,0,50,50,700,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",module_hull_bar_only,,1,3,3,1004.4
"Орудийный ствол",SCY_ketoAL,,,,0,4000,500,100,,50,0,,0,0,0,50,50,700,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,1,2,2,1005.1
"Внешние полётные палубы",SCY_ketoAR,,,,0,5000,500,100,,50,0,,0,0,0,50,50,800,NONE,,,,,,,,,,,,,,,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,1,2,2,1005.2
