name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Аварийный барьер,HSI_EmergencyBarrier,,,,,,0.2,,2,0.025,0.05,,2,1,,,,,,,,,,TRUE,,,graphics/icons/hullsys/interdictor_array.png
Быстрое подкрепление,HSI_RapidReinforcement,,,,,,0.2,,2,0.0333,0.5,1,2,15,,,,,,,,,,TRUE,,,graphics/icons/hullsys/fortress_shield.png
Дизраптор IFF,HSI_IFFDisruptor,,0.2,,,,,,3,0.04,1,10,2,8,,,,,,,,,,TRUE,,,graphics/icons/hullsys/interdictor_array.png
Временной шунт,HSI_TimeShunt,,,,,,,,,,0.2,,0.2,1,,,,,,,,,,TRUE,,,graphics/icons/hullsys/interdictor_array.png
Гнев громовержца,HSI_ThorFury,1,,,,,0.2,,,,0.5,3,0.5,4,,,,,TRUE,,,,,,,,graphics/icons/hullsys/emp_emitter.png
Ламинарный поток,HSI_LuminarFlow,,,,,,,,3,0.04,0.25,3,0.25,6,,,,,,,,,,,,,graphics/icons/hullsys/fortress_shield.png
Фазовый телепортатор,HSI_Phaseteleporter,,,,,,,,,,1,,2.5,10.5,,,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
Походный ускоритель,HSI_TravelJump,1,,,,,,,,,2,,2,0,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Гиперускоритель,HSI_HyperJump,1,,,,,,,,,2,,0.2,0,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Рывок дредноута,HSI_DreadnoughtCharge,1,,,,,,,3,0.05,1,2,1,12.5,TRUE,,,,,TRUE,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Глубокое погружение,HSI_DeepDive,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,,TRUE,,,graphics/icons/hullsys/phase_cloak.png
Космический шторм,HSI_SpaceStorm,1,,,,,,,2,0.05,1.5,0.05,1.5,10,,,,,TRUE,,,,,TRUE,,,graphics/icons/hullsys/temporal_shell.png
Поддержка арбалетрьера,HSI_Arbaletrier_Support,,,,,,,,2,,,,,,,,,,,,,,,,,,
Поддержка служанок,HSI_Maid_Support,,,,,,,,1,0.05,,,,0.5,,,,,,,,,,,,,
Поднять щиты,HSI_ShieldUp,,,,,,,,,,0.5,,0.5,0.5,TRUE,,,,,,,,,,,,
Перегрузочный привод,HSI_OverDrive,,,0.04,,,,,,,2,10,3,10,,,,,,,,,,,,,graphics/icons/hullsys/infernium_injector.png
Манипуляция пространством-временем,HSI_TSControl,,,,,,,,3,0.0667,0.5,1,0.5,2,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
Evasive Maneuver,HSI_DodgeFighter,,,,,,,,,,0.1,0.3,0.1,2.5,,,,,TRUE,,,,,,,,
Дневная аврора,HSI_DayTimeAurora,,,,,,,,,,2,5,1,10,TRUE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Сетевое управление огнем,HSI_UplinkFireControl,1,,,,,0.2,,1,0.0333,1,20,1,15,,,,,,,,,,,TRUE,,graphics/icons/hullsys/interdictor_array.png
Атака всей палубой,HSI_DeckLoadStrike,,,,,,0.2,,,,0,0.5,0,360,,,,,,,,,,,TRUE,,graphics/icons/hullsys/reserve_deployment.png
Последняя крепость,HSI_FinalFortress,1,,,,,,,1,0.1,0.8,6.4,0.8,4,,,,,,,,,,,TRUE,,graphics/icons/hullsys/fortress_shield.png
Сверхимпульсный привод,HSI_OverBurstDrive,1,,,,,,,3,0.1,0.4,0.4,0.5,,,,,,,,TRUE,TRUE,,,,restricted,graphics/icons/hullsys/burn_drive.png
