name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number,,
Восьмая нота,dpl_quaver,3,,,4000,,200,100,25,15,,6,0.3,6,ENERGY,325,,0,18,6,0.3,,,,,,300,200,16,400,,,"SYSTEM,DO_NOT_AIM, DO_NOT_CONSERVE",,,Лаборатория фазового Домена,,Дальняя поддержка (по площади),Быстрая,Средняя,,,"Когда эти моты попадают в цель, каждое попадание перекидывается дугой на оружие и двигатели, нанося энергетический урон с ЭМИ в размере %s от урона оружия; при попадании по корпусу ноты наносят на %s больше урона из-за эффекта растрескивания материи. Моты также наносят большой урон звеньям и ракетам.",25%|100%,,,TRUE,104,,
Ноты HELA,dpl_station_notes,3,,,4000,,500,250,25,15,10,30,1,30,ENERGY,450,,0,0.2,1,,,,,,,100,120,40,400,,,"SYSTEM,DO_NOT_AIM, DO_NOT_CONSERVE",,,Лаборатория фазового Домена,,Дальняя поддержка (по площади),Быстрая,Средняя,,,"Особые оборонительные индукторы мотов, созданные только для устройства HELA; их нельзя установить на другие корабли. При попадании этих мотов по корпусу каждое попадание перекидывается дугой на оружие и двигатели, нанося реальный урон с ЭМИ в размере %s от урона оружия. При попадании по щитам каждое попадание создает жёсткую нагрузку в размере %s от урона оружия и имеет шанс перекинуться дугой на оружие и двигатели; каждая дуга наносит %s от урона оружия. Моты также наносят большой урон звеньям и ракетам.",100%|100%|25%,,,TRUE,104,,
Фазовые огни,dpl_phase_lights,3,,,4000,,3350,,25,15,,1,0.1,1,ENERGY,3300,,0,10,1,,,,,,,300,200,14,2000,,,"SYSTEM,DO_NOT_AIM, DO_NOT_CONSERVE",,,Лаборатория фазового Домена,,Дальняя поддержка (по площади),Средняя,Средняя,,,,,,,TRUE,104,,
Фазовый заряд-мот,dpl_phase_cm,3,,,4000,,200,,25,15,,1,0.1,1,ENERGY,120,,0,10,1,,,,,,,300,200,8,2000,,,"SYSTEM,DO_NOT_AIM, DO_NOT_CONSERVE",,,Лаборатория фазового Домена,,Дальняя поддержка (по площади),Средняя,Средняя,,,,,,,TRUE,104,,
Стабилизатор аномалий,dpl_mote_stablizer,3,,10000,1200,,100,,15,30,,3,0.05,1,ENERGY,1000,,0,1,1,,,,,,,150,50,8,300,,,"SYSTEM,GUIDED_POOR,DO_NOT_AIM,DO_NOT_CONSERVE",missile8,,Секретно DPL,,Против щитов,Медленная,Плохое,,,Из-за дестабилизирующего воздействия малых мотообразных аномалий попадания суббоеприпасов по щиту увеличивают жёсткую нагрузку на %s. Этот урон игнорирует эффективность щита.,175,,,TRUE,11.75,,
"DEM SRM ""Сирена""",dpl_siren,1,,250,1500,,1200,,15,30,4,3,,,ENERGY,0,,0,4,1,,,,,,,300,75,6,250,,,DO_NOT_AIM,"missile8, strike4, merc, dpl_commercial_bp, damage_special, damage_soft_flux",,Лаборатория фазового Домена,,Штурм / Добивание,Средняя,Хорошее,,,"Ракета выпускает мощный лазер при приближении к цели, нанося примерно %s энергетического урона коротким импульсом. На этот урон влияют модификаторы ракетного урона, а не энергетического оружия.",1200,,,TRUE,11.9,,
"Одиночная DEM SRM ""Сирена""",dpl_siren_single,1,,,1500,,1200,,15,30,,1,,,ENERGY,0,,0,4,1,,,,,,,300,75,6,250,,,"SYSTEM, DO_NOT_AIM",,,Лаборатория фазового Домена,,Штурм / Добивание,Средняя,Хорошее,,,"Ракета выпускает мощный лазер при приближении к цели, нанося примерно %s энергетического урона коротким импульсом. На этот урон влияют модификаторы ракетного урона, а не энергетического оружия.",1200,,,TRUE,11.9,,
    Сирена - полезная нагрузка,dpl_siren_payload,1,,0,700,1200,,,,30,0,,,,ENERGY,0,,0.05,0.25,0.9,0.5,,,,,1000000,,,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,11.91,,
Якорь,dpl_anchor,2,,,1600,,100,,15,30,0,1,0.05,1,ENERGY,0,,0,10,1,,,,,,,150,25,6,550,,,"SYSTEM, DO_NOT_AIM","missile6, damage_special, damage_soft_flux",,Секретно DPL,,Подавление,Медленная,Хорошее,,,"Ракета выпускает направляющий луч по нефазированным целям, нанося примерно %s энергетического урона за %s сек. На этот урон влияют модификаторы ракетного урона, а не энергетического оружия. Луч служит якорем для высокоразмерных аннигиляционных дуг.",500 | 5,,,TRUE,11.94,,
    Якорь - полезная нагрузка,dpl_anchor_payload,2,,0,1000,100,,,20,30,0,,,,ENERGY,0,,0.1,0.1,10,0.5,,,,,2400,,,,,,,SYSTEM,,,,,,,,,,,,,,,11.95,,
Гравитонное копье,dpl_graviton_lance,3,0.6,1600,1000,400,,,10,15,11,,,,KINETIC,,500,0.5,1,1,4,,,,,3000,,,,,,,"STRIKE,USE_VS_FRIGATES","energy14, beam10, LR, dpl_commercial_bp",,Лаборатория фазового Домена,,Против щитов,,,,,,,,,,105,,
Плазменное копье,dpl_plasma_lance,3,0.6,1600,1000,450,,,10,15,12,,,,ENERGY,,550,0.5,1,1,4,,,,,3000,,,,,,,"STRIKE,USE_VS_FRIGATES","energy14, beam10, LR, dpl_commercial_bp",,Лаборатория фазового Домена,,Против брони,,,,,,,,,,105,,
Гамма-бластер,dpl_gamma_blaster,3,0.7,1000,500,1200,,,0,15,10,20,,,ENERGY,,1000,0.5,0.25,1,9,,,,,10000,,,,,,,"STRIKE,USE_VS_FRIGATES","energy14, beam10, LR, dpl_commercial_bp",,Лаборатория фазового Домена,,Против брони,,,,,,,,,,105,,
Лонгин,dpl_longinus,3,,,950,,5500,4000,200,5,,1,0.033,,ENERGY,6000,,0.2,20,,,,,,,,1000,,,1000,,,"SYSTEM,STRIKE",,,Лаборатория фазового Домена,,Против брони,,,,,Наносит дополнительный фугасный урон при попадании по корпусу. Попадания по щитам не имеют эффекта.,,,,,106,,
Гунгнир,dpl_gungnir,3,,,500,,1000,1000,200,5,,1,0.167,,HIGH_EXPLOSIVE,1500,,0.2,6,,,,,,,,1000,,,1000,,,"SYSTEM,STRIKE",,,Лаборатория фазового Домена,,Против брони,,,,,"Добавляет цели %s слой плазменного потенциала при попадании по корпусу или щиту; цель может иметь не более %s слоев. Если у цели уже есть плазменные слои, также увеличивает время жизни всех слоев на %s сек. Каждый слой существует до %s сек. и исчезает, если до конца времени не будет новых попаданий.",1|4|1|12.5,,,,107,,
Фазовая молниевая пушка,dpl_phase_pd,3,0.4,6500,550,,50,150,40,12,22,12,1.5,3,ENERGY,40,,0,0.3,1,,,,,,,10000,,,25,,,"PD,PD_ALSO","pd20, dpl_navy_bp, no_bp_drop",,Лаборатория фазового Домена,,ПВО,,,,Идеальная,Выпускает фазовые молниевые дуги в ближайшую цель рядом с текущим направлением оружия. Дуга всегда попадает. При попадании создает вторичные и третичные дуги с %s дальности и тем же уроном. Наносит дополнительный урон истребителям и ракетам.,50%,,,,200.25,,
Тяжелая молниевая пушка,dpl_heavy_phase_pd,3,,10000,850,,100,500,40,12,,,,,ENERGY,550,,0,2,12,0.2,,,,,,10000,,,25,,,"SYSTEM,PD,PD_ALSO",,,Лаборатория фазового Домена,,ПВО,,,,Идеальная,"Выпускает фазовые молниевые дуги в ближайшую цель рядом с текущим направлением оружия. Дуга всегда попадает. При попадании создает вторичные дуги ко всем целям в пределах %s дальности до цели, нанося тот же урон. Наносит на %s больше урона истребителям и ракетам.",50%|150%,,,,108,,
Термальное импульсное копье,dpl_tpl,0,,,1000,1650,,,0,7,,,,,ENERGY,,800,0.5,1,1,1.5,,,,,10000,,,,,,,"SHOW_IN_CODEX,SYSTEM,FIRE_WHEN_INEFFICIENT",,,Лаборатория фазового Домена,,Универсальное,,,,,,,,,,108,,
Плотный плазменный луч,dpl_hdpb,3,0.4,8000,750,1250,,250,0,7,24,,,,ENERGY,,1500,0.25,0.25,1,0.25,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, LR, dpl_commercial_bp",,Лаборатория фазового Домена,,Универсальное,,,,,,,,,,27,,
Фазовое зарядное копье,dpl_lightning_lance,3,0.4,8500,1000,1000,,1000,0,7,30,,,,ENERGY,,1500,0.5,1,1,4,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, LR, dpl_navy_bp, no_bp_drop",,Лаборатория фазового Домена,,Подавление,,,,,Создает электромагнитные моты при попадании. При стрельбе лучом с малой дистанции появляется больше мотов. Каждый мот наносит %s энергетического урона при попадании по цели.,200,,,,27,,
Трио,dpl_trio,3,0.4,,1000,175,,,250,15,,,,,KINETIC,,200,0.1,0.1,,,,,,,2400,,,,,,,"SYSTEM,FIRE_WHEN_INEFFICIENT",,,Лаборатория фазового Домена,,Подавление,,,,,"Создает стационарные точки гравитонной плотности рядом с кораблем-целью, снижая скорость и маневренность цели на %s при одном полномощном гравитонном луче, на %s при двух, на %s при трех и на %s при четырех или более одновременных попаданиях.",30%|60%|90%|95%,Гравитационные эффекты замедляют цель и сбивают ее с курса. Эффект невелик и наиболее заметен против истребителей и ракет.,,,21,,
Гравитонный зарядник,dpl_gc,3,,,1150,,500,,250,15,,1,0.1,,KINETIC,1000,,0,6,,,,,,,,10000,,,,,,SYSTEM,,,Лаборатория фазового Домена,,Подавление,,,,,"Создает стационарные точки гравитонной плотности рядом с кораблем-целью, снижая скорость и маневренность цели на %s на %s сек. после каждого попадания.",90%|7.5,Гравитационные эффекты замедляют цель и сбивают ее с курса. Эффект невелик и наиболее заметен против истребителей и ракет.,,,22,,
Гимн,dpl_hymn,3,,,1000,1600,,1000,0,7,,2,0.1,,ENERGY,,1750,0.5,1,1,4,,,,,10000,,,,,,,"SYSTEM,FIRE_WHEN_INEFFICIENT,STRIKE,USE_VS_FRIGATES",,,Лаборатория фазового Домена,,Против щитов,,,,,Наносит дополнительный жёсткую нагрузку при попадании по щиту в размере %s от урона. Попадания по корпусу не имеют особого эффекта.,100%,,,,27,,
Хорал,dpl_anthem,3,,,1000,1600,,1000,0,7,,2,0.1,,ENERGY,,1750,0.5,1,1,4,,,,,10000,,,,,,,"SYSTEM,FIRE_WHEN_INEFFICIENT,STRIKE,USE_VS_FRIGATES",,,Львиная гвардия,,Против щитов,,,,,Наносит дополнительный жёсткую нагрузку при попадании по щиту в размере %s от урона. Попадания по корпусу не имеют особого эффекта.,100%,,,,27,,
Симфония,dpl_symphony,3,,,1000,2100,,1500,0,0,,2,0.083,,ENERGY,,2250,0.5,1,1,6,,,,,10000,,,,,,,"SYSTEM,FIRE_WHEN_INEFFICIENT,STRIKE,USE_VS_FRIGATES",,,Лаборатория фазового Домена,,Против щитов,,,,,Наносит дополнительный жёсткую нагрузку при попадании по щиту в размере %s от урона. Попадания по корпусу не имеют особого эффекта.,100%,,,,27,,
Фазовый сифон,dpl_siphon,3,,0,550,,50,0,40,10,,,,,ENERGY,100,,0,0.05,1,,,,,,,10000,,,250,,,SYSTEM,"energy15, LR, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Лаборатория фазового Домена,,Подавление,,,,,"Выпускает фазовые сифонные дуги по вражеским кораблям. При попадании по корпусу дуга наносит указанное количество реального урона, игнорирующего броню, плюс %s реального урона броне. При попадании по щиту создает жёсткую нагрузку в размере %s урона, игнорируя эффективность щита. Затем корабль восстанавливает %s потерянных очков корпуса и брони цели.",50%|100%|80%,,,,5.5,,
Проектор молний,dpl_ltn_projector,3,0.4,8000,700,,80,300,0,10,25,160,2.5,20,ENERGY,100,,0,0.1,1,,,,,,,750,,,500,,,FIRE_WHEN_INEFFICIENT,"energy20, dpl_navy_bp, no_bp_drop",,Лаборатория фазового Домена,,Универсальное,,,,,Выпускает фазовые молниевые дуги в ближайшую цель рядом с текущим направлением оружия. Дуга всегда попадает.,,,,,28,,
Антиматерийная пушка,dpl_am_cannon,3,,8500,650,,1000,,0,5,12,,,,ENERGY,1200,,1,9,,,0,0,0,0,,1000,,,,,,"STRIKE, USE_VS_FRIGATES","strike18, dpl_navy_bp, no_bp_drop",,Лаборатория фазового Домена,,Ударное,,,,,,,,,,28,,
Плазменный молот,dpl_plasma_hammer,3,0.4,10000,800,,750,,0,10,30,12,0.5,2,ENERGY,850,,0,3,1,,,,,,,1000,,,500,,,,"energy20, dpl_navy_bp, no_bp_drop",,Лаборатория фазового Домена,,Универсальное,,,,,,,,,,203,,
"Воздушная торпеда ""Терминатор-X""",dpl_phonographair,3,,,800,,5500,,0,10,,1,,,ENERGY,100,,0,15,1,,,,,,,350,100,3,400,,,"SYSTEM,STRIKE",,,Неизвестно,,Универсальное,,,,,,,,,TRUE,207,,
"Воздушная торпеда ""Терминатор""",dpl_gramophoneair,3,,,1000,,5000,,0,10,,2,,,ENERGY,60,,0,15,1,,,,,,,450,120,3,550,,,"SYSTEM,STRIKE",,,Неизвестно,,Универсальное,,,,,,,,,TRUE,208,,
Плазменный залп,dpl_plasma_fighter,3,,,1000,,125,,10,20,12,,,,ENERGY,200,,0,2,1,,0,5,1,10,,900,,,30,,,SYSTEM,"he16, LR, remnant, rare_bp, merc, ind",,Лаборатория фазового Домена,,Против брони,,,,,,,,,,4.75,,
Фазовый бластер,dpl_fighter_charge,3,,,500,,200,,10,40,8,,,,FRAGMENTATION,50,,0,1,1,,0,10,2,10,,700,,,30,,,"PD,SYSTEM","pd13, SR, lowtech_bp, merc, ind",,Лаборатория фазового Домена,,ПВО (по площади),,,,,,,,,,4,,
Высокочастотный лазер,dpl_hflaser_fighter,3,,,500,125,,,0,100,6,4,0.5,,ENERGY,,100,0.1,0.1,0.8,0.1,,,,,10000,,,,,,,"PD,ANTI_FTR,SYSTEM","pd9, beam6",,Лаборатория фазового Домена,,ПВО,,,,,,,,,,19.7,,
Фазовый молниевый излучатель,dpl_phase_pdair,3,,,550,,50,150,0,12,,,,,ENERGY,60,,0,1,1,,,,,,,10000,,,25,,,"SYSTEM,PD,PD_ALSO",,,Лаборатория фазового Домена,,ПВО,,,,Идеальная,Выпускает фазовые молниевые дуги в ближайшую цель рядом с текущим направлением оружия. Дуга всегда попадает. При попадании создает вторичные и третичные дуги с %s дальности и тем же уроном.,50%,,,,208.5,,
Тяжелый молниевый излучатель,dpl_heavy_pdair,3,,,750,,100,300,,,,,,,ENERGY,250,,0,1,1,,,,,,,10000,,,25,,,"SYSTEM,PD,PD_ALSO",,,Лаборатория фазового Домена,,ПВО,,,,Идеальная,"Выпускает фазовые молниевые дуги в ближайшую цель рядом с текущим направлением оружия. Дуга всегда попадает. При попадании создает вторичные дуги ко всем целям в пределах %s дальности до цели, нанося тот же урон. Наносит на %s больше урона истребителям и ракетам.",50%|150%,,,,208.5,,
Тяжелый молниевый излучатель Mk.II,dpl_heavy_mg,3,,,500,,100,300,,,,,,,ENERGY,125,,0,2,6,0.2,,,,,,10000,,,25,,,"SYSTEM,PD,PD_ALSO",,,Лаборатория фазового Домена,,ПВО,,,,Идеальная,"Выпускает фазовые молниевые дуги в ближайшую цель рядом с текущим направлением оружия. Дуга всегда попадает. При попадании создает вторичные дуги ко всем целям в пределах %s дальности до цели, нанося тот же урон. Наносит на %s больше урона истребителям и ракетам.",50%|150%,,,,208.5,,
Оракул,dpl_oracle,3,,,8000,6000,,4000,50,0,,,,,ENERGY,,5000,12,16,1,150,,,,,10000,,,,,,,"SYSTEM,FIRE_WHEN_INEFFICIENT,DO_NOT_CONSERVE,STRIKE,USE_VS_FRIGATES",,,Лаборатория фазового Домена,,Дальняя поддержка,,,,,"При попадании по корпусу создает огромный температурный градиент и наносит дополнительный урон %s, пропорциональный текущей прочности корпуса цели. При длительном попадании по щитам создает плазменную дугу, пробивающую щит. Плазменная дуга создает огромный температурный градиент на поверхности цели, нанося урон %s, пропорциональный текущей прочности корпуса цели. При попадании по крупным целям вроде станций имеет шанс создать плазменные дуги, поражающие другие модули и корабли поблизости.","""Фугасный""|""Фугасный""",,,,209,,
Оракул (босс),dpl_oracle_boss,3,,,8000,6000,,4000,50,0,,,,,ENERGY,,5000,12,16,1,30,,,,,10000,,,,,,,"SYSTEM,FIRE_WHEN_INEFFICIENT,DO_NOT_CONSERVE,STRIKE,USE_VS_FRIGATES",,,Лаборатория фазового Домена,,Дальняя поддержка,,,,,"При попадании по корпусу создает огромный температурный градиент и наносит дополнительный урон %s, пропорциональный текущей прочности корпуса цели. При длительном попадании по щитам создает плазменную дугу, пробивающую щит. Плазменная дуга создает огромный температурный градиент на поверхности цели, нанося урон %s, пропорциональный текущей прочности корпуса цели. При попадании по крупным целям вроде станций имеет шанс создать плазменные дуги, поражающие другие модули и корабли поблизости.","""Фугасный""|""Фугасный""",,,,209,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бомбардон,dpl_srsphn_maingun,3,,100000,1200,,4000,,3,60,0,,,,ENERGY,4500,,1,16,1,,0,0,0,0,,1500,,,400,,,SYSTEM,energy15,,Лаборатория фазового Домена,,Универсальное,,,,,При попадании по корпусу перекидывается дугой на оружие и двигатели. Дуга наносит %s урона оружия.,5%,,,,209,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пусковая установка MIRV ""Торнадо""",dpl_tornado,3,,80000,5000,,400,,50,10,25,10,,,ENERGY,0,,0,20,1,,0,0,0,0,,500,50,12,350,,,"DO_NOT_AIM, CONSERVE_5","missile18, strike15, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,,,Добивание,Средняя,Хорошее,,,,,,,TRUE,16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Decorative weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Подавитель ЭМИ,dpl_piccolo_system,0,,1,2500,,25,,0,180,0,1000,1000,,ENERGY,,0,0,0.25,1,,,,,,,3000,,,400,,,SYSTEM,dpl_piccolo_system,,,,Особое,,,,,,,,,,43.5,,
Гравитонный проектор,dpl_bagpipe_system,0,,1,1,,5,,0,180,0,1000,1000,,ENERGY,,0,0,0.25,1,,,,,,,3000,,,400,,,SYSTEM,dpl_bagpipe_system,,,,Особое,,,,,,,,,,43.5,,
Фазовый инкапсулятор,dpl_reedpipe_system,0,,1,1,,5,,0,180,0,1000,1000,,ENERGY,,0,0,0.25,1,,,,,,,3000,,,400,,,SYSTEM,dpl_reedpipe_system,,,,Особое,,,,,,,,,,43.5,,
Пусковая установка антиматерийных зарядов,dpl_am_cl,0,,1,1000,,300,,25,30,0,1000,1000,,ENERGY,0,,0,0.25,1,,0,0,0,0,,100,255,12,500,,,SYSTEM,dpl_minelayer_system,,,,Особое,,,,,,,,,TRUE,13,,
Ноты (оркестр),dpl_orchestra_notes,0,,1,4000,,300,250,25,15,0,1000,1000,,ENERGY,0,,0,0.25,1,,0,0,0,0,,300,200,16,400,,,SYSTEM,dpl_orchestra_system,,,,Особое,,,,,,,,,TRUE,104,,
Ноты (кларнет),dpl_clarinet_notes,0,,1,4000,,350,250,25,15,0,1000,1000,,ENERGY,0,,0,0.25,1,,0,0,0,0,,300,200,16,800,,,SYSTEM,dpl_clarinet_system,,,,Особое,,,,,,,,,TRUE,104,,
Генератор аномалий,dpl_anomaly,0,,1,2000,,4000,,15,20,0,1,,,ENERGY,0,,0,10,1,,0,0,0,0,,150,200,12,1500,,,"SYSTEM, STRIKE, GUIDED_POOR","restricted, damage_special, damage_soft_flux",,,,Торпедное,Медленная,Хорошее,,,"Аномалия выпускает мощный лазер при приближении к цели, нанося примерно %s энергетического урона коротким импульсом. На этот урон влияют модификаторы ракетного урона, а не энергетического оружия. Дрон уничтожается после выстрела.",4500,,,TRUE,12.11,,
    Аномалия - полезная нагрузка,dpl_anomaly_payload,0,,0,1000,9000,,,,20,0,,,,ENERGY,0,,0,0.75,0.25,0.5,,,,,1000000,,,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,12.12,,
Пророчество,dpl_prophecy,0,,1,2000,1250,,1000,0,7,0,,,,ENERGY,,0,2,1,1,,,,,,10000,,,,,,,SYSTEM,dpl_prophecy,,,,Особое,,,,,"Попадания по корпусу или броне часто перекидываются дугой на оружие и двигатели, нанося дополнительный ЭМИ- и фугасный урон. Попадания по щитам имеют шанс создать пробивающую щит дугу в зависимости от уровня жёсткой нагрузки цели.",,,,,27,,
Молния пророчества,dpl_prophecy_ltn,0,,1,800,,25,100,0,100,0,,,,ENERGY,0,,0,0.1,1,,,,,,,10000,,,,,25,"SYSTEM, PD",dpl_prophecy_ltn,,,,Особое,,,,Идеальная,"Выпускает ЭМИ-дугу по всем целям, ракетам и снарядам в радиусе действия оружия. Дуга всегда попадает.",,,,,19.25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Lost Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Излучатель каузального шока,dpl_acausal_shock,3,,,1000,,1,,40,12,,,,,ENERGY,5000,,0,20,,,,,,,,10000,,,25,,,"SYSTEM,STRIKE",,,Лаборатория фазового Домена,,Подавление,,,,Идеальная,Выпускает каузальные шоковые дуги в ближайшую цель рядом с текущим направлением оружия. Дуга всегда попадает и всегда перегружает цель.,,,,,200.25,,
Излучатель каузальной молнии,dpl_phase_mg,3,,,400,,100,100,40,120,,,,,ENERGY,20,,0,2,24,0.1,,,,,,10000,,,25,,,"SYSTEM,PD,PD_ONLY",,,Лаборатория фазового Домена,,ПВО,,,,Идеальная,Выпускает каузальные молниевые дуги в ближайшую цель рядом с текущим направлением оружия. Дуга поражает только истребители и ракеты.,,,,,19.6,,
Каузальный гнев,dpl_wrath,3,,,1000,,700,300,40,120,,,,,ENERGY,10000,,0,2,24,0.1,,,,,,10000,,,25,,,"SYSTEM,PD,PD_ONLY",,,Лаборатория фазового Домена,,ПВО,,,,Идеальная,Выпускает каузальные молниевые дуги в ближайшую цель рядом с текущим направлением оружия. Дуга поражает только истребители и ракеты.,,,,,19.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пусковая установка антиматерийных MRM,dpl_am_mrm,3,,50000,2500,,500,,15,50,7,4,0.1,2,ENERGY,500,,0,0.5,1,,0,0,0,0,,500,250,8,250,,,"DO_NOT_AIM, DO_NOT_CONSERVE","utility8, missile9, strike7, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Неизвестно,,Против малых целей,Экстремально быстрая,Отличное,,,,,,,TRUE,10,,
Пусковая установка двойного резонатора,dpl_dualres_mrm,3,,100000,2500,,750,,15,20,16,4,0.1,2,KINETIC,150,,0,1.25,2,0.5,0,0,0,,,500,250,8,250,,,"DO_NOT_AIM, DO_NOT_CONSERVE","missile15, strike11, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Неизвестно,,Против щитов,Быстрая,Отличное,,,,,,,,12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Phase Lab Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Проектор черной дыры,dpl_black_hole,3,,50000,1500,,500,,0,25,7,2,0.1,1,ENERGY,1000,,0,1,,,,,,,,1000,,,25,,,"STRIKE, USE_VS_FRIGATES","strike20, restricted, no_bp_drop, no_sell, no_dealer, no_drop_salvage",,Элита DPL,,Штурм / Добивание,,,,,Наносит дополнительный реальный урон из-за потери массы при попадании по корпусу; величина равна %s от урона. Попадания по щиту не имеют особого эффекта.,100%,,,,18,,
