id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
ls_deff_dread_es_wing,ls_deff_dread_es_shredda,"fighter7, fighter, ls_es_bp",2,,7,16,BOX,3000,20,,1,FIGHTER,Тяжёлый мех,20,10000,,,,,,,,,,,,,
ls_deff_dread_ds_wing,ls_deff_dread_ds_ard,"fighter7, fighter, ls_ds_bp",2,,7,16,BOX,3000,20,,1,FIGHTER,Тяжёлый мех,20,10000,,,,,,,,,,,,,
ls_deff_dread_bm_wing,ls_deff_dread_bm_blasta,"fighter7, fighter, ls_bm_bp",2,,7,16,BOX,3000,200,,1,FIGHTER,Тяжёлый мех,20,10000,,,,,,,,,,,,,
ls_deff_dread_ba_wing,ls_deff_dread_ba_kanmando,"fighter7, fighter, ls_ba_bp",2,,7,16,BOX,3000,20,,1,FIGHTER,Тяжёлый мех,20,10000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls_miemieko_wing,ls_miemieko_defense,"stay_in_front_of_ship, no_drop, no_sell, high",3,,6,0,BOX,0,600,,2,SUPPORT,ПВО,24,6000,,,,,,,,,,,,,19
ls_looted_terminator,ls_looted_terminator_custom,"stay_in_front_of_ship, no_drop, no_sell, high",3,,6,0,BOX,0,500,,2,SUPPORT,Поддержка,16,6000,,,,,,,,,,,,,
ls_deff_skwardon_uzgob_wing,ls_deff_skwardon_uzgob_custom,"fighter9, fighter,no_drop, no_sell, rd_no_extra_craft",3,,8,25,BOX,4500,500,,1,FIGHTER,Истребитель,20,20000,,,,,,,,,,,,,20
ls_deff_skwardon_goose_wing,ls_deff_skwardon_goose_custom,"no_drop, no_sell, restricted",3,,0,0,BOX,4500,500,,1,FIGHTER,Истребитель,20,20000,,,,,,,,,,,,,
ls_deff_skwardon_kilboy_wing,ls_deff_skwardon_killboy_custom,"no_drop, no_sell, restricted",3,,0,0,BOX,4500,500,,1,FIGHTER,Истребитель,20,20000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
