name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Bursta Prow,ls_bursta_prow,Бронированный нос,Смерточерепа,,1,4000,1250,1000,,10,0,,0,0,0,10,10,1200,FRONT,,0,0,0,,,0,0,0,0,1,0,,500000,,1,420,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,4,,2103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mora (DS),ls_mora_ds,Трофейный боевой авианосец,Смерточерепа,damper,15,10000,1250,4000,4000,200,130,3,45,20,10,10,10,2000,FRONT,,180,0.4,1,,,200,300,100,60,4,15,8,125000,4,12,420,0.25,20,20,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",ls_ds_bp,,0.4,2,3,,1005
Venture (DS),ls_venture_ds,Трофейный крейсер,Смерточерепа,ls_ere_we_go,12,12000,1250,8000,6000,400,125,,40,15,10,12,6,2000,FRONT,,180,0.4,1,,,80,300,500,180,3,60,8,95000,5,10,540,0.25,16,16,,,,,,,,ls_ds_bp,,0.4,2,3,,1006
Eagle (DS),ls_eagle_ds,Трофейный крейсер,Смерточерепа,ls_reactor_boosta,14,8000,1000,11000,14000,700,155,,60,40,30,15,20,1350,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,100000,3,12,480,0.25,20,20,,,,,,,,ls_ds_bp,,0.5,2,4,,401
Mega Bommer (DS),ls_megabommer_ds,Мега-бомбардировщик,Смерточерепа,ls_bomming_run,16,11000,1200,10000,,650,150,,60,30,25,12,15,1800,FRONT,,210,0.4,0.8,,,100,250,200,200,4,50,8,120000,4,12,480,0.25,24,24,,,,,,,,ls_ds_bp,,0.5,2,4,,402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tur (DS),ls_tur_ds,Мек-джанка,Смерточерепа,ls_redbutton,6,1800,400,2500,,200,55,,100,100,75,50,120,350,FRONT,,180,0.4,0.8,,,15,40,75,35,1,35,10,9000,5,10,240,0.25,5,5,25,100,,,,,,ls_ds_bp,,0.3,2,2,,1007
Mek Box (DS),ls_mek_box_ds,Мек-коробка,Смерточерепа,reservewing,10,4000,400,3500,,250,85,1,75,50,30,30,60,400,OMNI,,180,0.4,0.8,,,60,120,150,80,2,40,9,36000,4,8,360,0.25,10,10,28,125,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",ls_ds_bp,,0.6,2,3,,305
Heron (DS),ls_heron_ds,Мек-круза,Смерточерепа,ls_redbutton,14,5500,750,8000,,400,130,,80,60,40,20,25,900,FRONT,,180,0.5,0.8,,,100,200,150,120,3,40,9,90000,5,10,420,0.25,20,20,,,,,,,,ls_ds_bp,,0.3,2,3,,1009
Yaroudomo,ls_yaroudomo,Мек-ззаппа,Смерточерепа,emp,6,2000,100,2500,,180,50,,200,200,175,60,160,200,OMNI,,180,0.4,0.8,,,10,20,30,20,1,20,10,18000,10,20,240,0.25,6,6,,,,0.5,2,2,,ls_ds_bp,,0.3,2,3,,1215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Hulk (DS),ls_hulk_ds,Громада,Смерточерепа,ls_ere_we_go,30,24000,1500,16000,,550,360,3,25,10,10,10,4,4000,FRONT,,180,0.4,1,,,800,1600,500,400,15,27,7,400000,3,12,720,0.25,50,50,,,,,,,"CARRIER, COMBAT, NO_AUTO_ESCORT",rare_bp,,0.4,2,4,,1010
Star Krumpa (DS),ls_star_krumpa_ds,Боевой круза,Смерточерепа,ls_redbutton,27,18000,1400,18000,,750,300,,55,35,25,15,10,3200,OMNI,,150,0.4,1,,,600,1400,350,400,15,27,8,320000,3,12,720,0.25,40,40,,,,,,,,rare_bp,,0.4,2,4,,1011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smol Rok (DS),ls_smol_rok_ds,Рок,Смерточерепа,ls_redbutton,6,3500,300,2500,,200,45,,100,80,60,40,60,750,NONE,,0,0,0,,,20,80,50,30,1,30,9,12000,8,10,300,0.25,4,4,,,,,,,,ls_ds_bp,,0.9,2,6,,2102
Rok (DS),ls_rok_ds,Рок,Смерточерепа,ls_rok_boosta,14,10000,100,3000,,200,60,,10,10,5,8,4,3000,NONE,,0,0,0,,,200,400,200,90,3,30,7,85000,4,12,540,0.25,15,15,,,,,,,SHIP_WITH_MODULES,ls_ds_bp,,0.9,3,6,,2103
Rok Right Side (DS),ls_rok_ds_right,,Смерточерепа,ls_dakka,1,3200,700,3000,5000,250,50,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,540,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2103
Rok Left Side (DS),ls_rok_ds_left,,Смерточерепа,ls_dakka,1,3000,900,3000,5000,250,50,,0,0,0,10,10,300,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,540,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2103
Big Rok (DS),ls_big_rok_ds,Рок,Смерточерепа,ls_rok_boosta,17,18000,100,3000,,250,75,1,5,8,4,5,3,4000,NONE,,0,0,0,,,300,600,200,150,4,37,7,135000,4,12,540,0.25,24,24,,,,,,,SHIP_WITH_MODULES,ls_ds_bp,,0.9,2,6,,2103
Big Rok Left Module (DS),ls_big_rok_ds_left,,Смерточерепа,ls_dakka,1,5000,1250,4000,,200,55,,0,0,0,10,10,700,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,540,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,,,2103
Big Rok Right Module (DS),ls_big_rok_ds_right,,Смерточерепа,ls_dakka,1,6500,1500,5000,,250,70,,0,0,0,10,10,500,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,540,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,,,2103
Stompa Factory,ls_stompa_factory,Рок,Смерточерепа,ls_rok_boosta,28,20000,200,7000,,400,150,2,5,5,3,4,2,6000,NONE,,0,0,0,,,750,1600,550,360,18,20,7,350000,4,12,720,0.25,50,50,,,,,,,SHIP_WITH_MODULES,,,0.9,2,6,,2103
Roky Engine L (DS),ls_stompa_factory_l,,Смерточерепа,reservewing,1,6000,200,3000,,150,55,1,0,0,0,10,10,700,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2103
Roky Engine R (DS),ls_stompa_factory_r,,Смерточерепа,ls_dakka,1,5000,200,3000,,200,50,,0,0,0,10,10,700,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2103
Gunz Module,ls_stompa_factory_f,,Смерточерепа,ls_dakka,1,3500,900,4000,5000,250,50,,0,0,0,10,10,350,FRONT,,180,0.3,0.8,,,0,0,0,0,1,0,,500000,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2103
Parked Stompa,ls_stompa_factory_stompa_1,,Смерточерепа,,1,3000,400,3000,,300,0,,0,0,0,10,10,350,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2103
Parked Stompa,ls_stompa_factory_stompa_2,,Смерточерепа,,1,3000,400,3000,,300,0,,0,0,0,10,10,350,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,720,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack Fighta (DS),ls_attack_fighta_ds,Штурмовой истребитель,Смерточерепа,,,300,50,100,,20,0,,300,450,400,90,200,35,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Fighta Bomma (DS),ls_fighta_bomma_ds,Истребитель-бомбардировщик,Смерточерепа,,,600,75,150,,25,,,200,350,300,75,140,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Killa Kan (DS),ls_kan_ds,Кан,Смерточерепа,ls_dakka,,500,125,400,,40,,,180,200,150,90,100,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Klaw Kan (DS),ls_klawkan_ds,Кан,Смерточерепа,flarelauncher_fighter,,500,125,400,,40,,,180,200,150,90,100,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Drilla Kan (DS),ls_drilla_kan_ds,Кан,Смерточерепа,flarelauncher_fighter,,550,150,500,,50,,,180,200,150,90,100,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Трофейная горнодобывающая капсула,ls_miningpod,Капсула,Орочий,,,600,150,300,,150,0,,140,75,75,45,90,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,108
Bomma (DS),ls_bomma_ds,Бомбардировщик,Смерточерепа,,,1000,150,300,,50,,,150,180,150,90,120,65,NONE,,0,0,0,,,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,108
Landa,ls_landa,Ланда,Орочий,flarelauncher_fighter,,1200,300,300,,50,0,,150,120,90,60,90,80,NONE,,0,0,0,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Deff Dread (DS),ls_deff_dread_ds,Дефф-дред,Смерточерепа,flarelauncher_fighter,,950,275,1200,,150,,,165,160,150,75,80,75,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Mycojar,myco_jar,Банка,Виб,ls_redbutton,28,25000,2000,17000,15000,600,360,,100,10,10,4,4,5000,NONE,,,,,,,1,1500,1,1,15,27,7,350000,3,12,720,0.25,40,40,,,,,,,,"rare_bp, merc",,0.4,2,6,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Bad Moons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf (BM),ls_wolf_bm,Трофейный фрегат,Дурные Луны,ls_tellyporta,5,1500,150,2250,1875,150,55,,150,130,100,60,120,200,FRONT,,150,0.4,0.7,,,15,30,50,20,1,20,10,13500,10,20,180,0.25,5,5,,,,,,,,ls_bm_bp,,0.5,2,2,,200
Wayfarer (BM),ls_wayfarer_bm,Бласта-авианосец,Дурные Луны,ls_blasta_overdrive,6,2000,250,2000,1500,180,50,,120,105,70,45,90,300,OMNI,,120,0.4,1,,,20,50,40,40,1,40,10,19000,8,10,240,0.25,6,6,30,,,,,,,ls_bm_bp,,0.5,2,2,,221
Bromen (BM),ls_bromen_bm,Меха-фрегат,Дурные Луны,ls_zzap_field,7,2000,400,3000,3125,250,60,,100,180,120,60,120,250,FRONT,,210,0.3,1,,,15,30,40,20,1,20,9,21000,8,10,300,0.25,7,7,,,,,,,,ls_bm_bp,,0.4,2,2,,207
Centurion (BM),ls_centurion_bm,Трофейный тяжёлый фрегат,Дурные Луны,ls_targetting_squig,7,2250,500,2200,2188,175,60,,120,110,90,40,80,325,OMNI,,180,0.4,0.8,,,30,50,50,25,1,25,10,20000,8,10,240,0.25,5,5,,,,,,,,ls_bm_bp,,0.4,2,4,,219
Apeiron (BM),ls_aperion_bm,Мека-мега-канонерка,Дурные Луны,ls_snazzy_tellyporta,13,2800,400,6000,6250,400,65,,110,155,120,45,90,250,FRONT,,270,0.5,1,,,5,15,10,15,1,15,10,80000,8,40,150,0.25,14,14,,,,,,,,rare_bp,0.5,0.75,2,2,,202
Basilisk (BM),ls_basilisk_bm,Мека-тяжелый фрегат,Дурные Луны,ls_temporal_forcefield,9,2400,400,3600,3767,280,65,,100,110,90,50,100,300,OMNI,,180,0.4,1,,,25,40,50,30,1,30,10,52000,8,25,300,0.25,9,9,,,,,,,,rare_bp,0.2,0.65,2,4,,777776
Glimmer (BM),ls_glimmer_bm,Трофейный дронокорабль,Дурные Луны,ls_blasta_overdrive,7,1500,250,2500,3125,250,50,,130,250,200,90,270,200,OMNI,,150,0.4,0.7,,,5,10,50,40,1,40,11,30000,5,10,360,0.25,5,5,,,,,,,,ls_bm_bp,,0.5,2,2,,227
Squighawk (BM),ls_squighawk_bm,Тяжелая канонерка,Дурные Луны,ls_snazzy_boosta,7,2200,300,2400,,200,55,,135,200,150,50,100,300,FRONT,,180,0.4,0.7,,,25,50,40,30,1,30,10,21000,8,10,300,0.25,6,6,,,,,,,,ls_bm_bp,,0.5,2,2,,227
Krima (BM),ls_krima_bm,Меха-канонерка,Дурные Луны,ls_tellyporta,8,2000,300,3250,,275,65,,130,180,120,60,120,275,FRONT,,210,0.4,1,,,15,30,30,30,1,30,10,55000,8,25,240,0.25,8,8,,,,,,,,rare_bp,0.2,0.5,2,2,,227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mule (BM),ls_mule_bm,Трофейный эсминец,Дурные Луны,ls_redbutton,9,5500,650,3000,2500,200,85,,60,40,20,20,15,550,FRONT,,120,0.4,1,,,40,100,250,80,2,40,9,34000,5,10,420,0.25,8,8,36,125,,,,,,ls_bm_bp,,0.5,2,3,,1001
Onihime (BM),ls_onihime_bm,Супа-дестроя,Дурные Луны,ls_snazzy_tellyporta,14,5000,400,6500,,400,100,,100,70,50,40,80,450,OMNI,,180,0.4,0.8,,,50,100,80,60,2,30,10,100000,5,15,420,0.25,18,18,,,,,,,,rare_bp,0.5,0.4,2,4,,1008
Gold Tooth (BM),ls_gold_tooth_bm,Габбин-авианосец,Дурные Луны,damper,10,5000,600,2400,2500,120,60,2,55,35,20,20,15,500,OMNI,,120,0.4,1,,,90,180,300,80,2,40,9,42000,5,10,420,0.25,12,12,36,125,,,,,CARRIER,ls_bm_bp,,0.5,2,3,,1001
Stheno (BM),ls_stheno_bm,Мекка-фазовый эсминец,Дурные Луны,ls_phas_engine,13,4500,600,5000,,400,95,,85,80,50,40,100,500,NONE,,,,,,,60,100,100,60,2,30,9,74000,5,20,300,0.25,14,14,,,,,,,,ls_bm_bp,0.2,0.4,2,4,,1008
Mudfish (BM),ls_mudfish_bm,Ломовой эсминец,Дурные Луны,ls_reactor_boosta,10,4500,600,4500,,300,80,,80,70,50,30,60,450,FRONT,,180,0.4,0.8,,,30,70,80,60,2,30,9,48000,5,12,360,0.25,10,10,,,,,,,,ls_bm_bp,0.2,0.4,2,4,,1009
Dazzla (BM),ls_dazzle_bm,Трофейный дронокорабль,Дурные Луны,ls_targetting_squig,12,5000,600,5000,3750,325,100,,75,65,45,30,50,550,OMNI,,150,0.4,0.7,,,5,20,80,60,2,30,10,55000,5,15,420,0.25,11,11,,,,,,,,ls_bm_bp,,0.5,2,3,,317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonfang (BM),ls_moonfang_bm,Мека-круза,Дурные Луны,ls_snazzy_boosta,14,5200,700,9000,12000,600,130,,80,80,70,30,60,625,OMNI,,210,0.3,0.8,,,60,150,80,80,3,27,9,100000,4,12,420,0.25,20,20,,,,,,,,ls_bm_bp,,0.7,2,3,,415
Flashblasta (BM),ls_flashblasta_bm,Тяжелый круза,Дурные Луны,ls_blasta_overdrive,16,10000,1100,12000,16000,700,160,,50,35,20,15,12,1800,OMNI,,180,0.4,0.7,,,80,200,150,90,3,30,8,175000,4,20,480,0.25,28,28,,,,,,,,ls_bm_bp,,0.6,2,3,,405
Venture (BM),ls_venture_bm,Трофейный круза,Дурные Луны,ls_targetting_squig,13,12000,1250,8000,6000,400,135,1,40,15,10,12,6,2000,OMNI,,120,0.4,1,,,80,300,500,180,3,60,8,98000,5,10,540,0.25,18,18,,,,,,,,ls_bm_bp,,0.4,2,3,,1006
Paramork (BM),ls_paramork_bm,Тяжелый карриер,Дурные Луны,ls_eyez_in_da_sky,15,10000,1400,8000,,500,140,3,5,8,4,5,5,1200,OMNI,,210,0.4,0.7,,,200,350,200,160,4,40,8,140000,4,15,540,0.25,24,24,,,,,,,"SHIP_WITH_MODULES, CARRIER, COMBAT",ls_bm_bp,,0.9,2,6,,2103
Левый двигатель Параморка,ls_paramork_engine_l,,Дурные Луны,,1,3000,1000,1000,5000,50,0,,0,0,0,0,0,600,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,540,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2104
Правый двигатель Параморка,ls_paramork_engine_r,,Дурные Луны,,1,3000,1000,1000,5000,50,0,,0,0,0,0,0,600,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,540,0.25,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snazzdreg (BM),ls_Snazdreg_bm,Боевой круза,Дурные Луны,ls_glitta_drive,27,16500,1250,15000,25000,1000,290,2,50,35,25,10,12,2900,OMNI,,180,0.3,1,,,500,1000,500,500,10,50,8,345000,4,20,600,0.25,45,45,,,,,,,,rare_bp,,0.6,2,4,,505
Paragork (BM),ls_paragork_bm,Линкор,Дурные Луны,ls_ard_field_system,29,17000,1400,22000,31250,1200,345,1,30,20,12,8,8,3300,OMNI,,360,0.5,0.8,,,400,1000,600,500,10,30,7,475000,4,20,720,0.25,55,55,,,,,,,,rare_bp,,0.6,2,4,,504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blasta Pod (BM),ls_blasta_pod_bm,Бласта-капсула,Дурные Луны,,,250,25,100,,10,,,180,200,200,90,180,15,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,4
Attack Fighta (BM),ls_attack_fighta_bm,Штурмовой истребитель,Дурные Луны,,,350,50,100,,20,0,,280,425,375,90,200,35,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,104
Fighta Bomma (BM),ls_fighta_bomma_bm,Истребитель-бомбардировщик,Дурные Луны,,,550,75,200,,25,,,180,325,275,75,140,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,0,,,,105
Killa Kan (BM),ls_kan_bm,Кан,Дурные Луны,flarelauncher_fighter,,500,100,500,,50,,,180,200,150,90,100,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Deff Dread (BM),ls_deff_dread_bm,Дефф-дред,Дурные Луны,ls_blasta_overdrive,,850,225,1600,,175,,,170,160,150,80,80,75,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Evil Sunz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasher (ES),ls_lasher_es,Трофейный фрегат,Злые Солнца,ls_ere_we_go,5,1750,275,2100,1750,140,60,,120,110,90,60,90,200,FRONT,,210,0.4,1,,,25,50,40,25,1,25,10,9000,8,10,240,0.25,4,4,,,,,,,,ls_es_bp,,0.4,2,2,,204
Kite (ES),ls_kite_es,Трофейный штурмовой шаттл,Злые Солнца,ls_redbutton,3,1000,150,1600,1000,100,30,,140,150,75,45,85,120,OMNI,,150,0.5,0.8,,,2,30,30,15,1,15,10,4000,5,20,180,0.25,3,3,,,,,,,,ls_es_bp,,0.75,2,2,,217
Shade (ES),ls_shade_es,Трофейный фазовый фрегат,Злые Солнца,ls_phas_engine,9,1900,450,2200,3750,280,45,,165,120,100,60,120,200,NONE,,0,0,0,,,10,15,25,50,1,50,10,40000,10,30,180,0.25,8,8,,,,,,,,ls_es_bp,,0.5,2,2,,211
Squig Hound (ES),ls_hound_es,Трофейный таранный шаттл,Злые Солнца,ls_drilla_drive,3,2000,400,750,1250,100,30,,180,175,100,90,120,280,NONE,,0,0,0,,,10,40,60,30,1,30,10,7000,5,10,240,0.25,3,3,25,75,,,,,,ls_es_bp,,0.4,2,2,,201
Dram (ES),ls_dram_es,Трофейный авианосец-заправщик,Злые Солнца,ls_fly_waaagh,7,1000,300,1500,1250,100,35,1,120,70,50,30,60,200,OMNI,,90,0.5,1.2,,,25,60,15,80,1,80,10,11000,8,20,180,0.25,6,6,,,150,300,,,CARRIER,ls_es_bp,,0.7,2,4,,209
