name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Бримир,IndEvo_brimir,Линкор,Low Tech,burndrive,28,1,1,17000,15000,600,360,,25,10,10,4,4,3500,FRONT,,180,0.4,1,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,,,,,,SHIP_WITH_MODULES,"restricted, no_sell, no_dealer, hide_in_codex",,0.4,2,4,,500
,IndEvo_brimir_front_left,Модуль,,,1,1,1,10000,25000,800,100,,0,0,0,10,10,1000,FRONT,,120,0.4,0.7,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,UNBOARDABLE,hide_in_codex,,0.5,2,4,,5001
,IndEvo_brimir_front_right,Модуль,,,1,1,1,10000,25000,800,100,,0,0,0,10,10,1000,FRONT,,120,0.4,0.7,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,UNBOARDABLE,hide_in_codex,,0.5,2,4,,5001
,IndEvo_brimir_lowmid_left,Модуль,,,1,1,1,10000,25000,800,0,,0,0,0,10,10,1000,FRONT,,120,0.4,0.7,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,UNBOARDABLE,"module_hull_bar_only, hide_in_codex",,0.5,2,4,,5001
,IndEvo_brimir_lowmid_right,Модуль,,,1,1,1,10000,25000,800,0,,0,0,0,10,10,1000,FRONT,,120,0.4,0.7,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,UNBOARDABLE,"module_hull_bar_only, hide_in_codex",,0.5,2,4,,5001
,IndEvo_brimir_rear_left,Модуль,,,1,1,1,10000,25000,800,100,,0,0,0,10,10,1000,FRONT,,120,0.4,0.7,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,UNBOARDABLE,hide_in_codex,,0.5,2,4,,5001
,IndEvo_brimir_rear_right,Модуль,,,1,1,1,10000,25000,800,100,,0,0,0,10,10,1000,FRONT,,120,0.4,0.7,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,UNBOARDABLE,hide_in_codex,,0.5,2,4,,5001
,IndEvo_brimir_upmid_left,Модуль,,,1,1,1,10000,25000,800,0,,0,0,0,10,10,1000,FRONT,,120,0.4,0.7,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,UNBOARDABLE,"module_hull_bar_only, hide_in_codex",,0.5,2,4,,5001
,IndEvo_brimir_upmid_right,Модуль,,,1,1,1,10000,25000,800,0,,0,0,0,10,10,1000,FRONT,,120,0.4,0.7,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,UNBOARDABLE,"module_hull_bar_only, hide_in_codex",,0.5,2,4,,5001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
