rank_id,name,salary,canLeave,tariffReduction,allowedMarketsToOwn,penaltyForLeavingRep,pointsOfObligation,tags,description
agent,Агент,10000,true,5,0,30,3,"can_restock,can_scan_cargo,free_storage","Искра потенциала, которой доверяют задачи от надзирателей. Вы еще не принимаете решения, но вашу разведку ценят."
senior_agent,Старший агент,20000,true,7,1,40,4,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,can_retire","Шепот во тьме и тень среди теней. Когда Tri-Tachyon нужно решение, инструментом становитесь вы."
manager,Менеджер,50000,true,9,1,80,5,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,faction_blueprint_access","Первое настоящее испытание лидерства: оценка навыков, прибыльности, десятичных долей и процентов ради компании."
senior_manager,Старший менеджер,120000,false,11,2,150,5,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_scan_cargo,free_storage,faction_blueprint_access","Вы поняли, что у большинства нет потенциала, и научились выжимать из них последнюю ценность."
junior_executive,Младший исполнительный директор,150000,false,13,2,200,6,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Вам доверяют самостоятельные решения, если они дают результат. Вы почти достигли несгораемости."
high_executive,Высший исполнительный директор,200000,false,15,3,200,1,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Вы уступаете только Совету, обладая технической компетентностью и военным пониманием, которые вернут Tri-Tachyon лидерство."
,,,,,,,,,
conscript,Призывник,5000,true,2,0,10,2,"can_scan_cargo,free_storage","Служить - честь: поставить предателей, культистов и отбросов на колени. Лучше держать оружие, чем смотреть в его ствол."
lieutenant,Лейтенант,10000,true,5,0,30,3,"can_restock,can_scan_cargo,free_storage",Гордость Льва в вашем сердце. Быстрые действия и вдохновение подчиненных принесут Sindria победу.
captain,Капитан,20000,true,7,1,40,4,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,can_retire","Ваше первое настоящее командование. С этого момента возможно уважение, если вы помните долг перед Верховным лидером."
lord_admiral,Лорд-адмирал,50000,true,9,1,80,5,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,faction_blueprint_access","Как и сама Sindria, вы прошли через пепел, разбитые флоты и миллионы смертей. Сердце ваше холодно, как пустота."
lord_governor,Лорд-губернатор,120000,false,11,2,150,5,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_scan_cargo,free_storage,faction_blueprint_access","Вам доверен порядок, население и промышленность, даже если они еще не признали Верховного лидера."
vice_leader,Заместитель лидера,150000,false,13,2,200,6,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Смотрите дальше титула и плаща: перед вами грива льва и сердце Sindria, центр единого истинного лидерства."
vice_supreme_leader,Заместитель Верховного лидера,200000,false,15,3,200,1,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Никто не равен Верховному лидеру, но сегодня появляется тот, кого можно назвать его дитем. Ваш голос - Его голос."
,,,,,,,,,
ceithearn,Кейтерн,5000,true,2,0,10,2,"free_storage,nonrestrictive_colonization,have_research_permit","Расходный боец для курьерских задач, рейдов и проникновений ради целей тех, кто знает лучше."
fianna,Фианна,10000,true,5,0,30,3,"free_storage,nonrestrictive_colonization,have_research_permit","Командиры малых отрядов и местных рейдов, отвлекающих и дезориентирующих более сильных врагов."
redshank,Редшанк,20000,true,7,1,40,4,"free_storage,nonrestrictive_colonization,can_restock,have_research_permit,faction_blueprint_access","Кровожадные наемники и привилегированная элита, внушающие страх репутацией и не берущие пленных."
hobelar,Хобелар,50000,true,9,1,80,5,"free_storage,nonrestrictive_colonization,can_restock,have_research_permit,faction_blueprint_access","Специалисты проникновения, дальней разведки и саботажа; их скрытность ценят не меньше боевых навыков."
gallowglass,Галлоугласс,120000,true,11,2,150,5,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access","Элитные бойцы, глубоко преданные делу и отмеченные почетными званиями. Каждый создает знамя, вокруг которого собираются ячейки."
brigadier,Бригадир,150000,true,13,2,200,6,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access","Опытные полевые командиры, дипломаты и логисты. Часто их влияние куда больше, чем скромный титул."
adjutant_general,Генерал-адъютант,200000,true,15,3,200,1,"free_storage,nonrestrictive_colonization,have_research_permit,gets_colony_protection,can_restock,faction_blueprint_access","Второй после высших чинов Luddic Path, способный двигать горы и направлять нужды истинно верных."
,,,,,,,,,
accountant,Бухгалтер,5000,true,2,0,10,2,"can_scan_cargo,free_storage","Новый член Special Circumstances. Надежды сверху велики, ожидания успеха еще выше, а цена провала максимальна."
senior_accountant,Старший бухгалтер,10000,true,5,0,30,3,"can_restock,can_scan_cargo,free_storage","Вы справились с простыми задачами Special Circumstances и получили чуть больше свободы, хотя надзор остается плотным."
problem_solver,Решатель проблем,20000,true,7,1,40,4,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,can_retire","Больше работы, контрабанды и грязных дел. Наверху начинают считать вас человеком, который умеет решать мелкие проблемы."
procurement_specialist,Специалист по снабжению,50000,true,9,1,80,5,"can_restock,can_intimidate,can_scan_cargo,free_storage,have_research_permit,faction_blueprint_access","Доставки, извлечение сотрудников или конкурентов, тактические бомбардировки ради прибыли - вам доверяют действовать и не попадаться."
human_resources_manager,Менеджер по персоналу,120000,false,11,2,150,5,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_scan_cargo,free_storage,faction_blueprint_access","Сложнее не устранить проблему, а оформить отчеты о тех, кто подвел вас ниже по цепочке."
executive_auditor,Исполнительный аудитор,150000,false,13,2,200,6,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Совет доверяет вам самые неприятные действия и дает широкую свободу, пока вы приносите результаты и прибыль."
enforcer_of_the_board,Исполнитель воли Совета,200000,false,15,3,200,1,"can_retire,can_intimidate,gets_colony_protection,have_research_permit,can_restock,can_scan_cargo,free_storage,faction_blueprint_access","Вы стали незаменимы для Special Circumstances и Совета - не только эффективностью, но и слухами о том, как мало начальников над вами осталось."
