name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Несовместимость со щитами,edshipyard_no_shields,,,Верфи ED,"shields, defensive",Щиты,5000,,TRUE,,0,0,0,0,data.hullmods.edshipyard.NoShields,Этот корабль или модуль несовместим со щитами из-за базовой конструкции или близости других модулей.,Несовместим со щитами.,graphics/hullmods/no_shield.png
,,,,,,,,,,,,,,,,,,
Несовместимость с ангарами,edshipyard_no_hangar,,,Верфи ED,special,Истребители,5000,,TRUE,,0,0,0,0,data.hullmods.edshipyard.NoHangar,Этот корабль или модуль несовместим с импровизированными ангарами: корпус нельзя прорезать под истребительный отсек без серьезных структурных проблем.,Несовместим с ангарами.,graphics/hullmods/no_hangar.png
,,,,,,,,,,,,,,,,,,
Фронтально закрепленные щиты,edshipyard_no_omni,,,Верфи ED,"shields, defensive",Щиты,5000,,TRUE,,0,0,0,0,data.hullmods.edshipyard.NoOmni,Генераторы щита этого корабля или модуля не могут вращаться и закреплены во фронтальной проекции из-за базовой конструкции или близости других модулей.,Фронтально закрепленные щиты.,graphics/hullmods/no_omni.png
,,,,,,,,,,,,,,,,,,
Генератор полевого щита,edshipyard_field_shield,,,Верфи ED,"shields, defensive",Щиты,5000,,TRUE,,0,0,0,0,data.hullmods.edshipyard.FieldShield,"Этот корабль использует внешний генератор для проекции большого щита радиусом 1000. Щит пропускает союзные корабли и отлично защищает группу малых кораблей. Вражеские корабли тоже могут войти в поле, но их снаряды будут мгновенно поглощены щитом при выстреле.

Главный генератор поля расположен в переднем модуле; если этот модуль уничтожен, щиты не смогут работать. Пока щиты активны, весь жесткий поток будет уходить в генератор.",Большой защитный щит для союзников.,graphics/hullmods/field_shield.png
,,,,,,,,,,,,,,,,,,
Гибкая конструкция,edshipyard_train_locomotive,,,Верфи ED,,,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.TrainLocomotive,"В отличие от большинства модульных кораблей, Ньюфаундленд имеет гибкие соединения между модулями.

Каждый подключенный модуль изменяет характеристики главного корабля. Если сегмент корабля уничтожен, сегменты позади него также будут потеряны.",Управление модульным кораблем,graphics/hullmods/train_locomotive.png
,,,,,,,,,,,,,,,,,,
Многоядерная баллистическая интеграция,edshipyard_module_range,,,Верфи ED,,,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.ModuleRange,"Компьютеры наведения модуля щита полностью интегрированы с главным кораблем, давая и главному кораблю, и модулям %s дополнительной дальности баллистического оружия. Если это модуль, используется бонус родительского корабля.

Несовместимо с любыми другими модификациями, увеличивающими дальность.",Интеграция модульных компьютеров,graphics/hullmods/edshipyard_module_range.png
,,,,,,,,,,,,,,,,,,
Спасательный дрон,edshipyard_rescue_drone_explanation,,,Верфи ED,special,Особое,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.Dummy_Hullmod,"У этого корабля есть внутренний модуль управления дроном, способный создавать и контролировать спасательный дрон. Дрон пытается спасать союзные фрегаты и эсминцы, меняясь с ними местами.",Контроллер спасательного дрона.,graphics/hullmods/edshipyard_guardian_orb.png
,,,,,,,,,,,,,,,,,,
Дрон-детонатор,edshipyard_detonator_drone_explanation,,,Верфи ED,special,Особое,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.Dummy_Hullmod,"У этого корабля есть внутренний модуль управления дроном, способный создавать и контролировать дрон-детонатор. Дрон телепортируется к остановленным и выведенным из строя вражеским кораблям, а затем взрывается, нанося до 2500 фугасного урона.",Контроллер дрона-детонатора.,graphics/hullmods/edshipyard_bomber_orb.png
,,,,,,,,,,,,,,,,,,
Поле иллюзии,edshipyard_doppelfield,,,Верфи ED,,,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.Illusion,"Корабль способен длительно использовать глушитель сигнатуры, маскируясь под астероид и снижая эффективный сенсорный профиль до нуля.",Снижает сенсорный профиль.,graphics/hullmods/doppel_field.png
,,,,,,,,,,,,,,,,,,
Модуль Вургандаля,edshipyard_wurgandal_module,,,Верфи ED,,,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.WurgandalModule,Системы модулей Вургандаля координируются центральным ядром. Поток модулей медленно поглощается центральным ядром.,,graphics/hullmods/wurgandal_massive.png
,,,,,,,,,,,,,,,,,,
Интеграция оружия,edshipyard_weapons_integration,,,Верфи ED,,,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.WeaponsIntegrationHullMod,Снижает стоимость оружия в очках вооружения на %s.,,graphics/icons/skills/ordnance_expert.png
,,,,,,,,,,,,,,,,,,
Оптимизация ремонта флота,edshipyard_fleet_repair_optimizations,,,Верфи ED,,,,,TRUE,,0,0,0,0,data.hullmods.edshipyard.FleetRepairOptimizations,"Увеличивает скорость ремонта флота и восстановления БГ на %s. Не суммируется, иногда интерфейс не показывает бонус.",,graphics/hullmods/automated_repair_unit.png
