id,type,text1,text2,text3,text4,notes,Column 08,Column 09,Column 10
ls_hammerhead_ds,SHIP,"Только мягкие гиты летают на лутаных хумийских баржах! Чтобы заполучить по-настоящему крутую дакку, надо бить хумийских 'ардбойзов, и у этого корабля ее предостаточно!

По сравнению с лутаными грузовиками, лутаные эсминцы вроде Hammerhead куда популярнее у орков, которым удалось их захватить. Малые слоты оригинального Hammerhead заменяют еще одним средним, чтобы выкатить на стол самую жирную дакку. Перекачанный двигатель делает корабль еще опаснее, но потеря ПВО и открытые участки корпуса также делают его еще уязвимее оригинала при обходе с фланга.",,,,,,,
ls_haula,SHIP,"Лодка для всей габбинзы и топлива для бойзов. И пихай туда всех гитов, которые тебе не нравятся.

Большинство орков быстро злится от идей вроде логистики и снабжения, поэтому просто сваливает все нужное в кривой хлам, сваренный из остовов разбитых танкеров и грузовиков. Не так эффективно, как специализированные транспорты, зато оркам не нужно ломать голову, что и куда грузить. Служба на таком корабле - отличное наказание для любого мягкого гита, который выбесил босса.",,,,,,,
ls_manticore_ds,SHIP,"Самая лучшая дакка, какую найдешь на корабле такого размера, босс! Тут и модные хумийские габбинзы, чтоб видеть гитов издалека и как следует их расстреливать, и пушек хватает, чтобы выбить сквига даже из хумийского крюзера!

Огневая мощь, прочность и вполне приличная скорость эсминца класса Manticore оставили сильное впечатление на орочьих пиратов, поэтому каждый лутаный Manticore после драки становится одним из самых желанных трофеев. Оркофицированные Manticore почти полностью отказались от ""поинт""-обороны и целиком заточены на то, чтобы сыпать как можно больше дакки в сторону врага, и в этой роли они пугающе эффективны.",,,,,,,
ls_rok_ds,SHIP,"Ща мы их рокнем!

Орочий рок - это хламокорабль, сделанный путем приделывания двигателей к астероидам. Такие ""корабли"" обычно обвешаны обломками судов и лутаным оружием и превращены в подвижную огневую платформу. Их также могут сбрасывать на планеты как штурмовые десантные блоки и полевые огневые базы. У большинства роков несколько орудийных платформ, которые можно потерять, не выводя из строя сам астероид. Сам рок очень крепкий и плохо берется маломощным оружием, потому что у него почти нет уязвимых внутренних систем. Но брони у него тоже нет, и при достаточной силе его можно разнести.",,,,,,,
ls_terror_ds,SHIP,"Для всех бойзов, кому не достались самые быстрые корабли: эта штука может перевезти их толпу и разнести хумийские форты, чтобы ты добрался до всех блестящих габбинзов.

Метко названный класс Terror - это орочий корабль наземного штурма, созданный для доставки крупных орочьих сил на цели рейда. Эти громоздкие суда популярны у разных кланов и ненавидимы армиями Сектора. Чтобы лучше выполнять задачу, корабли довольно тяжело бронированы и набиты тяжелыми орудиями и автопушками для подавления сопротивления на земле. В тесный ангар также впихнуто несколько тяжелых штурмовых шаттлов Landa для отдельных высадок.",,,,,,,
ls_terror_ds_cv,SHIP,"Коробка для всех твоих флайбойзов, получше той, на которой ты раньше летал. Только смотри, чтобы у тебя были нормальные самолеты, а то на этой коробке самой дакки - на гретчина не хватит.

Метко названный класс Terror - это орочий корабль наземного штурма, созданный для доставки крупных орочьих сил на цели рейда. Громоздкий транспорт отлично подходит для переделки в авианосец и способен нести приличное количество орочьих летательных аппаратов для боев и на земле, и в космосе. Версия Deathskull более живучая и с чуть более тяжелой огневой мощью, но поддержка собственных авиакрыльев у нее ограниченная.",,,,,,,
ls_loota_ds,SHIP,"Кто, по-твоему, достанет меку детали для проекта, если мы не будем выходить и тырить их? Все габбинзы, что нужны для нормального лутинга, и достаточно дакки, чтобы отогнать прочих гитов от того, что ты по праву спер!

Будучи кланом, известным кражами и лутингом по всему космосу, Deathskulls разработали специализированные корпуса для разбора обломков, которые при необходимости полезны и в добыче, и в перевозках. В лобовом бою это не самые сильные корабли, но они довольно крепкие, а их полезность точно оценит любой варбосс. Предприимчивые меки с радостью держат целые флоты таких судов, чтобы обеспечить постоянный поток материалов для своих новых поделок.",,,,,,,
ls_kill_bursta_ds,SHIP,"Если хочешь, чтобы надоедливые гиты исчезали в тот же миг, как косо на тебя глянут, у меня есть нужный корабль! Он дед крепкий, но лучше бери с собой побольше бойзов, чтобы они отвлекали врага, пока Bursta делает свое дело!

Орочьи ""Kill-Ships"" - серия мощных эсминцев, созданных легендарным орком-ученым-меком Оркимидесом. Старого мека из Deathskulls захватили охотники за головами, когда клан только появился в Секторе: хотели добыть образец для Галактийской академии. К несчастью для академии, слабая охрана и недооценка орочьей физиологии закончились тем, что мек буквально перевернул операционный стол вместе с захватчиками, после чего сбежал, прихватив ценные датапады и настоящий диплом Академии (позже использованный для подтирания).

Используя добычу, Оркимидес разработал серию специализированных орочьих боевых кораблей, куда менее хламовых и куда надежнее типичных орочьих развалюх. Эти суда крайне популярны у орочьих кланов и поэтому всегда в дефиците.

Kill Bursta - главный и, пожалуй, самый страшный из Kill-Ships. Он несет чудовищный осадный миномет Bursta Kannon, способный испарить фрегат одним попаданием и пробить почти любую броню. Бронированный нос позволяет кораблю впитывать серьезный фронтальный огонь, оставляя реактору мощность для главного оружия. В сочетании с хорошей броней и щитами Kill Bursta становится крайне опасным при нормальной поддержке других орочьих военных кораблей.",,,,,,,
ls_bursta_prow,SHIP,Тяжело бронированный нос Kill Bursta.,,,,,,,
ls_rok_ds_right,SHIP,"Орудийная платформа, прикрученная к орочьему року.",,,,,,,
ls_rok_ds_left,SHIP,"Орудийная платформа, прикрученная к орочьему року.",,,,,,,
,,,,,,,,,
ls_mora_ds,SHIP,"Вот это уже нормальный дом для всех чокнутых флайбойзов в Ваагхе! Куча ангаров под все твои истребители и боммеры, и крепости хватает, чтобы боднуть крюзер при работающем кастомном силовом поле. Но мы же не дадим флайбойзам веселиться одним! Нечего добру пропадать - ракеты и бомбы зря валяться не должны, верно?

Как и Venture, крепкий и повсеместный Mora - любимая цель орочьих падальщиков. Любой захваченный или поднятый из обломков такой корабль наверняка станет гордостью предприимчивого варбосса. Но орков не устраивает сидеть сзади, пока их штурмовики делают всю работу. Поэтому лутаный Mora часто обвешивают дополнительными ракетными и пушечными слотами, чтобы флайбосс тоже мог ""ввязаться"" в драку. Для большинства других авианосцев такая переделка была бы безумием, но крепкий Mora реально способен угрожать в линии боя, пока его ограниченный флюкс-пул тянет вооружение.",,,,,,,
ls_venture_ds,SHIP,"Варбоссу, который хочет крушить черепа, нужен крюзер, а этот хумийский крюзер - один из их любимчиков. Как только мы сделали его по-орочьи правильным, он стал дед крепким и с кучей дакки - все, что надо от крюзера. Не слушай гитов, которые ноют, что в нем нет модных габбинзов: только пансигиты нуждаются в мек-цацках, чтобы выбивать хумиям зубы!

Класс Venture - один из самых распространенных крейсеров у малых сил Сектора, поэтому именно они чаще всего становятся добычей крупных орочьих рейдов. В итоге лутаные Venture превратились в самые массовые и популярные орочьи крейсеры в регионе. В отличие от более мелких лутаных орочьих корыт, большинство таких крейсеров любовно ""кастомизируют"", увеличивая огневую мощь, прочность корпуса и массу по сравнению с обычным Venture.

Хотя возможности этих кораблей все еще могут уступать тяжелым крейсерам крупных фракций, вид орочьего крейсера, несущегося на таран с ревущими во все стороны пушками, впечатляет даже самых опытных капитанов.",,,,,,,
ls_eagle_ds,SHIP,"Не такой крепкий, как часть других крюзеров, зато этот реально убойный. Дакки и запперов тут больше, чем у большинства других, и летает быстро. Стоит всех усилий, чтобы залутать такой у хумийских 'ардбойзов.

Быстрый и мощный Eagle закономерно привлекает орочьих лутеров, а захваченные экземпляры обычно становятся гордостью флота варбосса. Лобовые слоты разобраны, чтобы освободить место под одно переразмеренное орудие, которое в сочетании с высокой скоростью корабля и солидным флюкс-пулом дает по-настоящему жуткий эффект. Однако по общему числу слотов он уступает исходной версии.",,,,,,,
ls_megabommer_ds,SHIP,"Тебе нужен боммер для твоих бомб. Тебе нужен большой боммер для больших бомб. Тебе нужен мега-боммер для мега-бомб!

Странная конструкция, по сути безумно увеличенная версия орочьего бомбардировщика. Эта огромная махина размером с крейсер может подтащить к врагу ужасающую полезную нагрузку под прикрытием толстой брони и вполне приличного щита, а потом вывалить все это на несчастную цель.

Из-за хаотичной природы орков никогда не знаешь, чего ждать от таких кораблей: иногда это классические бомбовозы, иногда флайбоссы предпочитают ракеты, а некоторые меки собирают так называемые Blasta-Bommer с капитальными баллистическими орудиями для штурмовых проходов по цели.",,,,,,,
ls_mega_haula,SHIP,"Я НЕ БУДУ СИДЕТЬ ТУТ КАК РАНТХЕРД, КОГДА ВОКРУГ ИДЕТ ДРАКА! ВААААГХ!

Естественная эволюция haula - это mega haula, крупный смешанный грузо-топливный транспорт, обычно построенный на лутаных корпусах Colossus. В отличие от младших Haula, орки, командующие этими кораблями, обычно хотя бы мелкие нобы и самостоятельные боссы, и они терпеть не могут пропускать драку.

Поэтому большинство таких судов вооружено умеренно, а как типичная модификация - в систему хранения АМ-топлива прямо встраивают огромный огнемет. С точки зрения безопасности это, конечно, безумие, но для орка еще большее безумие - сидеть в стороне, когда бой в разгаре. В переделанный трюм также впихивают модифицированные шахтерские дроны, чтобы добавить в смесь еще больше буквальной огневой мощи.",,,,,,,
ls_big_rok_ds,SHIP,"Большой рок - значит большая дакка!

Орочий рок - это хламокорабль, сделанный путем приделывания двигателей к астероидам. Такие ""корабли"" обычно обвешаны обломками судов и лутаным оружием и превращены в подвижную огневую платформу. Их также могут сбрасывать на планеты как штурмовые десантные блоки и полевые огневые базы. У большинства роков несколько орудийных платформ, которые можно потерять, не выводя из строя сам астероид. Сам рок очень крепкий и плохо берется маломощным оружием, потому что у него почти нет уязвимых внутренних систем. Но брони у него тоже нет, и при достаточной силе его можно разнести.

Этот биг-рок несет тяжелую огневую мощь и даже небольшой ангар, но при этом еще менее подвижен, чем его младшие собратья.",,,,,,,
ls_big_rok_ds_left,SHIP,"Тяжелая орудийная платформа, прикрученная к орочьему року.",,,,,,,
ls_big_rok_ds_right,SHIP,"Тяжелая орудийная платформа, прикрученная к орочьему року.",,,,,,,
ls_stompa_factory,SHIP,"Большой рок, выдолбленный под строительную площадку для нескольких крупных орочьих мехов, известных как stompa. Этот экземпляр вооружен до зубов и способен бодаться даже с капитальными кораблями. Однако его слабую подвижность легко использовать против него, особенно если уничтожить двигатели.",,,,,,,
ls_stompa_factory_l,SHIP,Модуль двигателя Фабрики Стомпы,,,,,,,
ls_stompa_factory_r,SHIP,Модуль двигателя Фабрики Стомпы,,,,,,,
ls_stompa_factory_f,SHIP,Орудийный модуль Фабрики Стомпы,,,,,,,
ls_stompa_factory_stompa_1,SHIP,Недостроенная стомпа,,,,,,,
ls_stompa_factory_stompa_2,SHIP,Недостроенная стомпа,,,,,,,
,,,,,,,,,
ls_tur_ds,SHIP,"Чего, это крюзер босса? Да я этот корабль сам собрал! Работает лучше любой рухляди, что найдешь в этой свалке! Тут мои лучшие габбинзы стоят!

Изначально задуманный как творческий план побега мека с крюзера класса Venture, залутанного его боссом, класс Tur стал популярным выбором среди молодых предприимчивых меков, решивших пойти своим путем. С мощным генератором на базе движка Venture и способностью к экстремальным скоростным рывкам эти корабли могут быть крайне опасны для тех, кто недооценит их хламовый вид.",,,,,,,
ls_yaroudomo,SHIP,"Бойзы на том корабле какие-то странные, говорю тебе. Поют какую-то чудную шанти, а потом корабль весь искрит и бьет током. Спорю, любой большой мек захотел бы его разобрать и посмотреть, какие сочные габбинзы внутри!

Легенда гласит, что варлорд Шрумсмаша повел Ваагх в северные пределы центральных миров, где его флот таинственно исчез. Спустя десятилетия регион начали терзать орочьи пираты на странных кораблях и с необычным акцентом. Этот класс лутаных судов, хоть и сильно деградировал в руках новых владельцев, похоже, содержит необычные системы радиоэлектронной борьбы, которые к настоящему времени выродились в простой ЭМИ-излучатель. При этом эти суда сохраняют нетипично высокую маневренность для орочьего лута.",,,,,,,
ls_mek_box_ds,SHIP,"Каждому нормальному меку нужен нормальный ящик с инструментом. Тупые его вечно теряют, когда какой-то гит выбивает им зубы из-за грога. Умные, как мы, ставят на коробку нормальный заппа и кучу дополнительных канов, чтобы гиты не лезли к нашим габбинзам.

Хотя орки в основном известны тем, что лутают готовые корабли, они вполне умеют собирать суда из разных частей так, что средний капитан Сектора их уже не узнает. Эти так называемые Mek-Box - любимые корабли странствующих меков, которым нужно хранить свой лут и иметь достаточно огневой мощи для защиты дома. Обычно обвешаны последними изобретениями мека и забиты запчастями, чтобы при необходимости запускать дополнительные fighta и kan.",,,,,,,
ls_heron_ds,SHIP,"Моя лучшая работа, вот это. Не найдешь другого крюзера, что ее перегонит, и генератор у нее тоже мой лучший. Боссы любят свои крюзеры большими и крепкими, а у меня тут лучший вид дакки и заппов, чтобы их всех разнести!

Странным образом любимые среди орочьих меков, немногие Heron, попавшие в орочьи руки, часто переделываются в почти неузнаваемые легкие крейсеры, лишь отдаленно похожие на исходную форму. Используя мощный двигатель Heron, эти корабли получают невероятную мобильность, а их мек-мастера обычно переделывают их под очень широкий набор вооружения. Хрупкая полетная палуба Heron редко переживает такие переделки, поэтому итоговые мек-крюзеры обычно становятся мощными, но довольно хрупкими ударными крейсерами.",,,,,,,
,,,,,,,,,
,,,,,,,,,
ls_hulk_ds,SHIP,"Это хулк, в космосе. Значит это космохулк. Самый большой и самый крепкий корабль - для самого большого и крепкого босса, чтобы как следует накостылять любому пансигиту-хумию!

Сборная солянка из различных разбитых военных кораблей Сектора: space hulk - орочий капитальный корабль с серьезной огневой мощью, который также служит узлом орочьей активности. Эти суда, какими бы нетипичными ни были, способны биться на равных с линкором класса Onslaught, и любой орочий варлорд, у которого есть такой корабль, вполне может угрожать флоту одной из крупных держав Сектора.",,,,,,,
ls_star_krumpa_ds,SHIP,"Самый большой и самый злой босс имеет самый большой и самый злой крюзер! Так мы покажем всем прочим гитам и хумиям, кто тут главный! Он летит быстро и кромсает еще сильнее! Чего, хочешь такой себе? Обломись!

С учетом хаотичной и кровавой жизни зеленокожего капитана его любимый корабль редко живет достаточно долго, чтобы стать чем-то большим, чем куча salvage-хлама. Но со временем успешные варбоссы могут отстроить свою тачку в по-настоящему жуткую машину из трофеев, добытых в победных боях. Орки питаются победой и растут с каждым триумфом - их крюзеры отражают это. Крупнейшие и успешнейшие из них уже почти не напоминают какой-либо корабль Персеанского Сектора, но от этого не становятся менее смертоносными.

Тип battle-kroozer Star Krumpa делает ставку на экстремальную скорость и тяжелую баллистическую мощь, жертвуя защитой лишь немного. Для многих капитанов крейсеров это приговор: в лоб выдержать такого монстра они не могут, а среагировать и уйти от его рывка скорости - не успевают. В прямой схватке его чистая огневая мощь способна тягаться даже с капитальными кораблями флотов Сектора.",,,,,,,
,,,,,,,,,
ls_loot_horda,SHIP,"Смотри, чтобы с блестящими габбинзами босса ничего не случилось. Если корабль раскромсают - нас тоже раскромсают, так что мы раскромсаем любого гита, который захочет раскромсать этот корабль, понял?

Даже орки иногда вынуждены признать, что в их и без того просторные трюмы больше уже ничего не запихнуть. В итоге некоторые суда орочьего флота превращаются в раздутые кучи прикрученных контейнеров и прочего хлама, работая чем-то вроде импровизированного корабля снабжения. По-орочьи, даже такие неповоротливые корыта вооружены куда лучше, чем любой грузовик мог бы мечтать, но они настолько перегружены всем подряд, что при перехвате им обычно остается только драться - что оркам в целом и нужно.

Да, они способны выдержать много урона и наказать неосторожного капитана, но для нескольких компетентных военных кораблей такая цель обычно не проблема. Поэтому это лакомая добыча для командиров, желающих сорвать оркам их жалкое подобие линии снабжения. Впрочем, быть жирной приманкой, привлекающей врага, оркам опять же только в радость.",,,,,,,
,,,,,,,,,
ls_attack_fighta_ds,SHIP,"Ни одна нормальная флаймоба не обойдется без эскадрона attack fighta. От сбивания хумийских боммеров, которые хотят проделать дырку в новой блестящей тачке босса, до пробивания дыр в хумийских кораблях для абордажников - они умеют все!

Attack fighta - один из самых распространенных орочьих штурмовиков у кланов и пиратов. Эти крепкие аппараты оснащены тяжелыми шутами и крупнокалиберной пушкой, что позволяет им справляться с большинством вражеских истребителей и фрегатов. Против более крепких целей их огневой мощи уже не хватает, но они отлично отвлекают вражеских стрелков ПВО и давят щиты.",,,,,,,
ls_fighta_bomma_ds,SHIP,"Бей их жестко, бей низко и дай им побольше Дакки.

Fighta Bommer - одни из самых грозных и универсальных орочьих штурмовиков: прочные, с ракетной нагрузкой, способной угрожать всем, кроме самых тяжелых боевых кораблей, и с шутами для борьбы с вражескими истребителями. Неудивительно, что на Fighta-Bommer летали некоторые из самых знаменитых орочьих эскадрилий и асов.",,,,,,,
ls_kan_ds,SHIP,"Killa Kan - боевой мех, созданный путем кибернетического подключения гретчина к бронированной ""банке"". Эти мехи дают мелким зеленокожим больше огневой мощи и живучести, чем у всех, кроме самых мощных истребителей Сектора. Этот вариант оснащен bigshoota и grotzooka, что позволяет ему работать по легким и средним целям на ближней и средней дистанции.

""Йар! Кто теперь самый большой и самый злой, а? Я вам покажу, покажу вам всем!",,,,,,,
