name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Сталкер,uw_stalker,Крейсер,Кустарный,ammofeed,14,8000,1000,9000,10000,450,130,1,45,30,20,20,20,1750,FRONT,,300,0.4,1,,,200,350,225,120,3,40,8,135000,4,12,540,0.25,20,20,,,,,,,,"rare_bp, merc, ind",,,,0.6,2,3,,419
Дворняга,uw_mongrel,Военная баржа,Джанкер,fastmissileracks,11,10000,400,10000,7000,350,145,,40,30,20,15,15,1000,NONE,,,,,,,120,120,100,60,3,20,8,75000,4,20,240,0.25,12,12,,,,,,,ALWAYS_PANIC,uw_junker_bp,,,,0.6,2,3,,420
Тенекоготь,uw_shadowclaw,Улучшенный крейсер,Среднелинейный,uw_shadowskim,16,7500,1000,12000,12000,600,130,,50,30,20,20,25,1100,FRONT,,270,0.4,0.8,,,75,200,100,100,3,33,8,230000,3,15,480,0.25,28,28,,,,,,,,"restricted, codex_unlockable",,,,0.5,2,3,,421
Звёздный Эос,uw_eos_cabal,Авианосец,Звёздный Кабал,flarelauncher_active,16,8000,700,6000,6000,300,110,4,60,30,30,10,10,2000,FRONT,,360,0.6,0.6,,,150,300,75,80,4,20,8,225000,3,15,420,0.25,25,25,,,,,,,"CARRIER, COMBAT","uw_cabal_bp, no_dealer, codex_unlockable",,,,0.4,2,3,,407
Старскрим,uw_starscream,Боевой транспорт,Звёздный Кабал,plasmajets,12,6000,350,8000,6000,300,105,1,45,25,15,15,15,1200,OMNI,,120,0.5,0.8,,,75,900,250,120,4,30,8,170000,3,15,480,0.25,15,15,,,,,50,225,,"uw_cabal_bp, uw_cabal_minibp, no_dealer, codex_unlockable",,,,0.6,2,3,,409
Кульминация,uw_climax,Крейсер,Звёздный Кабал,highenergyfocus,15,9000,750,12000,14000,700,150,,60,40,30,20,25,2000,FRONT,,360,0.6,0.7,,,150,450,400,200,2,100,8,140000,3,15,420,0.25,18,18,,,,,,,,"uw_cabal_bp, no_dealer, codex_unlockable",,,,0.6,2,3,,403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инфернус,uw_infernus,Боевой фургон,Постколлапсный,burndrive,28,25000,1600,22000,30000,1200,265,2,20,6,6,3,2,5500,FRONT,,90,0.25,1,,,1000,2500,500,4000,20,200,6,420000,2,12,660,0.15,50,50,,,80,200,50,125,,"rare_bp, hist3t, req_military, codex_unlockable",,,0.5,0.75,3,6,,508
Ренегат,uw_renegade,Линейный крейсер,Постколлапсный,uw_inferniumdrive,22,15000,1500,20000,17500,700,260,1,40,20,12,5,5,3500,OMNI,,180,0.5,1.4,,,500,1250,250,250,10,25,7,260000,3,18,600,0.25,30,30,,,,,,,,"rare_bp, merc",,,,0.5,2,4,,509
Дракон,uw_dragon,Линейный крейсер,Кустарный,fastmissileracks,24,10000,1200,14000,16250,650,250,2,60,40,30,6,9,2500,OMNI,,120,0.4,1.2,,,450,700,300,400,10,40,8,300000,3,15,660,0.25,40,40,,,,,,,,"rare_bp, hist3t, merc",,,,0.6,2,4,,510
Амальгама,uw_amalgam,Баржа смерти,Джанкер,maneuveringjets,17,16000,800,17000,12500,500,270,,30,20,15,4,3,3000,NONE,,,,,,,250,250,200,450,15,30,7,180000,3,20,360,0.25,24,24,,,,,,,ALWAYS_PANIC,uw_junker_bp,,,,0.6,2,4,,420
Суккуб,uw_succubus,Лёгкий линкор,Звёздный Кабал,uw_incubusdrive,26,12000,1000,22000,20000,750,290,,50,25,20,6,8,3000,OMNI,,150,0.4,0.8,,,600,1200,400,400,10,40,8,540000,3,15,660,0.25,45,45,,,,,,,,"uw_cabal_bp, no_dealer, codex_unlockable",,,,0.5,2,4,,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Дворец,uw_palace,Праздничный корабль,Звёздный Кабал,entropyamplifier,250,10000,1000,28000,35000,1400,220,2,30,6,5,5,5,1500,OMNI,,360,0.5,0.6,,,1000,3000,2000,2000,20,100,6,500000,10,10,,,80,80,,,,,,,"SHIP_WITH_MODULES, UNBOARDABLE, NEVER_DODGE_MISSILES","no_dealer, codex_unlockable",,,,0.5,2,3,,507
,uw_palace_rear,Кормовая секция,Звёздный Кабал,,1,8000,1200,12500,6250,500,70,,0,0,0,10,10,1000,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,1,2,3,,2100
,uw_palace_left,Левая секция,Звёздный Кабал,mine_strike,1,5000,1100,5000,2500,200,40,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNDER_PARENT, UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,2,,2100
,uw_palace_right,Правая секция,Звёздный Кабал,mine_strike,1,5000,1100,5000,2500,200,40,,0,0,0,10,10,400,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNDER_PARENT, UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,0.5,2,2,,2100
,uw_palace_front,Носовая секция,Звёздный Кабал,highenergyfocus,1,20000,1300,17500,8750,700,120,2,0,0,0,10,10,1500,NONE,,0,0,0,,,0,0,0,0,1,0,,1,,1,,,0,0,,,,,,,"UNDER_PARENT, UNBOARDABLE, HIDE_IN_CODEX, MODULE",,,,,1,2,4,,2100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Диско-шар,uw_boss_disco_ball,,Уникальный Звёздный Кабал,,,5000,300,36000,,4000,,,200,500,500,100,10,500,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,no_dealer,Недоступно (дрон),,,1,2,4,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пчела-убийца,uw_boss_wasp,,Уникальный Звёздный Кабал,,,200,20,3000,,300,0,,300,500,500,180,360,20,NONE,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,no_dealer,,,,0,,,,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Эйфория,uw_boss_astral,Мод-кэрриер,Уникальный Звёздный Кабал,uw_boss_drone_disco_ball,32,10000,900,12000,15000,600,290,6,30,15,10,7,4,3000,FRONT,,360,0.7,0.6,,,450,1000,250,200,10,20,7,1200000,3,15,600,0.25,60,60,,,,,,,,"no_autofit, no_dealer, codex_unlockable",,,,0.6,2,4,,501
Рак,uw_boss_cancer,Дредноут,Проклятый,recalldevice,40,30000,2000,60000,50000,2000,410,7,30,10,10,3,4,7000,OMNI,,180,0.4,1,,,1200,2000,1000,400,20,20,6,1300000,2,10,840,0.03,80,80,,,,,,,UNBOARDABLE,"no_autofit, restricted, no_dealer, codex_unlockable, limited_tooltip_if_locked",Недоступно,uw_boss_cancer_cur,,1,5,5,,666
Порча,uw_boss_corruption,Фазовый линейный крейсер,Проклятый,mine_strike,32,15000,1400,20000,31250,1250,290,2,40,15,15,6,10,4000,PHASE,phasecloak,,,,0.05,0.05,300,500,200,200,10,20,7,945000,3,12,720,0.03,60,60,,,,,,,UNBOARDABLE,"no_autofit, restricted, no_dealer, codex_unlockable, limited_tooltip_if_locked",Недоступно,uw_boss_corruption_cur,,1,4,4,,666
Киста,uw_boss_cyst,Крейсер,Проклятый,ammofeed,20,12000,1500,18000,16000,800,170,1,45,25,20,15,20,2750,OMNI,,150,0.4,1,,,250,400,200,100,5,20,7,435000,4,12,540,0.03,35,35,,,,,,,UNBOARDABLE,"no_autofit, restricted, no_dealer, codex_unlockable, limited_tooltip_if_locked",Недоступно,uw_boss_cyst_cur,,1,3,3,,666
Болезнь,uw_boss_disease,Лёгкий крейсер,Проклятый,maneuveringjets,15,8000,900,14000,11000,550,140,,80,60,30,20,30,800,FRONT,,270,0.3,1,,,125,200,150,60,3,20,9,245000,4,12,480,0.03,20,20,,,,,,,UNBOARDABLE,"no_autofit, restricted, no_dealer, codex_unlockable, limited_tooltip_if_locked",Недоступно,uw_boss_disease_cur,,1,3,3,,666
Злокачественность,uw_boss_malignancy,Линкор,Проклятый,entropyamplifier,35,22000,1600,40000,40000,1600,340,3,35,15,10,5,6,5500,OMNI,,270,0.4,1,,,750,1000,400,300,15,20,7,1100000,4,10,720,0.03,70,70,,,,,,,UNBOARDABLE,"no_autofit, restricted, no_dealer, codex_unlockable, limited_tooltip_if_locked",Недоступно,uw_boss_malignancy_cur,,1,4,4,,666
Метастаз,uw_boss_metastasis,Тяжёлый крейсер,Проклятый,temporalshell,22,11000,1250,30000,24000,1200,230,1,60,40,30,30,40,3000,OMNI,,180,0.4,1,,,175,250,200,80,4,20,8,490000,3,10,540,0.03,40,40,,,,,,,UNBOARDABLE,"no_autofit, restricted, no_dealer, codex_unlockable, limited_tooltip_if_locked",Недоступно,uw_boss_metastasis_cur,,1,3,3,,666
Пустула,uw_boss_pustule,Эсминец,Проклятый,emp,12,6500,1000,8000,6666,400,110,,70,40,40,30,45,600,OMNI,,150,0.4,1,,,80,120,120,60,3,20,9,110000,5,12,420,0.03,12,12,,,,,,,UNBOARDABLE,"no_autofit, restricted, no_dealer, codex_unlockable, limited_tooltip_if_locked",Недоступно,uw_boss_pustule_cur,,1,2,2,,666
Опухоль,uw_boss_tumor,Тяжёлый эсминец,Проклятый,displacer,13,7000,800,11000,10000,600,110,,90,60,40,35,50,400,FRONT,,270,0.3,1,,,70,100,100,60,3,20,9,120000,5,12,420,0.03,14,14,,,,,,,UNBOARDABLE,"no_autofit, restricted, no_dealer, codex_unlockable, limited_tooltip_if_locked",Недоступно,uw_boss_tumor_cur,,1,2,2,,666
Язва,uw_boss_ulcer,Боевой носитель,Проклятый,targetingfeed,17,10000,1100,20000,15000,750,160,2,50,20,15,15,25,2000,FRONT,,210,0.3,1,,,150,200,200,80,4,20,8,365000,4,10,540,0.03,30,30,,,,,,,"UNBOARDABLE, CARRIER, COMBAT","no_autofit, restricted, no_dealer, codex_unlockable, limited_tooltip_if_locked",Недоступно,uw_boss_ulcer_cur,,1,3,3,,666
