name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Око Мирии,Xhan_MyriaEye,0,,,650,,200,350,0,660,0,25,3.5,25,ENERGY,150,,0,0.13,1,,,,,,,10000,,,,"PD, ANTI_FTR, SYSTEM","25, codex_require_related",,Transcendent Divination,,Неизвестно,,Точечная оборона,,,,Идеально,Выпускает ЭМИ-дугу по ближайшей цели около текущего направления орудия. Дуга всегда попадает.,,,
Артиллерийская батарея Громм,Xhan_Gromm,0,,3000,1400,,1350,,400,16,16,,,,HIGH_EXPLOSIVE,1350,,0,6,2,0.7,1,8,3,10,,1000,,,9000,"SYSTEM, NO_TURN_RATE_BOOST_WHEN_IDLE",he18,,Xhan Tech,,Против брони,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Импульсное ядро Фаррек,Xhan_Pharrekcore,,,3500,320,,300,0,40,80,0,,,,ENERGY,200,,0.4,2,1,,,,,,,600,,,100,"SYSTEM, PD","energy20, codex_require_related",,Prime Divination,,ПВО,,,,,,,,,,8.018
Осколочная пушка Фаррек,Xhan_pharrek_fraggun,,,1800,300,,50,,1,70,12,,,,FRAGMENTATION,4,,0,0.02,1,,0,10,2,10,,600,,,8,SYSTEM,codex_require_related,,Prime Divination,,ПВО,,,,,,,,,,8.020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноосферный разряд,Xhan_PsyBlast,,,3500,800,,500,2000,40,80,0,,,,ENERGY,1000,,8,75,1,,,,,,,600,,,100,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE","energy20, codex_require_related",,Transcendent Divination,,Неизвестно,,,,,,,,,,8.018
Пси-разряд,Xhan_PsyDischarge_gun,,,1200,1100,,500,2000,1,70,12,,,,ENERGY,4,,0,0.02,1,,0,10,2,10,,200,400,14.5,1000,SYSTEM,codex_require_related,,Transcendent Divination,,ПВО,,,,,,,,,,8.020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пусковая подрывных зарядов «Столб»,Stolb_Demo_charge,3,0.5,6000,800,,900,,75,10,26,,,,HIGH_EXPLOSIVE,700,,0,6,3,0.5,0,15,10,6,,360,260,3,1200,,"he18, rare_bp",,Xhan Tech,,Зональный контроль,Быстро,Нет,,,,,,,TRUE,8.003
Плазменный проектор «Горель»,Gorel_Plas_Proj,3,0.5,7500,700,,1300,200,,20,30,,,,ENERGY,1300,,0.3,2.2,1,,,,,,,500,,0,4000,"STRIKE, USE_VS_FRIGATES","energy20, rare_bp",,Xhan Tech,,Общее,,,,,,,,,,8.004
Автопушка ближнего подрыва «Закреп»,Zakrep_Prox_Burst,2,0.5,3500,900,,240,,10,25,20,,,,HIGH_EXPLOSIVE,250,,0,1.2,2,0.3,0,5,5,6,,950,,,400,,"he18, XhanWartech_bp",,Xhan Tech,,Против брони,,,,,,,,,,8.005
Батарея «Шреддер» Хезек,Xhan_Hezek,2,0.6,3000,600,,180,,5,30,18,,,,FRAGMENTATION,55,,0,0.08,1,,1,10,2,10,,3000,,,50,,"he18, XhanWartech_bp",,Xhan Tech,,Общее,,,,,Снаряды имеют фугасную боевую часть и наносят дополнительно %s урона при попадании.,20 фугас.,,,,8.015
Пусковая плазменных ракет «Сир»,Xhan_Syr,2,0.5,5000,1600,,100,,5,25,22,400,,,ENERGY,0,,0,5,25,0.12,0,0,0,0,,750,100,4,60,"DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, rare_bp",,Xhan Tech,,Общее,Быстро,Отличное,,,,,,,,8.016
Химический импульсный лазер Штраль,Xhan_Shtral,0,0.5,4000,1000,,350,,40,10,25,6,0.5,3,ENERGY,600,,0.3,0.4,3,0.4,,,,,,4000,,0,4000,"STRIKE, USE_VS_FRIGATES","energy20, rare_bp",,Xhan Tech,,Общее,,,,,Химические лазерные заряды наносят дополнительно %s урона при попадании.,100 фугас.,,,,24
Тяжелый автозарядник ракет «Блоз»,Xhan_Bloz_large,2,0.5,5200,1400,,1000,,40,10,22,90,,,FRAGMENTATION,0,,0,0.8,1,0.12,0,0,0,0,,320,180,8,350,"DO_NOT_AIM, DO_NOT_CONSERVE","missile13, missile15, XhanDemolitions_bp",,Xhan Tech,,Противокорпусная ракета,Быстро,Хорошее,,,,,,,TRUE,9.75
Тяжелая кинетическая автопушка Цебрек,Xhan_Tsebrek,2,0.5,3000,900,,425,,20,10,20,,,,KINETIC,525,,0,1.4,1,,0,6,2,10,,800,,,525,,"kinetic18, XhanWartech_bp",,Xhan Tech,,Против щита,,,,,Снаряды имеют усиленную фугасную боевую часть и наносят дополнительно %s урона при попадании.,90 фугас.,,,,7.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Автопушка Стейзок,Steizok_Autogun,2,0.75,2000,900,,90,,5,35,12,,,,HIGH_EXPLOSIVE,95,,0,0.8,3,0.15,0,4,2,5,,900,,,30,,"he16, LR, XhanDemolitions_bp",,Xhan Tech,,Против брони,,,,,,,,,,8.006
ПВО насыщения «Игол»,Igol_point_def,1,0.75,1500,500,,22,,1,70,12,,,,FRAGMENTATION,4,,0,0.02,1,,0,10,2,10,,1100,,,8,PD,"pd15, SR, XhanDemolitions_bp",,Xhan Tech,,ПВО,,,,,,,,,,8.007
Плазменный распылитель Угол,Ugol_Plas_Spit,2,0.75,1200,700,,70,,0,20,10,,,,ENERGY,70,,0.2,0.7,5,0.08,0,6,2,10,,750,,,,,"energy13, XhanWartech_bp",,Xhan Tech,,Общее,,,,,Пластоидные осколки наносят дополнительно %s урона при попадании.,5 фугас.,,,,8.008
Тяжелая подрывная торпеда «Шарик»,Sharik_Demo_Torp,3,0.2,4000,900,,8000,,200,10,10,2,,,HIGH_EXPLOSIVE,0,,0,28,1,,0,0,0,0,,160,50,6,1100,"DO_NOT_AIM, STRIKE","strike8, rocket3, rare_bp",,Xhan Tech,,Добивающее,Быстро,Нет,,,,,,,TRUE,8.009
Нейтронный дестабилизатор Язер,Xhan_Yazer,3,0.2,4000,550,1800,,,0,18,15,10,,,ENERGY,,1350,0.05,0.5,2.2,15,,,,,3200,,,,,"USE_VS_FRIGATES, GROUP_ALTERNATING","energy14, beam10, rare_bp",,Xhan Tech,,Ударное,,,,,,,,,,8.012
Сдвоенная автопушка Штир,Xhan_Shtir_Twinlink,2,0.5,2300,1000,,45,,6,35,14,,,,KINETIC,42,,0,1,8,0.15,0,7,4,8,,850,,,50,,"kinetic8, LR, XhanWartech_bp",,Xhan Tech,,Против щита,,,,,,,,,,8.011
Ракетная кассета «Блоз»,Xhan_Bloz_medium,2,0.75,1200,1400,,1000,,40,10,10,24,,,FRAGMENTATION,0,,0,5,3,0.18,0,0,0,0,,320,150,7,350,DO_NOT_AIM,"missile13, strike9, XhanDemolitions_bp",,Xhan Tech,,Противокорпусная ракета,Быстро,Хорошее,,,,,,,TRUE,9.75
Омни-орудие Зарукель,Xhan_Zarukel,3,0.2,4000,700,,107,100,0,40,15,,,,ENERGY,107,,0.15,0.3,1,,0,6,2,10,,950,,,,"PD, PD_ALSO","energy13, rare_bp, codex_require_related",,Prime Divination,,Омни-оружие,,,,,,,,,,8.008
Ракета-выводчик из строя Лузна,Xhan_Luzna,3,0.2,3200,2000,,650,2500,15,10,14,,,,ENERGY,0,,0,25,1,,0,0,0,,,450,50,18,400,"DO_NOT_AIM, HEATSEEKER","utility13, XhanWartech_bp",,Xhan Tech,,Против двигателей,Быстро,Отличное,,,,,,,TRUE,12.2
Умный игломёт Кобраз,Xhan_Kobraz,2,0.75,4000,850,,90,,0,20,15,,,,ENERGY,90,,,2,6,0.1,18,18,10,10,,800,,,,,"energy13, codex_require_related",,Alvarium Doctrine,,Общее,,,,,,,,,,8.008
Хем-фьюжн бластер Грокан,Xhan_Grokan,0,,1600,500,,500,,0,7,12,,,,ENERGY,1450,,0,2.5,,,,,,,,900,,,600,,"energy12, codex_require_related",,Alvarium Doctrine,,Общее,,,,,Заряды бластера наносят дополнительно %s урона при попадании.,1000 осколочный,,,TRUE,22.125
Гравинулевой бластер Эрлехкайт,Xhan_Erlekhkeyt,0,0.2,8000,800,,500,150,0,14,18,,,,ENERGY,700,,0.5,1,,,,,,,,800,,,600,,"energy12, restricted, codex_require_related",,Transcendent Divination,,Общее,,,,,Заряды бластера наносят дополнительно %s урона при попадании и гасят инерцию вражеского корабля.,500 осколочный,,,TRUE,22.125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПВО Чок,Chok_point_def,1,1,220,400,,60,,1,80,4,,,,FRAGMENTATION,20,,0,0.4,1,,0,8,2,15,,700,,,60,PD,"pd7, kinetic4, SR, XhanDemolitions_bp",,Xhan Tech,,ПВО,,,,,,,,,,8.010
Автопушка Штир,Shtir_Autocannon,2,0.75,600,1000,,45,,6,35,7,,,,KINETIC,48,,0,1,4,0.3,0,7,4,8,,850,,,50,,"kinetic8, LR, XhanWartech_bp",,Xhan Tech,,Против щита,,,,,,,,,,8.011
Лёгкий автолазер Палик,Xhan_Palik,1,0.75,230,700,,20,,0,50,5,,,,ENERGY,20,,0.1,0.05,1,,5,15,5,6,,700,,,,,"energy8, XhanWartech_bp",,Xhan Tech,,Общее,,,,,Пластоидные осколки наносят дополнительно %s урона при попадании.,5 фугас.,,,,8.013
Дециматор «Дроб»,Xhan_Drob,2,0.5,700,600,,250,,40,25,7,,,,HIGH_EXPLOSIVE,300,,0,2.5,1,,30,30,4,10,,650,,,100,,"he6, XhanDemolitions_bp",,Xhan Tech,,Против брони,,,,,,,,,,3
Ракетный загрузчик «Блоз»,Xhan_Bloz_small,2,0.5,300,1400,,1000,,40,10,4,6,,,FRAGMENTATION,0,,0,1.5,1,,0,0,0,0,,320,150,7,350,DO_NOT_AIM,"strike7, missile0, XhanDemolitions_bp",,Xhan Tech,,Противокорпусная ракета,Быстро,Хорошее,,,,,,,TRUE,9.75
Плазменная торпеда «Жук»,Xhan_Zhuk,1,,200,1300,,3250,,75,10,2,1,,,ENERGY,0,,0,5,1,,0,0,0,0,,450,150,4,600,STRIKE,"strike8, rocket3, XhanWartech_bp",,Xhan Tech,,Торпеда,Быстро,Нет,,,,,,,TRUE,9
Бластер Богул,Xhan_bogul,2,0.5,700,550,,350,,15,35,7,,,,FRAGMENTATION,225,,0.1,0.9,1,,2,7,4,12,,700,,,100,,"energy8, codex_require_related",,Alvarium Doctrine,,Общее,,,,,Заряды бластера наносят дополнительно %s урона при попадании.,100 энергия,,,TRUE,3
Гамма-сатуратор Свеч,Xhan_svech,1,,200,340,,15,55,1,130,2,,,,FRAGMENTATION,1,,0,0.08,1,,30,30,1,15,,3000,,,10,PD,"pd7, SR, codex_require_related",,Alvarium Doctrine,,ПВО,,,,,,,,,,1
Сверхзаряженный гамма-сатуратор Жун,Xhan_Zhun,1,0.5,2000,650,,50,70,1,130,5,,,,FRAGMENTATION,10,,0,0.06,1,,18,18,1,15,,3000,,,10,PD,"pd7, SR, restricted, codex_require_related",,Transcendent Divination,,ПВО,,,,,,,,,,1
Частица-копьё Шпизак,Xhan_Shpizak,2,0.5,3000,900,,90,50,10,30,11,,,,KINETIC,90,,0.6,0.4,3,0.2,0,5,3,8,,1150,,,50,,"restricted, codex_require_related",,Transcendent Divination,,Против щита,,,,,Частица-копья наносят дополнительно %s урона при попадании.,25 энергия,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fighterweapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПВО насыщения «Игол» (истр.),XHAN_igol_fighter,0,,1800,400,,45,,1,70,12,,,,FRAGMENTATION,6,,0,0.08,1,,2,15,4,10,,1100,,,8,"PD, SYSTEM","pd15, SR",,Xhan Tech,,ПВО (зональное),,,,,,,,,,8.007
Плазменный проектор «Горель» (истр.),XHAN_gorel_fighter,0,,7500,700,,2400,200,,20,30,1,,,ENERGY,1250,,0.5,3,1,,,,,,,500,,0,4000,"STRIKE, USE_VS_FRIGATES, SYSTEM",energy20,,Xhan Tech,,Общее,,,,,,,,,,8.004
Автопушка Стейзок (истр.),XHAN_Steizok_fighter,0,,2000,600,,75,,5,35,12,,,,HIGH_EXPLOSIVE,75,,0,0.6,2,0.15,0,10,2,5,,1300,,,30,SYSTEM,he16,,Xhan Tech,,Против брони,,,,,,,,,,8.006
Плазменный резак Виль,XHAN_VilCutter,0,,600,300,95,,,0,110,4,,,,ENERGY,,80,0,0.25,,,,,,,3000,,,,,"PD, ANTI_FTR, SYSTEM","pd9, beam6, codex_require_related",,Alvarium Doctrine,,ПВО,,,,,,,,,,15.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
