name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
Круши этих гицов!!,ls_drilla_drive,1,,,,,,,,,2,8,2,10,FALSE,,,,,,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Ззап-поле,ls_zzap_field,1,,0.05,,,0.2,,,,0.5,6,0.5,4,FALSE,,,,,,,,,TRUE,,,graphics/icons/hullsys/emp_emitter.png
Фартовая теллипорта,ls_snazzy_tellyporta,,,,,,,,,,0.5,,0.5,10,FALSE,TRUE,,TRUE,TRUE,,,,,,,,graphics/icons/hullsys/displacer.png
Самая фартовая теллипорта,ls_snazziest_tellyporta,,,,,,,,,,0.5,,0.5,10,FALSE,TRUE,,TRUE,TRUE,,,,,,,,graphics/icons/hullsys/displacer.png
Темпоральное силовое поле,ls_temporal_forcefield,1,,,,,0.2,,,,0.1,5,0.1,5,FALSE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Темпоральный щит,ls_temporal_shield,1,,,,,0.2,,,,0.1,5,0.1,5,FALSE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Прицельный сквиг,ls_targetting_squig,1,,,,,,,,,0.25,7.5,0.25,12,FALSE,,,,,,,,,,,,graphics/icons/hullsys/emp_emitter.png
Перегрузка бласт,ls_blasta_overdrive,1,,,,,0.1,,,,2,2,2,15,FALSE,,,,,,,,,TRUE,,,graphics/icons/hullsys/emp_emitter.png
Пройдись по ним!,ls_plough_them,1,,,,,,,2,0.1,1,3,1,2,FALSE,,,,,TRUE,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Блестючий привод,ls_glitta_drive,1,,,,,,,,,1,5,1,12,FALSE,,,,,,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
Ард-поле,ls_ard_field_system,,,0.025,,,,,,,1.5,,1.5,2,TRUE,,,TRUE,TRUE,,,,,,,,graphics/icons/hullsys/fortress_shield.png
Мега-хитрый,ls_ded_sneaky,1,,0.05,,,0.2,,2,0.075,0.25,4.5,0.25,2,FALSE,,,,,,,,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Мега-хитрый (истребитель),ls_ded_sneaky_fighter,1,,0.05,,,0.2,,,,0.1,2.5,0.1,6,FALSE,,,,,,,,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Тактичная релокация,ls_takital_relocation,,,,,,,,3,0.1,0.75,2,0.75,2,FALSE,,,,TRUE,,,,TRUE,,,,graphics/icons/hullsys/temporal_shell.png
Тактичное внедрение,ls_takital_insertion,1,,,,,,,,,0.5,2,1,15,FALSE,,,,TRUE,,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
Хватай того гица!,ls_get_dat_git,,,,,,0.2,,,,0.5,8,1,10,,,,,,,,,,,,,graphics/icons/hullsys/entropy_amplifier.png
Глаза в небе,ls_eyez_in_da_sky,1,,,,,,,,,2,5,2,15,FALSE,,,,,,,,,,,,graphics/icons/hullsys/emp_emitter.png
18 кулак Горкаморки,ls_eyu,1,,,,,,,,,0.5,5,0.5,6,FALSE,,,,,,,,,TRUE,,,graphics/icons/hullsys/burn_drive.png
Огневая поддержка,ls_arty_strike,,,,,,0.1,,,,0.25,,0.25,10,,,,,,,,,,,,,graphics/icons/hullsys/interdictor_array.png
Дрон-таран,ls_ramma_drone,1,,,,,,,,,2,8,1,,FALSE,,,,,,TRUE,TRUE,,TRUE,,,graphics/icons/hullsys/burn_drive.png
Размажь их!,ls_deff_dred_melee,1,,,,,,,,,0.5,5,0.5,10,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,,,graphics/icons/hullsys/maneuvering_jets.png
Втопчи их в землю!,ls_stomp_em,1,,,,,,,,,0.5,2.5,1.5,10,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,,,graphics/icons/hullsys/burn_drive.png
Запускай всё!,ls_launch_everything,1,,,,,,,,,0.25,1.5,0.25,15,FALSE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Танец света,ls_lambda_teleporter,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,graphics/icons/hullsys/displacer.png
,,,,,,,,,4,0.2,0.25,0,0.25,1,,,,,,,,,,,,,
##Fighta Aces,,,,,,,,,,,,,,,,,,,,,,,,,,,
Смертная эскадрилья,ls_deff_skwadron,,,,,,,,1,,0,0,0,0,FALSE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Смертная эскадрилья - спавнер Killboy,ls_deff_skwardon_killboy_spawner,,,,,,,,1,,0,0,0,0,FALSE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
Старый добрый Killboy,ls_uh_oh_killboy,1,,,,,,,,,2,5,1,,FALSE,,,,,,TRUE,TRUE,,TRUE,,,graphics/icons/hullsys/burn_drive.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,
