id,type,text1,text2,text3,notes
# FIGHTER WEAPONS


ora_callingFighter,WEAPON,"Грубое решение проблемы ранних плазменных сфер: Calling Scatterer увеличивает число параллельных пускателей, перегружая оборону цели.",Штурмовое,,
ora_eschewalFighter,WEAPON,"Лицензированная модификация Heavy Blaster. Вторичное магнитное поле удерживает плазменный заряд дольше, повышая дальность ценой скорости снаряда.",Огневая поддержка,,
ora_AMbomb,WEAPON,Запускает бронированный контейнер с одним антиматерийным зарядом из грубой магнитной рельсовой пушки. Последовательность запуска программируется перед выстрелом.,Ударное,,
,,,,,
,,,,,
,,,,,
# SHIPS SHIPS SHIPS
,,,,,
,,,,,
,,,,,
# FIGHTERS FIGHTERS FIGHTERS
,,,,,
,,,,,
,,,,,
ora_fervor,SHIP,"Канонерка класса Fervor - прочный, надежный и очень дорогой истребитель, одинаково пригодный для эскорта и штурма. Построен из фрегатных компонентов, поэтому сложен в обслуживании, но живуч.",,,
,,,,,
,,,,,
,,,,,
ora_allure,SHIP,"Бомбардировщик Allure несет четырехкратный боезапас антиматерийных бомб, за что его ненавидят многие капитаны. В остальном он близок к Fervor, но с крайне нестабильной нагрузкой.",,,
,,,,,
,,,,,
,,,,,
ora_wisdom,SHIP,"Для быстрого перехватчика Wisdom обладает достойным ударом. К сожалению, это почти единственное его преимущество: громоздкий профиль ловит случайные попадания, а легкая рама слаба.",,,
,,,,,
,,,,,
,,,,,
ora_awareness,SHIP,"Ударный бомбардировщик Awareness способен обрушить страшный объем боеприпасов на крупные цели. Неточность Calling Scatterer усугубляется скоростью захода, но успешный залп разрушителен.",,,
,,,,,
,,,,,
,,,,,
# FRIGATES FRIGATES FRIGATES
,,,,,
,,,,,
,,,,,
ora_bliss,SHIP,"Bliss не имеет впечатляющего вооружения даже для фрегата, потому что построен прежде всего ради выживаемости. Он должен отвлекать и беспокоить крупные корабли, оставаясь трудной целью.",,,
,,,,,
,,,,,
,,,,,
ora_mirth,SHIP,Mirth - молот к наковальне Bliss. Его капитаны могут разгонять оружие для ближней антиматерийной расправы или держать врага на дистанции артиллерийским огнем.,,,
,,,,,
,,,,,
,,,,,
ora_ascension,SHIP,"Редкий high-end застрельщик, Ascension считается рискованным фрегатом. Высокая цена не дает выдающейся живучести, зато корабль повышает эффективность флота.",,,
,,,,,
,,,,,
,,,,,
# DESTROYERS DESTROYERS DESTROYERS
,,,,,
,,,,,
,,,,,
ora_communion,SHIP,"Крупный эсминец-авианосец, известный способностью обслуживать больше истребителей, чем большинство аналогов. В бою требует постоянного прикрытия.",,,
,,,,,
,,,,,
,,,,,
ora_harmony,SHIP,"Хорошо вооруженный эсминец, способный при умелом использовании Plasma Burn спорить даже с более крупными противниками. Простая конструкция облегчает массовое производство.",,,
,,,,,
,,,,,
,,,,,
ora_sanctuary,SHIP,Универсальный эсминец с множеством турелей. Недостаток тяжелого оружия компенсируется дополнительной броней и крылом истребителей.,,,
,,,,,
,,,,,
,,,,,
ora_grace,SHIP,Компактный эсминец без явных слабостей против любого типа врага. 360-градусное покрытие оружия делает его хорошим эскортом и отвлекающей целью.,,,
,,,,,
,,,,,
,,,,,

,,,,,
,,,,,
,,,,,
# CRUISERS CRUISERS CRUISERS
,,,,,
,,,,,
,,,,,
ora_felicity,SHIP,"Непропорционально крупный крейсер-авианосец, рассчитанный на максимум ударной силы при минимуме ресурсов. Хорошо защищен, но сам по себе не слишком разрушителен.",,,
,,,,,
,,,,,
,,,,,
ora_beatitude,SHIP,Маневренный крейсер с сильной батареей орудий и вторичными двигателями для быстрой смены целей. Строй Beatitude способен сдерживать более тяжелые силы.,,,
,,,,,
,,,,,
,,,,,
ora_revelation,SHIP,"Хорошо вооруженный и защищенный Revelation создан как тяжелая платформа быстрого реагирования. Обслуживание умеренное, но вне боя возможности ограничены.",,,
,,,,,
,,,,,
,,,,,
ora_elevation,SHIP,"Elevation с фронтальной компоновкой - странность среди кораблей ORA. Дальние разведчики, способные долго действовать впереди флота и фланкировать крупные цели.",,,
,,,,,
,,,,,
,,,,,

,,,,,
,,,,,
,,,,,
# CAPITAL-SHIPS CAPITAL-SHIPS CAPITAL-SHIPS
,,,,,
,,,,,
,,,,,
ora_enlightenment,SHIP,"Оригинальный Enlightenment был одновременно заявлением силы и оружием войны: впечатляющий арсенал, роскошная ливрея и счет, способный напугать любого губернатора.",,,
,,,,,
,,,,,
,,,,,
ora_discernment,SHIP,"Если Enlightenment был рыцарем Третьего Собрания, то Discernment - целый полк лучников. Огромное число ударных аппаратов может переломить крупное сражение.",,,
,,,,,
,,,,,
,,,,,

,,,,,
,,,,,
,,,,,
# PLANETS PLANETS PLANETS
,,,,,
,,,,,
,,,,,
ora_godunovStar,CUSTOM,"На первый взгляд обычная звезда G2, но первичный обзор пропустил 200 000-цикловый период активности с сильными корональными нестабильностями и вспышками.",,,
,,,,,
,,,,,
,,,,,
ora_homeworld,CUSTOM,"Родина Outer Rim Alliance и по сей день его столица. Poincare была в тяжелом положении, когда прибыл Haven Fleet, но новые владельцы флота помогли выжившим.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_marble,CUSTOM,"Один из основателей Outer Rim Alliance. Marble был не так плох, как Poincare, но боролся за экономику, торговлю и защиту от кислотных дождей.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_3bodies,CUSTOM,"Замерзшая, нестабильная и удаленная планета кажется малозначимой, но усеяна заброшенными исследовательскими станциями. Видимо, здесь все же есть что искать.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_amethyst,CUSTOM,"Побитая луна среднего размера. Когда-то была населена, но после создания Альянса жителей эвакуировали на Marble, а инфраструктуру разобрали.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_jade,CUSTOM,"При 9.7G это титан среди землеподобных планет. Атмосфера прижата к поверхности, мир непригоден для жизни, но постоянные падения астероидов приносят ресурсы.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_asteroid,CUSTOM,"Малый планетоид, возникший из столкновения астероидов. Когда-то использовался как импровизированная швартовочная точка.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_cache1,CUSTOM,"Крупный планетоид из столкнувшихся астероидов. Сканеры показывают обширную структуру, погребенную в одном из кратеров.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_cache2,CUSTOM,"Крупный планетоид со значительной структурой в кратере. Постройка выглядит целой, но не отвечает даже автоматически.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_cache3,CUSTOM,Крупный планетоид со скрытой структурой в кратере. У дока видны следы боя и расплавленные кратеры от мощного антиматерийного оружия.,,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_chindi,CUSTOM,"Один из основателей ORA. Попытки Chindi избавиться от зависимости от технологий Домина привели к непредвиденным последствиям, но Альянс постепенно исправляет ситуацию.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_spin,CUSTOM,"Spin был населен в ранние дни Сектора, но суровый климат и тонкая атмосфера вынудили людей уйти. Теперь это почти священное место для местных.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_omale,CUSTOM,"Суровый мир, крайне богатый ресурсами. Опасная добыча и трудная среда делают его худшим местом для жизни в Альянсе.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_janus,CUSTOM,"Бывший автоматизированный газодобывающий пост с легкой промышленностью. Население выросло после Коллапса, когда люди бежали с ухудшающегося Omale.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_tschai,CUSTOM,"Молодой пограничный мир луддитов с суровым климатом и ручным трудом, где даже простая технологическая помощь ценится очень высоко.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_cureus,CUSTOM,"Малый мир или объект, связанный с инфраструктурой Альянса и местной эксплуатацией ресурсов.",,,
,,,,,
,,,,,
,,,,,
ora_camillia,CUSTOM,"Колония в процессе эвакуации. Промышленность уже вывезена, а редкие шаттлы и пиратская активность затягивают спасение населения.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_satiate,CUSTOM,"Объект Альянса, связанный с добычей и снабжением, важный для региональной логистики.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_suffering,CUSTOM,"Мрачное место с тяжелыми условиями, напоминающее о цене выживания на окраинах Альянса.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_ailment,CUSTOM,"Заброшенный мир с подземным космопортом и следами неудачной эвакуации, где лед и аварии погребли остатки экипажа.",,,
,,,,,
,,,,,
,,,,,

,,,,,
,,,,,
,,,,,
# SHIP-SYSTEMS SHIP-SYSTEMS SHIP-SYSTEMS
,,,,,
,,,,,
,,,,,
ora_attitude,SHIP_SYSTEM,"Маневровая система, позволяющая кораблю быстро менять положение и удерживать выгодный угол атаки.",Движение,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_teleporter,SHIP_SYSTEM,Телепортационная система для мгновенного смещения корабля и обхода опасных зон.,Движение,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_solid,SHIP_SYSTEM,"Система твердотельных конденсаторов, резко меняющая потоковые характеристики корабля.",Защита,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_fortressshield,SHIP_SYSTEM,"Крепостной щит, значительно повышающий защиту ценой мобильности и нагрузки на системы.",Защитная,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_longRange,SHIP_SYSTEM,"Система дальней координации, улучшающая взаимодействие флота и боевые возможности на дистанции.",Поддержка,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_emp,SHIP_SYSTEM,ЭМИ-система для нарушения работы вражеских кораблей и их уязвимых компонентов.,Наступательная,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_newton,SHIP_SYSTEM,"Маневровая система, использующая мощный импульс для изменения скорости и направления.",Движение,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_drone_sensor,SHIP_SYSTEM,"Развертывает сенсорный дрон, повышающий осведомленность и боевые возможности корабля.",Дроны (high tech),"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_coordination,SHIP_SYSTEM,"Система координации, улучшающая работу союзных сил и распределение целей.",Поддержка,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
# COMMODITY COMMODITY COMMODITY
,,,,,
,,,,,
,,,,,

,,,,,
,,,,,
,,,,,
# MARKETS MARKETS MARKETS
,,,,,
,,,,,
,,,,,
ora_pendulum,CUSTOM,"Станция Pendulum обслуживает торговлю с группами, которые могли бы конфликтовать с главными партнерами Альянса, снижая трения в регионе.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_devaney,CUSTOM,Devaney - укрепленный и оживленный торговый узел Альянса с контрастом между яркими кораблями снаружи и корпоративной строгостью внутри.,,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_spore,CUSTOM,"Огромная станция Spore является логистическим сердцем местной экономики, обслуживая ненасытные нужды операции восстановления.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_refinery,CUSTOM,"Изолированная промышленная станция, где патрули Альянса периодически собирают найденных людей и отправляют их на работы восстановления.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_iceCollector,CUSTOM,"Станция сбора льда и летучих веществ, работающая на пределе ради нужд Альянса.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_relay,CUSTOM,"Почти разобранная станция без света и тепла, поздняя стадия переработки на сырье.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_lumen,CUSTOM,Закрытый объект Альянса с жесткими проверками и высоким уровнем паранойи.,,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_dock,CUSTOM,"Оставшиеся модули станции поддерживаются в рабочем состоянии, хотя персонал почти не имеет занятий, кроме редких шаттлов и новостей.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_haunted,CUSTOM,"Безликая станция с высокой текучкой персонала и дурной репутацией, оставляющая у людей черные круги под глазами.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_portia,CUSTOM,Станция Portia связана с местными военными событиями и контролем над системой Groom.,,,
,,,,,
,,,,,
,,,,,
ora_caretaker,CUSTOM,"Объект обслуживания и надзора, поддерживающий инфраструктуру Альянса.",,,
,,,,,
,,,,,
,,,,,
ora_fortress,CUSTOM,"Укрепленный объект Альянса, предназначенный для обороны и контроля важных маршрутов.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_listeningpost,CUSTOM,"Пост прослушивания, собирающий данные и поддерживающий осведомленность Альянса.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,
ora_famine,CUSTOM,"Место, связанное с нехваткой ресурсов и тяжелыми последствиями кризиса снабжения.",,"Дополнительное описание объекта переведено кратко: местные условия, инфраструктура и активность Альянса формируют текущую ситуацию в этой точке.",
,,,,,
,,,,,
,,,,,

,,,,,
,,,,,
,,,,,
# FACTION FACTION FACTION
,,,,,
,,,,,
,,,,,
ORA,FACTION,"Outer Rim Alliance - союз окраинных миров, сосредоточенный на восстановлении, эвакуации и защите выживших в суровых условиях Сектора.",,,
,,,,,
,,,,,
,,,,,
