name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Манипуляторы терьера,edshipyard_Terrier_Arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Маневровый двигатель,edshipyard_thruster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Сброс пара,edshipyard_steam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Барабан Каролины,edshipyard_Cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Зарядник Каролины,edshipyard_Loader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Жнец Каролины,edshipyard_CR,3,,25000,1000,,4000,,1000,0,0,6,,,HIGH_EXPLOSIVE,3200,,0.5,4.5,1,,,,,,,1500,,,1000,SYSTEM,,,,,Против брони,,,,,,,,,,8
Адорожденная пушка,edshipyard_BIGGUN,3,,9000,1600,,75,,50,0,0,,,,HIGH_EXPLOSIVE,750,,0,0,1,0,2,10,5,10,,500,,,400,SYSTEM,,,,,Против брони,,,,,,,,,,8
Мина близости,edshipyard_Fragbomb,0,,100,600,,400,,10,0,1,2,0.1,,FRAGMENTATION,0,,0,1,1,,0,0,0,0,,10,300,30,150,"DO_NOT_AIM, ANTI_FTR, PD_ONLY, SYSTEM",he0,,,,Против истребителей,,,,,,,,,TRUE,3.2
Минный метатель,edshipyard_Fragbombs,0,,100,450,,400,,10,0,0,15,0.2,3,FRAGMENTATION,0,,0,0.2,1,,0,0,0,0,,10,450,30,150,"DO_NOT_AIM, ANTI_FTR, PD_ALSO, SYSTEM",he0,,,,Против истребителей,,,,,,,,,TRUE,3.2
Тявкающая пушка,edshipyard_Yapper,0,,,450,,20,,1,30,0,10,2,1,ENERGY,2,,,0.1,1,0,5,20,2,4,,900,,,,SYSTEM,,,,,Ударное,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ракета Dust, одиночный залп",edshipyard_0_Dust,1,0.5,325,1500,,150,0,15,30,0,3,,,HIGH_EXPLOSIVE,0,0,0,0.7,3,0.1,0.2,0.4,0,,,260,140,16,30,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","utility1, missile0, strike, ed_uweapon_bp",,Верфи ED,,Фланговое,Быстрая,Отличное,,,,,,,TRUE,6102
Легкая ПУ ракет Dust,edshipyard_1_Dust,1,0.5,750,3000,,150,0,15,30,3,16,,,HIGH_EXPLOSIVE,0,0,0,14.6,4,0.1,0.2,0.4,0,,,260,140,16,30,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","utility1, missile1, strike, ed_cweapon_bp",,Верфи ED,,Фланговое,Быстрая,Отличное,,,,,,,TRUE,6102
Тяжелая ПУ ракет Dust,edshipyard_2_Dust,2,0.5,1500,3000,,150,0,15,30,7,40,,,HIGH_EXPLOSIVE,0,0,0,14.2,8,0.1,0.2,0.4,0,,,260,140,16,30,"CONSERVE_1, DO_NOT_AIM, HEATSEEKER, STRIKE, USE_VS_FRIGATES","utility3, missile3, strike, ed_cweapon_bp",,Верфи ED,,Фланговое,Быстрая,Отличное,,,,,,,TRUE,6102
Мега-ПУ ракет Dust,edshipyard_3_Dust,2,0.5,4500,3000,,150,0,15,30,15,96,,,HIGH_EXPLOSIVE,0,0,0,13.4,16,0.1,0.2,0.4,0,,,260,140,16,30,"CONSERVE_1, DO_NOT_AIM, HEATSEEKER, STRIKE","utility4, missile5, strike, ed_cweapon_bp",,Верфи ED,,Фланговое,Быстрая,Отличное,,,,,,,TRUE,6102
Большой залп ракет Dust,edshipyard_4_Dust,3,0.15,12000,3000,,150,0,15,30,31,320,,,HIGH_EXPLOSIVE,0,0,0,12.8,32,0.1,0.2,0.4,0,,,260,140,16,30,"CONSERVE_1, DO_NOT_AIM, HEATSEEKER, STRIKE","utility5, missile9, strike, ed_uweapon_bp",,Верфи ED,,Фланговое,Быстрая,Отличное,,,,,,,TRUE,6102
Плотный нейтринный луч,edshipyard_Rad_m,2,,2800,1000,200,,200,10,100,14,,,,FRAGMENTATION,,70,0.25,0.5,,,,,,,2400,,,,,PD,"pd14, beam6, ed_uweapon_bp",,Верфи ED,,Точечная оборона,,,,,,,,,,19.5
Пусковая Wisps,edshipyard_Wisp_Launcher,1,,250,600,,10,20,,90,1,2,0.10,1,ENERGY,,,,2,1,0,5,30,5,5,,375,75,2,1,"PD, DO_NOT_AIM","utility2, pd1, pd, ed_uweapon_bp",,Верфи ED,,Точечная оборона,Медленная,Плохое,,,,,,,TRUE,6102
Легкий щитолом,edshipyard_SB1,3,0.3,750,450,,16,,10,20,5,40,3,8,KINETIC,8,,,0.33,1,0,1,35,10,3,,2000,,,10,"STRIKE,USE_VS_FRIGATES","kinetic6, ed_cweapon_bp",,Верфи ED,,Против щитов,,,,,Каждая дробина может нанести до 20 дополнительного энергетического урона в зависимости от потока цели.,,,,,
Тяжелый щитолом,edshipyard_SB2,3,0.3,2250,450,,18,,10,20,10,70,6,14,KINETIC,9,,,0.33,1,0,1,40,10,3,,2000,,,10,"STRIKE,USE_VS_FRIGATES","kinetic10, ed_cweapon_bp",,Верфи ED,,Против щитов,,,,,Каждая дробина может нанести до 20 дополнительного энергетического урона в зависимости от потока цели.,,,,,
Мега-щитолом,edshipyard_SB3,3,0.3,6750,450,,22,,10,20,20,100,8,20,KINETIC,10,,,0.33,1,0,1,45,10,3,,2000,,,10,"STRIKE,USE_VS_FRIGATES","kinetic14, ed_cweapon_bp",,Верфи ED,,Против щитов,,,,,Каждая дробина может нанести до 20 дополнительного энергетического урона в зависимости от потока цели.,,,,,
Рикошетная картечница,edshipyard_SC0,1,0.25,125,750,,50,,1,30,1,,,,FRAGMENTATION,10,,,0.33,1,0,1,5,1,1,,1000,,,1,PD,"pd1, ed_uweapon_bp",,Верфи ED,,Точечная оборона,,,,,Каждая пуля имеет 75% шанс срикошетить при попадании в корпус или броню.,,,,,
Пушка Plink,edshipyard_Plink,1,0.25,60,900,5,10,10,1,30,0,,,,ENERGY,10,,,2,1,0,1,5,1,1,,300,,,1,,"energy0, ed_uweapon_bp",,Верфи ED,,Подавление,,,,,,,,,,
Легкая рассеивающая пушка,edshipyard_SC1,2,0.5,500,550,,50,,1,30,4,,,,FRAGMENTATION,10,,,1,1,0,5,15,5,5,,1000,,,1,PD,"pd6, ed_cweapon_bp",,Верфи ED,,Точечная оборона (область),,,,,Каждая пуля имеет 75% шанс срикошетить при попадании в корпус или броню.,,,,,
Тяжелая рассеивающая пушка,edshipyard_SC2,2,0.5,1500,650,,50,,1,30,8,,,,FRAGMENTATION,10,,,1,1,0,5,25,5,5,,1000,,,1,PD,"pd12, ed_cweapon_bp",,Верфи ED,,Точечная оборона (область),,,,,Каждая пуля имеет 75% шанс срикошетить при попадании в корпус или броню.,,,,,
Мега-рассеивающая пушка,edshipyard_SC3,2,0.5,4500,750,,50,,1,30,16,,,,FRAGMENTATION,10,,,1,1,0,5,35,5,5,,1000,,,1,PD,"pd18, ed_cweapon_bp",,Верфи ED,,Точечная оборона (область),,,,,Каждая пуля имеет 75% шанс срикошетить при попадании в корпус или броню.,,,,,
Магна-бластер,edshipyard_MG,3,0.2,10000,1000,,1000,1500,0,10,31,,,,ENERGY,1350,,1,4,1,,,,,,,1500,,,10000,"STRIKE,USE_VS_FRIGATES","energy17, ed_uweapon_bp",,Верфи ED,,Поддержка,,,,,"Снаряд взаимодействует со щитами, притягивая ближайшие ракеты, вражеские корабли и астероиды.",,,,,
Кластерная пушка,edshipyard_CC,3,0.2,10000,1200,,500,0,1000,10,26,80,,,KINETIC,500,,0,4.5,3,0.5,,,,,,1200,,,10000,"STRIKE,CONSERVE_3","he10, kinetic15, ed_uweapon_bp",,Верфи ED,,Подавление,,,,,"При попадании снаряд разделяется, выпуская 3 осколочные мины с уроном 400 каждая.",,,,,
Легкая картечная пушка,edshipyard_GS1,3,0.3,850,700,,225,0,50,20,7,,,,HIGH_EXPLOSIVE,300,,0,3,1,0,,,,,,1000,,,1000,"STRIKE,USE_VS_FRIGATES,CONSERVE_3","he5, ed_cweapon_bp",,Верфи ED,,Добивание,,,,,"Выпускает 6 рикошетных дробин, каждая наносит 50 осколочного урона при попадании.",,,,,
Тяжелая картечная пушка,edshipyard_GS2,3,0.3,2850,800,,450,0,100,18,13,,,,HIGH_EXPLOSIVE,600,,0,3,1,0,,,,,,1000,,,1000,"STRIKE,USE_VS_FRIGATES,CONSERVE_4","he10, ed_cweapon_bp",,Верфи ED,,Добивание,,,,,"Выпускает 12 рикошетных дробин, каждая наносит 50 осколочного урона при попадании.",,,,,
Мега-картечная пушка,edshipyard_GS3,3,0.3,7850,900,,900,0,200,15,25,,,,HIGH_EXPLOSIVE,1200,,0,3,1,0,,,,,,1000,,,1000,"STRIKE,USE_VS_FRIGATES,CONSERVE_5","he15, ed_cweapon_bp",,Верфи ED,,Добивание,,,,,"Выпускает 24 рикошетные дробины, каждая наносит 50 осколочного урона при попадании.",,,,,
Легкое огненное копье,edshipyard_FL1,3,0.5,500,1000,250,,,0,20,5,,,,HIGH_EXPLOSIVE,,300,0.5,1,1,4,,,,,10000,,,,,,"he6, beam5, ed_cweapon_bp",,Верфи ED,,Против брони,,,,,,,,,,18
Тяжелое огненное копье,edshipyard_FL2,3,0.25,2000,1000,500,,,0,20,11,,,,HIGH_EXPLOSIVE,,600,0.5,1,1,4,,,,,10000,,,,,,"he13, beam10, ed_cweapon_bp",,Верфи ED,,Против брони,,,,,,,,,,20
Мега-огненное копье,edshipyard_FL3,3,0.125,8000,1000,1000,,,0,20,22,,,,HIGH_EXPLOSIVE,,1200,0.5,1,1,4,,,,,10000,,,,,,"he19, beam15, ed_cweapon_bp",,Верфи ED,,Против брони,,,,,,,,,,27
Кораблеразделочный лазер,edshipyard_riptide_beam,0,,100,100,90,,,0,30,8,,,,HIGH_EXPLOSIVE,,50,3,3,,,,,,,2400,,,,,SYSTEM,,,,,Ударное,,,,,,,,,,16.6
