name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autoFireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noУВСInTooltip,number
Laaja рассеивающая пушка,A_S-F_laaja,0,,3000,800,,80,,5,12,20,,,,KINETIC,60,,0,3,1,,18,24,2,3,,800,,,30,,,,"kinetic18, rare_bp, merc, ind",,,,Против щитов,,,,Разброс,"Снаряды имеют разную скорость и дальность.
Все снаряды достигнут как минимум %s дальности, а %s достигнут максимальной дальности.",70% | 25%,,,,2227.25
Copperhead пушка-пусковая,A_S-F_copperhead,1,0.8,400,800,,80,,5,20,5,8,1,2,HIGH_EXPLOSIVE,72,,0,0.25,2,0.25,3,15,3,1,,400,500,2.2,40,,9,"GUIDED_POOR, DO_NOT_CONSERVE","he6, LR, rare_bp, merc, ind",,,,Против брони,Средняя,Слабое (коррекция курса),,,,,Наведение снаряда улучшается установкой %s или любым другим источником улучшенной маневренности %s.,ЭЦМ | ракета,,2223.1
Macron пушка,A_S-F_macron,2,,750,800,,20,5,2,30,7,,,,HIGH_EXPLOSIVE,15,,0.1,0.983333,6,0.05,0,0,0,0,,1200,,,10,,,,"he7, LR, remnant, no_dealer",,Остатки,,Против брони,,,,,,,,,,2223.2
Sakset корабельная винтовка,A_S-F_sakset,2,0.9,3500,1100,,500,,30,8,22,,,,KINETIC,900,,0,2,1,,0,8,4,8,,1000,,,250,,,,"kinetic19, LR, rare_bp, merc, ind",,,,Против щитов,,,,,"Снаряд разрывается при попадании, выпуская веер из %s осколков, каждый наносит %s урона.",25 | 30 осколочный,,,,2228.25
Crockett артиллерия,A_S-F_crockett,2,0.8,4000,1000,,450,,100,8,20,,,,HIGH_EXPLOSIVE,450,,0,1.5,1,,0,6,2,2,,650,,,250,,,,"he19, rare_bp, merc",,,,Против брони,,,,,,,,,,2228.3
Quicksand машинная пушка,A_S-F_quicksand,2,,1400,500,,30,,2,40,10,60,6.66666,10,HIGH_EXPLOSIVE,18,,0,0.05,,,1,8,0.5,6,,900,,,20,,,"PD,ANTI_FTR","he12, pd10, SR, rare_bp, merc, ind",,,,ПВО,,,,,,,,,,2223.85
Silaha Linear пушка,A_S-F_silaha,3,0.3,50000,1200,,900,400,400,4,30,,,,ENERGY,1500,,0.9,2.1,1,,0,0,0,0,,2000,,,500,,,,"energy18, he18, kinetic18, LR, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,Артиллерийское,,,,,"При попадании увеличивает мягкий поток цели на %s.
Цели также отбрасываются силой удара.",800,Выстрелы не попадают по союзным кораблям и могут проходить над ними.,,,222020
Stamp Tri-пушка,A_S-F_stamp,0,,70,600,,80,,2,18,3,,,,FRAGMENTATION,20,,0,1.2,1,,13,19,2,4,,700,,,30,,,,"kinetic5, he5, derelict, no_dealer, codex_unlockable",,Эксплорариум,,Универсальное,,,,Разброс,,,,,,2223.8
Heatstroke пушка сгорания,A_S-F_heatstroke,3,,999999,1000,,3000,,500,8,35,,,,FRAGMENTATION,2000,,0,5,1,,0,9,3,3,,450,,,500,,,"FIRE_WHEN_INEFFICIENT, DANGEROUS","no_sell, no_dealer, restricted, codex_unlockable",,[Аномальное],,Карательное,,,,,"В полете снаряд выпускает до %s субснарядов, каждый наносит %s урона.
При попадании по корпусу или броне основной снаряд/субснаряды застревают и наносят дополнительно %s/%s урона в течение %s секунд. 
Застрявшие снаряды наносят до %s дополнительного урона, зависящего от уровня потока цели; если цель %s, они %s, а оставшаяся длительность становится %s.",10 | 100 | 900 | 200 фугасный | 8 | 100% | перегружается | воспламеняются | удваивается,,,,22200.3
Nexter пушка-пусковая,A_S-F_nexter,1,0.8,1400,900,,140,,10,12,10,8,0.714285,2,HIGH_EXPLOSIVE,126,,0,0.35,2,0.35,2,12,2,1,,400,550,2.5,80,,9,"GUIDED_POOR, DO_NOT_CONSERVE","he12, rare_bp, merc, ind",,,,Против брони,Средняя,Слабое (коррекция курса),,,,,Наведение снаряда улучшается установкой %s или любым другим источником улучшенной маневренности %s.,ЭЦМ | ракета,,2224.1
Bludgeon гранатомет,A_S-F_bludgeon,0,,600,700,,360,,12,20,6,12,1,2,FRAGMENTATION,108,,0,0.3,1,,2,18,4,4,,500,,,30,,,DO_NOT_CONSERVE,"kinetic8, he10, derelict, no_dealer, codex_unlockable",,Эксплорариум,,Универсальное,,,,,"Выстрелы взрываются при попадании, нанося урон в средней области.",,,,,2223.9
Пусковая целеуказующих маяков,A_S-F_narc,2,0.9,2000,800,,400,100,,30,10,,,,FRAGMENTATION,200,,0,2.5,1,,2,8,2,2,,700,,,40,,,FIRE_WHEN_INEFFICIENT,"utility10, he12, kinetic12, rare_bp, merc",,,,Назначение,,,,,"%s
Каждый выстрел добавляет цели %s зарядов.
Каждый заряд длится %s.
Любые заряды сверх %s вместо этого разряжаются дугой в цель, нанося %s и %s урона.",антипротонный целеуказатель | Три | 10 секунд | 8 | 20 энергетический | 200 ЭМИ,Выстрелы не попадают по союзным кораблям и могут проходить над ними.,,,22227.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
плазменный разрыватель,A_S-F_plas_burster,2,0.8,2000,500,,60,,0,35,10,,,,ENERGY,45,,0.2,1.4,5,0.1,,,,,,750,,,100,,,"PD,ANTI_FTR","pd11, SR, hightech_bp, remnant, merc, ind",,,,ПВО (по площади),,,,Разброс,,,,,,22223
импульсный ионный луч,A_S-F_p_ion,2,,600,800,70,,600,1,15,6,,,,ENERGY,,90,0.2,0.1,0.9,1.5,,,,,3200,,,,,,,FIRE_WHEN_INEFFICIENT,"beam10, LR, remnant, no_dealer, codex_unlockable",,Остатки,,Подавление,,,,,"Попадания по корпусу или броне периодически перекидываются дугой на оружие и двигатели, нанося дополнительный ЭМИ- и энергетический урон. Попадания по щитам имеют шанс создать пробивающую щит дугу в зависимости от уровня жесткого потока цели.",,,,,22222.85
IR автопульсер,A_S-F_ir_autopulse,1,,1250,550,,60,,0,20,10,40,4,6,ENERGY,45,,0.06,0.00001,2,0.07333,,,,,,1000,,,,,,,"energy13, remnant, rare_bp, merc, ind",,,,Универсальное,,,,,,,,,,22291.25
X-Pulse лазер,A_S-F_x-pulse,1,,1800,600,,240,,0,15,11,,,,ENERGY,276,,0.4,0.2,,,0,5,1,8,,1000,,,,,,,"energy14, remnant, rare_bp, merc, ind",,,,Универсальное,,,,,,,,,,22291.5
Spellbind массив насыщения,A_S-F_spellbind,3,,999999,900,,2000,,100,10,35,,,,ENERGY,6000,,1,11,1,,,,,,,400,,,,,5,"FIRE_WHEN_INEFFICIENT, DANGEROUS","no_sell, no_dealer, restricted, codex_unlockable, damage_special",,[Аномальное],,Контроль зоны,,,,,Снаряд во время полета случайно выпускает нестабильные энергетические всплески. Каждый всплеск наносит %s урона; сам снаряд урона не наносит и проходит сквозь корабли.,400 энергетический,,,TRUE,22200.2
Formia праща,A_S-F_formia_sling,2,0.75,3000,1200,,80,300,0,15,12,,,,ENERGY,120,,0.4,2,3,0.3,0,4,1,2,,700,100,2.5,90,,,"DO_NOT_AIM, MISSILE_SPREAD","energy13, missile12, remnant, LR, no_dealer, codex_unlockable",,Остатки,,Подавление,Очень быстрая,Хорошее,,,"Попадания по корпусу или броне перекидываются дугой на оружие и двигатели, нанося дополнительный урон, равный %s исходного попадания.

Если установлено в слот типа %s: урон за выстрел увеличивается до %s, а базовая дальность снижается до %s.",25% | энергетический | 100 | 800su,Наведение снаряда улучшается установкой %s или любым другим источником улучшенной маневренности %s.,ЭЦМ | ракета,,22216.3
Formia шторм,A_S-F_formia_storm,2,0.8,9000,1500,,120,250,0,10,26,12,1.5,6,ENERGY,180,,0.2,0.25,6,0.15,0,8,1,2,,700,100,3.15,100,,,"DO_NOT_AIM, DO_NOT_CONSERVE, MISSILE_SPREAD","energy19, missile18, remnant, LR, no_dealer, codex_unlockable",,Остатки,,Подавление,Очень быстрая,Хорошее,,,"Попадания по корпусу или броне перекидываются дугой на оружие и двигатели, нанося дополнительный урон, равный %s исходного попадания.

Если установлено в слот типа %s: урон за выстрел увеличивается до %s, а базовая дальность снижается до %s.",25% | энергетический | 150 | 900su,Наведение снаряда улучшается установкой %s или любым другим источником улучшенной маневренности %s.,ЭЦМ | ракета,,22216.4
электротермальный бластер,A_S-F_electroThermal_blaster,2,,600,500,,150,50,0,35,6,,,,ENERGY,165,,0.5,0.75,1,,0,10,2,4,,1000,,,,,,,"energy9, remnant, rare_bp, merc, ind",,,,Универсальное,,,,,,,,,,22222.25
стробирующий луч,A_S-F_strobe,2,,2000,700,738.46154,,,1,20,11,,,,ENERGY,,560,0,0.05,0.2,0.15,,,,,1000000,,,,,,,,"energy14, beam10, rare_bp, remnant, merc, ind",,,,Универсальное,,,,,,,,,,22220.2
микроимпульсный повторитель,A_S-F_micropulser,1,,300,400,,20,,1,100,4,12,3.75,3,ENERGY,12,,0.06666,0,1,,2,6,0.5,2.5,,1000,,,,,,PD,"pd7, energy7, hightech_bp, remnant, merc, ind",,,,ПВО,,,,,,,,,,22217
ионный ускоритель,A_S-F_ionDriver,3,0.6,6500,700,,400,1500,0,18,20,8,0.5,2,ENERGY,440,,0.5,0.3,1,,0,0,0,0,,1000,,,400,,,"STRIKE, USE_VS_FRIGATES","energy18, rare_bp, merc",,,,Ударное,,,,,,,,,,22224
счетверенное мультикопье,A_S-F_quad_multi-lance,3,,5000,1000,1800,,,1,10,20,4,0.111111,1,ENERGY,,1636.363636,0.3,0.3,0.8,0.6,,,,,4000,,,,,,,,"beam20, LR, rare_bp, merc",,,,Универсальное,,,,,,,,,,22225
тяжелоимпульсный повторитель,A_S-F_heavypulser,2,0.6,5000,600,,50,,0,70,18,60,6,6,ENERGY,20,,0.0625,0,1,,2,8,0.5,3.5,,1000,,,,,,"PD, ANTI_FTR","pd19, energy15, rare_bp, remnant, merc, ind",,,,ПВО,,,,,,,,,,22226
маркер цели,A_S-F_painter,2,,2500,1000,50,,,0,20,10,,,,HIGH_EXPLOSIVE,,100,0.15,0.15,,,,,,,1000000,,,,,,,FIRE_WHEN_INEFFICIENT,"beam12, LR, rare_bp, remnant, merc",,,,Назначение,,,,,"%s
Добавляет цели луча %s заряд в секунду.
Каждый заряд длится %s.
Любые заряды сверх %s вместо этого разряжаются дугой в цель, нанося %s и %s урона.",антипротонный целеуказатель | Один | 10 секунд | 8 | 20 энергетический | 200 ЭМИ,Луч не попадает по союзным кораблям и может проходить над ними.,,,22227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bramble стойка умных бомб,A_S-F_bramble,1,,250,600,,250,,10,45,4,12,0.4,4,FRAGMENTATION,75,,0,3.25,4,0.25,20,30,5,2,,200,600,2.5,150,,50,"GUIDED_POOR, DO_NOT_CONSERVE, PD, ANTI_FTR","utility8, pd6, missile_bp, ind",,,,ПВО (по площади),Медленная,Нет,,,,,,,TRUE,2223.6
Thicket пусковая умных бомб,A_S-F_thicket,1,,1500,1500,,2400,,10,20,10,,,,FRAGMENTATION,0,,0,12,1,,0,0,0,0,,215,80,10,250,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility11, missile7, missile_bp, ind",,,,Против истребителей,Средняя,Средняя,,,"Ракета разделяется на три умные бомбы, которые затем размещают мины ближнего действия.",,,,TRUE,2223.5
Wasteland комплекс умных бомб,A_S-F_wasteland,2,0.8,4000,1600,,1500,,10,20,18,4,0.0625,,FRAGMENTATION,0,,0,4,1,,0,0,0,0,,350,50,10,350,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, rare_bp, hist1t, ind",,,,Против истребителей,Средняя,Средняя,,,"Ракеты разворачивают поле боеприпасов, каждый из которых запускает очереди противоистребительных ПРМ.",,,,TRUE,2223.55
Lamia DEM,A_S-F_lamia,2,0.8,250,2000,,300,900,10,20,4,3,0.025,1,ENERGY,0,,0,3,1,,0,0,0,0,,250,85,8,200,,,"DO_NOT_AIM, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES","utility10, missile6, strike1, rare_bp, merc",,,,Подавление,Средняя,Средняя,,,"Попадания суббоеприпасов по корпусу или броне перекидываются дугой на оружие и двигатели, нанося дополнительный урон, равный исходному попаданию.",,,,TRUE,2223.3
Lerna MDEM,A_S-F_lerna,2,0.8,1500,2000,,900,2700,30,10,10,4,0.02,1,ENERGY,0,,0,9,1,,0,0,0,0,,215,80,9,400,,,"DO_NOT_AIM, CONSERVE_1, STRIKE, USE_VS_FRIGATES","utility13, missile7, strike3, rare_bp, merc",,,,Подавление,Средняя,Средняя,,,"Попадания суббоеприпасов по корпусу или броне перекидываются дугой на оружие и двигатели, нанося дополнительный урон, равный исходному попаданию.",,,,TRUE,2223.4
Пусковая LRM Bipartisan,A_S-F_bipartisan,1,,1200,4000,,400,,25,10,9,20,0.1,,HIGH_EXPLOSIVE,0,,0,10,2,0.8,0,0,0,0,,150,100,26,160,,,"DO_NOT_AIM, CONSERVE_1","utility13, missile7, missile_bp, remnant, merc, ind",,,,Дальняя поддержка,Медленная,Плохое,,,,,,,,22212.5
Bipartisan суббоеприпас,A_S-F_bipartisan_sub,0,,6969,8000,,200,,15,10,69,20,0.1,,HIGH_EXPLOSIVE,0,,0,15,2,0.8,0,0,0,0,,250,100,9,80,,,"DO_NOT_AIM, CONSERVE_1, HEATSEEKER, SYSTEM",,,,,Оружие?,Что,Как,,,,,,,,22212.69
Lilin ракетная катушка,A_S-F_lilin,3,0.3,5000,1600,,250,,20,10,5,5,0.16,1,ENERGY,75,,0,1.25,1,,0,0,0,0,,300,800,8,150,,,"DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT","missile9, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,Универсальное,Средняя,Хорошее,,,"Вызывает взрыв при попадании, нанося цели дополнительно %s урона.",250 осколочный,,,,222012
Naxdin аномальная торпеда,A_S-F_naxdin,3,0.3,8000,1200,,400,600,40,10,6,2,0.01666,1,ENERGY,0,,0,8,1,,0,0,0,0,,300,100,8,350,,,"GUIDED_POOR, DO_NOT_CONSERVE, STRIKE, USE_VS_FRIGATES, FIRE_WHEN_INEFFICIENT","utility14, missile9, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,Подавление,Средняя,Средняя,,,"При попадании превращается в электромагнитную аномалию, наносящую значительный дополнительный энергетический и ЭМИ-урон всему поблизости.",,,,TRUE,222016
Gimbal блок микроракет,A_S-F_gimbal,1,,1000,1600,,90,,10,10,11,24,0.66666,4,KINETIC,27,,0,2.6,8,0.2,6,20,2,2,,500,150,4.5,50,,,"DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD, DIRECT_AIM","kinetic12, missile11, remnant, rare_bp, merc, ind",,,,Ближняя поддержка,Быстрая,Хорошее,,,,,,,,22211.1
Sprocket HПРМ,A_S-F_sprocket,1,,300,1200,,300,100,15,10,5,12,,,ENERGY,0,,0,7.5,2,0.5,0,0,0,0,,360,50,4.75,150,,,"DO_NOT_AIM, CONSERVE_1","missile7, rare_bp, merc, remnant, ind, reload_6pt",,,,Против малых целей,Средняя,Хорошее,,,,,,,TRUE,22211.7
Chillblain катализаторная ракета,A_S-F_chillblain,3,,999999,2000,,1000,500,0,10,35,8,,,ENERGY,2000,,0,15,1,,0,0,0,0,,360,100,7,750,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES, CONSERVE_1","no_sell, no_dealer, restricted, codex_unlockable",,[Аномальное],,Против крупных целей,Средняя,Средняя,,,"При попадании или через %s секунд боеголовка ракеты срабатывает, выпуская энергетическое поле.

Энергетическое поле случайно перекидывается дугами на ближайшие корабли, а через %s секунд схлопывается; любой корабль внутри поля получает %s урона, зависящего от его %s и %s.",6 | 5 | энергетический | размера | массы,,,TRUE,22200.1
Nasibu ракетный проектор,A_S-F_nasibu,3,0.3,15000,1500,,200,,10,15,14,50,0.25,10,ENERGY,50,,0.4,9.6,1,,10,10,0,0,,500,100,9,80,,,"DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD","missile14, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,Универсальное,Быстрая,Средняя,,,"Ракеты запускаются веером со случайной ориентацией запуска.

Нестабильные боеголовки детонируют при попадании, нанося цели дополнительно %s урона.",100 фугасный,,,,222019
Destructor ракета артиллерия,A_S-F_destructor,2,,4000,2500,,500,,15,10,20,120,,,HIGH_EXPLOSIVE,0,,0,7,6,1,8,8,0,0,,400,50,6.75,150,,6,"CONSERVE_3, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD","rocket18, strike15, rare_bp, merc, ind",,,,Против брони,Быстрая,Слабое (коррекция курса),,,"Вызывает взрыв при попадании, нанося %s урона ближайшим целям.",100 осколочный,,,,222101
Contradict ракета артиллерия,A_S-F_contradict,2,,1500,2500,,500,1000,15,10,8,,,,FRAGMENTATION,0,,0,12,1,,8,8,0,0,,400,50,6.75,200,,6,"FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD","rocket6, utility13, rare_bp, merc, ind",,,,Подавление,Быстрая,Слабое (коррекция курса),,,"При попадании увеличивает мягкий поток цели на %s.
Попадания по корпусу или броне создают до %s дуг, каждая наносит %s и %s урона.",750 | 3 | 50 энергетический | 250 ЭМИ,,,TRUE,222102
Omer рассеивающие ракеты,A_S-F_omer,1,,350,1200,,60,,15,40,5,45,0.5,3,HIGH_EXPLOSIVE,15,,0,4.3,3,0.1,16,16,0,0,,450,90,3.75,35,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility10, missile3, rare_bp, remnant, merc, ind",,,,Против малых целей,Быстрая,Отличное,,,,,,,,22212.1
Albatreos крылатая ракета,A_S-F_albatreos,2,,1800,3000,,1500,,35,12,12,10,,,HIGH_EXPLOSIVE,0,,0,12,1,,8,0,0,0,,500,120,12,250,,,"DO_NOT_AIM, STRIKE, USE_VS_FRIGATES","missile14, strike11, rare_bp, remnant, merc, ind",,,,Добивание,Быстрая,Особая,,,После начальной стадии наведения резко ускоряется и продолжает полет с ограниченным наведением.,,,,TRUE,222103
Twister стойка MIRV,A_S-F_twister,1,0.7,250,2500,,750,,15,25,4,5,,,HIGH_EXPLOSIVE,0,,0,6,1,,0,0,0,0,,250,50,12,150,,,DO_NOT_AIM,"missile8, strike3, missile_bp, merc, ind",,,,Добивание,Средняя,Хорошее,,,,,,,TRUE,22216
Cockatrice DEM-торпеда,A_S-F_cockatrice,2,,2000,2000,,1500,3000,15,15,12,6,,,ENERGY,0,,0,12,1,,0,0,0,0,,160,0,11.5,600,,,"GUIDED_POOR, STRIKE","strike8, missile3, merc, rare_bp, damage_special, damage_soft_flux",,,,Подавление (ударное),Медленная,Хорошее,,,"Ракета выпускает мощный ионный луч при приближении к цели, нанося примерно %s энергетического урона за %s секунд. На этот урон влияют модификаторы ракетного урона, а не энергетического оружия.

Попадания луча по корпусу или броне периодически перекидываются дугой на оружие и двигатели, нанося дополнительный ЭМИ- и энергетический урон. Попадания по щитам имеют шанс создать пробивающую щит дугу в зависимости от уровня жесткого потока цели.",1500 | 4,Гравитационные эффекты замедляют цель и сбивают ее с курса. Эффект силен и особенно заметен против легких кораблей.,,TRUE,22212.11
    Кокатрис - полезная нагрузка,A_S-F_cockatrice_payload,2,,0,1000,400,,1000,100,20,0,,,,ENERGY,0,,0.25,0.65,3.5,0.5,,,,,1000000,,,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,,,,,,,,,,,,,22212.12
Целеуказующий лазер - Кокатрис,A_S-F_targetinglaser_cockatrice,0,,1,0,120,,120,10,200,0,,,,KINETIC,,0,0.05,0.05,,,,,,,1000000,,,,,,,SYSTEM,,,,,Особое,,,,,,,,,,22212.13
Termite пусковая ПРМ,A_S-F_termite,2,,5000,1500,,400,300,10,20,20,240,,,FRAGMENTATION,0,,0,6.75,4,0.15,18,18,0,0,,350,100,9.5,90,,,"ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE","utility18, missile15, rare_bp, remnant, merc",,,,Подавление,Быстрая,Отличное,,,"При попадании ракета создает до %s дуг, каждая наносит %s и %s урона.",2 | 40 энергетический | 150 ЭМИ,,,,22218
Торпеда класса Moros,A_S-F_moros,2,0.5,600,1200,,600,,20,10,3,4,,,HIGH_EXPLOSIVE,0,,0,5,1,,0,0,0,,,700,400,2.4,180,,,STRIKE,"strike8, rocket3, remnant, reload_3pt, codex_unlockable",,Остатки,,Торпедное,Очень быстрая,Нет,,,,,,,TRUE,2229.2
Cauldron торпеда сдвига потока,A_S-F_cauldron_pod,1,,1200,1200,,800,1600,40,10,10,10,,,ENERGY,0,,0,12,1,,0,0,0,0,,440,100,3.5,480,,,STRIKE,"strike13, rocket8, rare_bp, merc, remnant",,,,Торпедное,Быстрая,Нет,,,"Попадания по щитам превращают до %s мягкого потока цели в жесткий поток.

Попадания по корпусу или броне %s раз перекидываются дугой на оружие и двигатели; каждая дуга наносит %s энергетического и %s ЭМИ-урона.",1000 | 4 | 100 | 400,,,TRUE,2229.11
Persis мульти-искатель,A_S-F_persis,3,0.3,5000,2000,,600,,30,10,5,4,0.083333,1,ENERGY,240,,0,2.5,1,,0,0,0,0,,400,100,5,150,,,"DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT","missile9, A_S-F_arktech_wep, no_sell, no_dealer, codex_unlockable",,[АркТех],,Огневая поддержка,Быстрая,Отличное,,,,,,,,222021
Weaver ракетный блок,A_S-F_weaver,0,,900,1200,,80,,5,28,7,100,1,10,HIGH_EXPLOSIVE,0,,0,7.05,20,0.05,11,23,0.5,0.5,,360,90,4.5,45,,,,"rocket12, strike7, derelict, no_dealer, codex_unlockable",,Эксплорариум,,Давление,Средняя,Пьяное,,,"Нестабильное топливо может перегреться в полете, вызывая преждевременную детонацию ракеты.",,,,,22212.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
