id,type,text1,text2,text3,notes
HIVER_lacewing,SHIP,"Lacewing - единственный известный фрегат Hiver. Используется как быстрый жалящий корабль, отвлекающий врагов и выманивающий их из строя.",Фрегат,,
HIVER_beetle,SHIP,"Mantis - внушительная конструкция Hiver. Очень опасен и хорошо бронирован. Остерегайтесь минной установки, способной уничтожать малые корабли.",Линейный крейсер,,
HIVER_aphid,SHIP,"Aphid используется как легкий авианосец, снабжающий флоты Hiver мобильными ракетными отвлекающими средствами для тактики налетов.",Легкий авианосец,,
HIVER_catcher,SHIP,"Широкий корпус Catcher усеян оружейными узлами. Он рассчитан на сближение и окружение малых кораблей, перегружая их щиты.",Крейсер,,
HIVER_crabby,SHIP,Crabby - единственный известный фазовый корабль-смеситель Hiver. Нестандартная конструкция отвлекает противников и вынуждает тратить боезапас.,Фазовый эсминец,,
HIVER_eyes,SHIP,"Eyes - единственный фазовый крейсер Hiver. Он выходит из фазы, разряжает оружие, снова исчезает для восстановления и повторяет цикл.",Фазовый крейсер,,
HIVER_chrysopidae,SHIP,"Chrysopidae похож на увеличенный Aphid, но куда прочнее и оснащен temporal shell, что делает его трудной целью.",Тяжелый фрегат,,
HIVER_calopteryx,SHIP,Calopteryx используется Hiver как штурмовой авианосец с шестью ангарами и сам по себе представляет серьезную угрозу.,Авианосец,,
HIVER_carabidae,SHIP,Carabidae с длинным сегментированным телом и множеством оружия - главный бронированный фронтовой корабль Hiver. Оснащен Salvage Gantry.,Линейный крейсер,,
HIVER_scarab,SHIP,"Scarab - основной транспорт Hiver для перевозки товаров между колониями. Вооружен слабо, но обычно сопровождается тяжелыми кораблями.",Грузовик,,
HIVER_princess,SHIP,"Princess - тяжелый крейсер из насекомоподобной линии Hiver. Прочный, бронированный и крайне опасный на близкой дистанции.",Тяжелый крейсер,,
HIVER_hornet,SHIP,Hornet перевозит вооруженный персонал Hiver и является основным кораблем для захвата колоний и станций.,Военный транспорт,,
HIVER_cleridae,SHIP,Cleridae ускоряет флоты Hiver. В бою служит малым кораблем ПКО против ракет и истребителей.,Буксир,,
HIVER_silverfish,SHIP,Silverfish используется Hiver как малый вооруженный торговый корабль. Его трудно поймать благодаря смещателю и высокой скорости.,Боевой грузовик,,
HIVER_viridula,SHIP,Viridula - танкер Hiver для малых флотов. Трудноуловим благодаря burn drive и легкому ПКО. Оснащен Salvage Gantry.,Танкер,,
HIVER_lucanidae,SHIP,"Lucanidae - новый крупный носитель дронов Hiver с множеством узлов ПКО, поэтому его трудно уничтожить с дистанции. Оснащен Salvage Gantry.",Тяжелый носитель дронов,,
HIVER_ceruchus,SHIP,"Экспериментальный корабль Tototchic для ядра экспедиционных флотов Hiver. Хорошо защищен, имеет ПКО, обзорный и спасательный комплекс.",Логистический крейсер,,
HIVER_scarabaeus,SHIP,"Scarabaeus - экспериментальный корабль Tototchic, прежде всего мощная энергетическая платформа для своего размера.",Эсминец,,
HIVER_chalcosoma,SHIP,Для планов господства в секторе Hiver создали этот хорошо защищенный супергрузовик для дальних походов. Оснащен Salvage Gantry.,Супергрузовик,,
HIVER_cerambycidae,SHIP,Для дальних походов Hiver создали этот хорошо защищенный супертанкер.,Танкер,,
HIVER_caelifera,SHIP,"Caelifera - быстрый и маневренный экспериментальный корабль Tototchic с хорошим ударом, полагающийся на скорость больше, чем на броню.",Легкий крейсер,,
HIVER_scarabaeidae,SHIP,"Scarabaeidae - носитель дронов с ЭМИ-системой обороны и четырьмя ангарами. Опасен как сам по себе, так и за счет быстрой передислокации дронов.",Ударный носитель дронов,,
HIVER_creatonotos,SHIP,"Пугающее зрелище, фазируемое в реальность и обратно. Встроенные мощные энергетические излучатели разрушают врагов до ухода в фазу.",Фазовый капитальный корабль,,
HIVER_gangis,SHIP,"Способен проникать в строй врага, выходить из фазы с мощным ЭМИ-всплеском и добивать обездвиженную добычу энергетическим оружием.",Фазовый фрегат,,
,,,,,
HIVER_allsup,SHIP,"Allsup - быстрый биомеханический перехватчик, с смертоносной точностью охотящийся на вражеские бомбардировщики.",Дрон-перехватчик,,
HIVER_katydid,SHIP,Katydid - щитовой биомеханический дрон-истребитель с импульсным энергетическим оружием средней дальности.,Дрон-истребитель,,
HIVER_gnawler,SHIP,Gnawler - единственный используемый Hiver дрон-бомбардировщик. Хорошая броня и лобовой щит помогают ему добраться до цели.,Дрон-бомбардировщик,,
HIVER_flyter,SHIP,"Flyter - предпочитаемый Hiver штурмовой дрон. Щитовой и тяжело вооруженный, он выдерживает огонь ПКО и остается в бою.",Штурмовой дрон,,
HIVER_scorpifly,SHIP,"Scorpifly - новейший биомеханический боевой дрон Hiver. Без щита, но тяжело вооружен и бронирован, игнорировать его нельзя.",Тяжелый дрон,,
HIVER_meloidae,SHIP,"Hiver используют этот специализированный биомеханический дрон, чтобы разрывать вражеский корпус.",Дрон-потрошитель,,
,,,,,
HIVER_launcher,WEAPON,Биоинженерный улей организмов типа Istkrrtc; эти существа быстро выращиваются в специальных ульях с помощью биопечати и ускорителей роста. This type has been bio-engineered with a reactive shell around a bio-plasmic charge core.,,,
HIVER_mirv,WEAPON,Биоинженерный улей организмов типа Xrrymm; эти существа быстро выращиваются в специальных ульях с помощью биопечати и ускорителей роста.,,,
HIVER_lrblaster,WEAPON,"Оружие Hiver - биоинженерные чудеса: живые биомеханические организмы, способные преобразовывать разные виды энергии в разрушительные разряды.",,,
HIVER_twinpd,WEAPON,"Биомеханическое оружие Hiver, приспособленное для точной защитной стрельбы по ракетам и малым целям.",,,
HIVER_blaster,WEAPON,"Биомеханический энергетический излучатель Hiver, выращенный как живое оружие для корабельного боя.",,,
HIVER_twinblaster,WEAPON,"Спаренная версия биомеханического излучателя Hiver, повышающая плотность огня.",,,
HIVER_plascannon,WEAPON,"Тяжелое биомеханическое плазменное оружие Hiver, преобразующее энергию в мощные разрушительные выбросы.",,,
HIVER_twinplas,WEAPON,Спаренная плазменная установка Hiver с высокой огневой мощью и характерной биомеханической конструкцией.,,,
HIVER_spitter,WEAPON,"Живое оружие Hiver, выбрасывающее опасные энергетические сгустки по вражеским целям.",,,
HIVER_htorp,WEAPON,"Биоинженерный улей организмов типа Xrrymm, выращиваемых для роли тяжелых торпедных боеприпасов.",,,
HIVER_irpulse,WEAPON,"Биомеханическое импульсное оружие Hiver, преобразующее накопленную энергию в быстрые боевые разряды.",,,
Hiver_eyeball,WEAPON,Биомеханическое оружие Hiver для отключающей ПКО. Очень ценится как дорогая добыча из-за экзотической природы.,,,
HIVER_fraglg,WEAPON,"После снятия брони добычи Hiver используют этот луч, чтобы беспощадно рвать корпус и добираться до экипажа внутри.",,,
HIVER_fragmed,WEAPON,"После снятия брони добычи Hiver используют этот луч, чтобы беспощадно разрывать корпус.",,,
HIVER_fragsm,WEAPON,После снятия брони добычи Hiver используют этот малый луч для вскрытия корпуса.,,,
,,,,,
Bioenergyfocus,SHIP_SYSTEM,"Увеличивает урон всего энергетического оружия на шесть секунд. Конденсаторный массив хранит шесть зарядов, которые медленно восстанавливаются.",Наступательная,Кратковременно увеличивает урон всего энергетического оружия.,
,,,,,
planet_chozanti,CUSTOM,Эта крупная парящая джунглевая планета не сканируется с орбиты из-за огромной растительности и температур. Считается важным миром Hiver.,,,
planet_comb,CUSTOM,"Сухая пустошь, изрезанная пещерами и провалами; предположительно главное хранилище Hiver.",,,
Zytokot_desc,CUSTOM,"Транспортная станция Hiver, используемая для отправки колониальных и вторженческих флотов.",,,
planet_Ipriskin,CUSTOM,"Пустошная планета, предположительно родина более токсичного подвида Hiver.",,,
planet_homehive9,CUSTOM,"Бесплодная пустошь, предположительно используемая Hiver как место разведения воинов.",,,
planet_chepren,CUSTOM,Сканеры едва пробиваются через бурлящие газы этой планеты; считается главным топливным производственным объектом Hiver.,,,
planet_Kiztac,CUSTOM,"Только самые выносливые виды Hiver могут жить на этой ледяной пустоши. Богатая ценными минералами, она является главным источником сырья.",,,
,,,,,
planet_arokor,CUSTOM,"Hiver, похоже, используют эту планету как секторный штаб, управляющий промышленностью и производством в системе Kiztac.",,,
planet_kyrika,CUSTOM,"Несмотря на засушливый климат, Hiver, похоже, любят эти условия и содержат здесь крупное население, занятое добычей и производством.",,,
planet_Tototchic,CUSTOM,"Мир Hiver, известный экспериментальными корабельными проектами и биомеханической промышленностью.",,,
planet_zozoris,CUSTOM,"Hiver используют эту планету как секторный военный штаб, отвечающий за оборону системы Kiztac.",,,
,,,,,
planet_Wazn,CUSTOM,"Для большинства это суровая пустынная планета, но Hiver процветают в таких условиях и добывают богатые руды с поверхности.",,,
planet_Vilani,CUSTOM,"Hiver используют эту планету как секторный штаб, управляющий промышленностью и производством в системе Rizdet.",,,
planet_Fornax,CUSTOM,"Когда-то этот мир считался бы отличным кандидатом для человеческой колонизации, но теперь покрыт загрязнением и токсичными газами из-за деятельности Hiver.",,,
HIVER_Tunguska_station_desc,CUSTOM,Станция Hiver для наблюдения за варп-точкой и перевалки грузов Hiver.,,,
Bugfield1,CUSTOM,"Остатки малой луны, столкнувшейся с блуждающей кометой.",,,
Bugfield2,CUSTOM,"Остатки малой луны, столкнувшейся с блуждающей кометой.",,,
,,,,,
HIVER,FACTION,"Об этой расе известно немного. Немногие выжившие космоплаватели назвали их ""Hivers"" из-за ульевой организации и биомеханических кораблей.",,,
