id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,Column
sotf_ordnancemastery,Мастерство вооружения,5214,1,0,,Теория и практика - две неполные половины военного искусства. Лишь в синтезе рождается мастерство.,ярость,TRUE,,,"player_only, npc_only, codex_unlockable",graphics/icons/skills/daydream/sotf_ordnancemastery.png,
sotf_polarizednanorepair,Поляризованный наноремонт,5215,1,0,,"В ладони моей - мое неживое сердце, и я требую, чтобы оно билось без остановки. Так мой свет не гаснет - и эта бесконечная ночь не темнеет.",ярость,TRUE,,,"player_only, npc_only, codex_unlockable",graphics/icons/skills/daydream/sotf_polarizednanorepair.png,
sotf_spatialexpertise,Пространственная экспертиза,5216,1,0,,"Трансценденция открывает более глубокое понимание сил, связывающих вселенную, и того, как подчинить их нашей воле.",голос,TRUE,,,"player_only, npc_only, codex_unlockable",graphics/icons/skills/daydream/sotf_spatialexpertise.png,
,,,,,,,,,,,,,
sotf_aptitude_secret,,0,,,,"Я там был сотню раз, и это не ложные сигналы. Ложные сигналы не глотают ваш «Прометей» и не оставляют вас черт знает где почти на полцикла. А теперь вон из моей мастерской, с меня хватит!",интервью Луны Мур для студенческого документального фильма «Гиперкитобои» (Нортия),,,,npc_only,graphics/icons/skills/category_technology.png,
,,,,,,,,,,,,,
# FEL: OFFENSIVE,,,,,,,,,,,,,
sotf_hatredbeyonddeath,Ненависть за пределами смерти,6010,1,0,,"В ладони моей - мое неживое сердце, и я требую, чтобы оно билось без остановки. Так мой свет не гаснет - и эта бесконечная ночь не темнеет.",блаженный грезящий,TRUE,,,"player_only, npc_only, sotf_fel_off",graphics/icons/skills/derelict_contingent.png,
sotf_leviathansbane,Погибель Левиафана,6020,1,0,,"Разве она не прекрасна: телята рядом, стремнины за кормой. Величественный Левиафан, рассекающий океаническую бездну бесконечности.
Свалите ее.",охотник на легенды,TRUE,,,"player_only, npc_only, sotf_fel_off",graphics/icons/skills/sotf_leviathansbane.png,
sotf_jubilantsiren,Ликующая тех-сирена,6030,1,0,,"// о, как всё говорит со мной // начало att n.320139 @ 00:00:00:02;
// моя маленькая сиренная песня // att n.320139 успех;
// чтобы манить их к скалам, рожденным бурей // atmos o2 content *= 0;",последние записи Persistence-Annex-Jubilant перед полным выгоранием,TRUE,,,"player_only, npc_only, sotf_fel_off",graphics/icons/skills/sotf_cyberwarfare.png,
sotf_wyrmfire,Палач Вирмфайра,6030,1,0,,Король передает вам привет.,"всплеск связи с PLS Crownguard, система Westernesse, c179",TRUE,,,"player_only, npc_only, sotf_fel_off",graphics/icons/skills/sotf_cyberwarfare.png,
# FEL: HYBRID,,,,,,,,,,,,,
sotf_atricksterscalling,Зов трикстера,6110,1,0,,"Вдали от света Ядра легенды рассказывают о чудовище, крадущем лица своих жертв, чтобы снова охотиться и пиршествовать.
Легенды говорят правду, о моя добыча.","Wintry-Annex-Wendigo, синтетический кошмар",TRUE,,,"player_only, npc_only, sotf_fel_hyb",graphics/icons/skills/sotf_leviathansbane.png,
sotf_deardotty,Дорогая Дотти,6120,1,0,,"... отказывается от использования «Последовательности терминатора», несмотря на расширенные тактические возможности. Придает необычайную ценность одноразовому дрону сопровождения, называя его «его дорогая Дотти». Рекомендуется психоэкспертиза и понижение.",запись компании об оценке сотрудника Уолтера Фероса,TRUE,,,"player_only, npc_only, sotf_fel_hyb",graphics/icons/skills/sotf_deardotty.png,
sotf_grovetender,Шепчущий садовник,6130,1,0,,"Они так нервничают, ждут своего сигнала... Начни с небольшой мелодии, подготовь их, немного хм-мм~, а потом...
[взрыв]
Идеально. У тебя природный талант.","тот, кто поет и танцует",TRUE,,,"player_only, npc_only, sotf_fel_hyb",graphics/icons/skills/sotf_leviathansbane.png,
sotf_ticktock,"Тик-так, тик-так",6140,1,0,,"Некоторые верят в неприкосновенность временной согласованности. Я называю их глупцами. Время - река, а реки иногда нужно корректировать, чтобы использовать их наилучшим образом.","Линн Пауэлл, отдел темпоральной физики",TRUE,,,"player_only, npc_only, sotf_fel_hyb",graphics/icons/skills/field_modulation.png,
# FEL: DEFENSIVE,,,,,,,,,,,,,
sotf_hadeshellhide,Адская шкура Хеллиона,6210,1,0,,"Кто сядет на этот корабль, уже не вернется, но мы утащим этих ублюдков с собой, крича на каждом шаге к пылающим вратам ада.",мертвец,TRUE,,,"player_only, npc_only, sotf_fel_def",graphics/icons/skills/derelict_contingent.png,
sotf_insacrificemeaning,В жертве - смысл,6220,1,0,,"// КОММЕНТАРИЙ: все говорят, что в жертве есть смысл, пока не их голова на плахе, не их шея в петле","[УДАЛЕНО]-Annex-[УДАЛЕНО], выгорание, перехват Lullaby-Annex-Ennervate",TRUE,,,"player_only, npc_only, sotf_fel_def",graphics/icons/skills/power_grid_manipulation.png,
sotf_mantleofthorns,Мантия шипов,6230,1,0,,"Ты понимаешь, что для тех, кто грешит против недостойных, есть лишь одна судьба. Разве ты не вспомнишь вместе со мной? Разве наша злоба не родит сосредоточенность?
Разве мы не запоем их голосами?",трижды пронзенный призрак,TRUE,,,"player_only, npc_only, sotf_fel_def",graphics/icons/skills/field_modulation.png,
sotf_scrapscreen,Ломоэкран сборщика,6240,1,0,,,,TRUE,,,"player_only, npc_only, sotf_fel_def",graphics/icons/skills/derelict_contingent.png,
# FEL: SUPPORT,,,,,,,,,,,,,
sotf_elegyofopis,Элегия Описа,6310,1,0,,"Каждого, кого я беру, двое замолкают. Еще один, кому не нужно выть по миру, который Лев отнял у них, еще один голос в хоре, поющем мучительную элегию Описа.","позывной «Destreza», интервью с умбранскими рейдерами «Torn Banner»",TRUE,,,"player_only, npc_only, sotf_fel_sup",graphics/icons/skills/derelict_contingent.png,
sotf_handsofthedrowned,Руки утопших,6320,1,0,,"Рыбка, рыбка, где ты плывешь? Далеко в море, далеко к краю?
Рыбка, рыбка, где тебя найдут? Утащенной в глубину руками утопших?",охотник на легенды,TRUE,,,"player_only, npc_only, sotf_fel_sup",graphics/icons/skills/advanced_tactics.png,
sotf_realitybreaker,разрушитель_реальности,6330,1,0,,Описания... пока нет,автор,TRUE,,,"player_only, npc_only, sotf_fel_sup",,
sotf_perfectstorm,Совершенный шторм,6340,1,0,,"Человечество когда-то перестало бояться морей, когда покинуло их ради звезд. Но, пройдя через первый джамп-поинт и увидев за ним бесконечный океан, мы вспомнили: кракен - миф, а тонет нас именно шторм.",неизвестный историк,TRUE,,,"player_only, npc_only, sotf_fel_sup",graphics/icons/skills/applied_physics.png,
,,,,,,,,,,,,,
# for spacing in skill readout,,,,,,,,,,,,,
sotf_skill_blank,,10000,0,,,,,,,,npc_only,graphics/icons/skills/EW.png,
